id,legislative_session:number,start_date,item:title,item:number,motion:title,
1001,1,2011-03-30,Zahájení a schválení programu,1,Předsedající dal hlasovat o návrhu programu.,
1002,1,2011-03-30,Volba ověřovatelů zápisu,2,"Předsedající navrhl paní Elen Chmelařovou, jako zapisovatele a navrhl určit ověřovatele zápisu pana Radomíra Kolumpka a pana Jiřího Vodičku.",
1003,1,2011-03-30,Schválení rozpočtu na rok 2011,3,Zastupitelstvo obce Košátky schvaluje rozpočet na rok 2011 a uskutečněné příjmy a výdaje v době rozpočtového provizoria se stávají součástí rozpočtu roku 2011.,
1004,1,2011-03-30,Schválení rozpočtového výhledu na roky 2012 a 2013,4,Zastupitelstvo obce Košátky schvaluje návrh rozpočtového výhledu na roky 2012 a 2013 dle přílohy 2 tohoto zápisu.,
1005,1,2011-03-30,Volba člena finančního výboru,5,Zastupitelstvo obce Košátky schvaluje pana Martina Chmelaře jako člena finančního výboru.,
1006,1,2011-03-30,Zpráva o činnosti za I. čtvrtletí 2011,6,Zastupitelstvo obce Košátky bere na vědomí zprávu o činnosti za uplynulé období.,
2001,2,2011-06-03,Zahájení a schválení programu,1,Předsedající dal hlasovat o návrhu programu.,
2002,2,2011-06-03,Volba ověřovatelů zápisu,2,"Předsedající navrhl paní Jitku Velichovou, jako zapisovatele a navrhl určit ověřovatele zápisu pana Radomíra Kolumpka a pana Jiřího Vodičku.",
2003,2,2011-06-03,Projednání a schválení závěrečného účtu obce za rol< 2010,4,Zastupitelstvo obce Košátky schvaluje závěrečný účet obce za rok 2010 dle přílohy 2 tohoto zápisu s výhradami.,
2004,2,2011-06-03,Projednání způsobu proplacení odstupného starosty za uplynulé období.,5,Po dodání čestného prohlášení p.Šebkem bude odstupné proplaceno dle zákona o obcích 128/2000 Sb. v celé výši jednorázově.,
2005,2,2011-06-03,Rozpočtová opatření,6,Zastupitelstvo obce Košátky schvaluje návrh rozpočtových opatření č. 1/2011.,
2006,2,2011-06-03,Schválení pravidel při prodeji obecních pozemků,7,Zastupitelstvo obce Košátky schvaluje pravidla pi ro prodej obecních pozemků viz příloha č.4. Návrh ZO neschválilo.,
3001,3,2011-09-29,Zahájení a schválení programu,1,Předsedající dal hlasovat o návrhu programu v tomto složení.,
3002,3,2011-09-29,Volba ověřovatelů zápisu,2,"Předsedající navrhl pana Jiřího Vodičku, jako zapisovatele a navrhl určit ověřovatele zápisu pana Radomíra Kolumpka a pana Petra Kuchaře.",
3003,3,2011-09-29,Veřejná nabídka prodeje pozemku p.č. 173/9,4,Zastupitelstvo obce Košátky schvaluje a potvrzuje dřívější záměr prodeje pozemku za podmínek stanovených v zápisu ZO Košátky ze dne 17.9.2010 a toto zveřejnit po dobu 25 dnů na úřední desce.,
3004,3,2011-09-29,Schválení rozpočtových opatření,5,Zastupitelstvo obce Košátky schvaluje návrh rozpočtových opatření č. 2/2011.,
3005,3,2011-09-29,Územní plán obce,6,Zastupitelstvo obce Košátky schvaluje návrh zadat projekt nového územním plánu obce Košátky,
3006,3,2011-09-29,Zaregistrování na portálu SZIF (Státní zemědělský intervenční fond) pro získání dotací,7,Zastupitelstvo obce Košátky pověřuje starostu Pavla Kuchaře registrací na portálu SZIF za účelem získání dotací.,
3007,3,2011-09-29,Diskuse,9,Zastupitelstvo obce Košátky ukládá starostovi začít se zpracováním nového územního plánu v lednu 2012 a zapracovat do ÚP žádosti dané do konce letošního roku.,
4001,4,2011-12-08,Zahájení a schválení programu,1,Předsedající dal hlasovat o návrhu programu v tomto složení.,
