id,legislative_session:number,start_date,item:title,item:number,motion:title,
1001,1,2011-05-25,,,ZM Kosmonosy schvaluje závěrečný účet města Kosmonosy za rok 2010 s výhradou  nakládání města s pohledávkami.,
1002,1,2011-05-25,,,ZM Kosmonosy schvaluje rozpočtové opatření rozpočtu schváleného na rok 2011 na opravu a výměnu oken severního křídla zámku.,
1003,1,2011-05-25,,,Usnesení 50/11 - ZM Kosmonosy nepřijalo toto usnesení,
1004,1,2011-05-25,,,Zastupitelé města žádají předložit návrh plánovací smlouvy k posouzení právníkům Magistrátu města Mladá Boleslav a získat jejich písemné vyjádření k těmto požadavkům do příštího jednání ZM:,
1005,1,2011-05-25,,,Zastupitelstvo města Kosmonosy nepřijalo návrh na odvolání starostky města Mgr. Zdeňky Procházkové,
1006,1,2011-05-25,,,ZM Kosmonosy schvaluje ustoupení od záměru získání pozemkové parcely č. 1375/2 v k.ú. Kosmonosy o výměře 3152m2 do vlastnictví města.,
1007,1,2011-05-25,,,ZM Kosmonosy schvaluje,
2001,2,2011-07-01,Volba starosty města,,Volba M.Kropáčka,
2002,2,2011-07-01,Volba starosty města,,Volba M.Vaňka - Starostou města Kosmonosy byl zvolen M.Vaněk.,
2003,2,2011-07-01,Volba místostarosty města:,,Změna funkce místostarosty města z uvolněné na neuvolněnou funkci.,
2004,2,2011-07-01,Volba místostarosty města:,,Volba místostarostky M.Pekařové - Do funkce neuvolněné místostarostky města Kosmonosy byla zvolena M.Pekařová. ,
2005,2,2011-07-01,Odvolání radního města D. Odnohy,,D.Odnoha byl odvolán z členství v Radě města Kosmonosy.,
2006,2,2011-07-01,Volba nového člena Rady města Kosmonosy.,,J.Müller byl zvolen členem Rady města Kosmonosy.,
2007,2,2011-07-01,,,ZM Kosmonosy schvaluje měsíční odměnu neuvolněnému místostarostovi města Kosmonosy.,
3001,3,2013-02-13,Volba návrhové komise,1,M.Pekařová,
3002,3,2013-02-13,Volba návrhové komise,1,J. Kadlecová,
3003,3,2013-02-13,Volba ověřovatelů zápisu: ,1,F. Honc,
3004,3,2013-02-13,Volba ověřovatelů zápisu: ,1,V. Baboráková,
3005,3,2013-02-13,Odsouhlasení programu,2,"Po úpravě návrhu č. 4/13, zařazení projednání  návrhu  č. 11/13 na první místo programu a zařazení návrhu č.7/13  za návrh č.9/13 byl program zastupitelstva města přijat.",
3006,3,2013-02-13,Návrh na nákup malé techniky pro účely pracovní skupiny na údržbu a správu majetku města Kosmonosy a ukládá RM realizaci nákupu tohoto vozidla.,,Návrh s úpravou v usnesení o „ a ukládá RM realizaci nákupu tohoto vozidla“ byl přijat.,
3007,3,2013-02-13,Návrh rozpočtových opatření rozpočtu schváleného na rok 2013,,Návrh byl přijat.,
3008,3,2013-02-13,"Na schválení záměru prodeje nově vytvořeného pozemku prac. č. 1750/17 o výměře 7m2  v kat. území a obci Kosmonosy, do vlastnictví společnosti D+D Park Kosmonosy a.s., se sídlem Vrchlabí, Lánovská 1475, PSČ 543 01, za cenu 1.280,--Kč/m2.",,Návrh byl přijat.,
