vote_event_id,voter_id,option,group_id,
1001,2010-570826-1-53-6,absent,ods_party,
1001,2010-570826-1-7-9,yes,cssd_party,
1001,2010-570826-1-721-6,yes,top-09_party,
1001,2010-570826-1-721-1,yes,top-09_party,
1001,2010-570826-1-53-10,yes,ods_party,
1001,2010-570826-1-53-2,yes,ods_party,
1001,2010-570826-1-721-2,yes,top-09_party,
1001,2010-570826-1-144-1,yes,vv_party,
1001,2010-570826-1-7-2,yes,cssd_party,
1001,2010-570826-1-303-1,absent,sz_party,
1001,2010-570826-1-53-1,yes,ods_party,
1001,2010-570826-1-144-2,yes,vv_party,
1001,2010-570826-1-53-4,yes,ods_party,
1001,2010-570826-1-53-3,yes,ods_party,
1001,2010-570826-1-47-1,yes,kscm_party,
1001,2010-570826-1-7-3,absent,cssd_party,
1001,2010-570826-1-7-1,yes,cssd_party,
1001,2010-570826-1-721-3,abstain,top-09_party,
1001,2010-570826-1-53-5,abstain,ods_party,
1001,2010-570826-1-721-4,abstain,top-09_party,
1001,2010-570826-1-53-8,abstain,ods_party,
1001,2010-570826-1-53-9,abstain,ods_party,
1002,2010-570826-1-53-6,absent,ods_party,
1002,2010-570826-1-7-9,yes,cssd_party,
1002,2010-570826-1-721-6,yes,top-09_party,
1002,2010-570826-1-721-1,yes,top-09_party,
1002,2010-570826-1-53-10,yes,ods_party,
1002,2010-570826-1-53-2,yes,ods_party,
1002,2010-570826-1-721-2,yes,top-09_party,
1002,2010-570826-1-144-1,yes,vv_party,
1002,2010-570826-1-7-2,yes,cssd_party,
1002,2010-570826-1-303-1,absent,sz_party,
1002,2010-570826-1-53-1,yes,ods_party,
1002,2010-570826-1-144-2,yes,vv_party,
1002,2010-570826-1-53-4,yes,ods_party,
1002,2010-570826-1-53-3,yes,ods_party,
1002,2010-570826-1-47-1,yes,kscm_party,
1002,2010-570826-1-7-3,absent,cssd_party,
1002,2010-570826-1-7-1,yes,cssd_party,
1002,2010-570826-1-721-3,abstain,top-09_party,
1002,2010-570826-1-53-5,abstain,ods_party,
1002,2010-570826-1-721-4,abstain,top-09_party,
1002,2010-570826-1-53-8,abstain,ods_party,
1002,2010-570826-1-53-9,abstain,ods_party,
1003,2010-570826-1-53-6,absent,ods_party,
1003,2010-570826-1-7-9,abstain,cssd_party,
1003,2010-570826-1-721-6,no,top-09_party,
1003,2010-570826-1-721-1,abstain,top-09_party,
1003,2010-570826-1-53-10,yes,ods_party,
1003,2010-570826-1-53-2,yes,ods_party,
1003,2010-570826-1-721-2,yes,top-09_party,
1003,2010-570826-1-144-1,yes,vv_party,
1003,2010-570826-1-7-2,abstain,cssd_party,
1003,2010-570826-1-303-1,absent,sz_party,
1003,2010-570826-1-53-1,yes,ods_party,
1003,2010-570826-1-144-2,yes,vv_party,
1003,2010-570826-1-53-4,abstain,ods_party,
1003,2010-570826-1-53-3,yes,ods_party,
1003,2010-570826-1-47-1,yes,kscm_party,
1003,2010-570826-1-7-3,absent,cssd_party,
1003,2010-570826-1-7-1,abstain,cssd_party,
1003,2010-570826-1-721-3,abstain,top-09_party,
1003,2010-570826-1-53-5,abstain,ods_party,
1003,2010-570826-1-721-4,abstain,top-09_party,
1003,2010-570826-1-53-8,abstain,ods_party,
1003,2010-570826-1-53-9,abstain,ods_party,
1004,2010-570826-1-53-6,absent,ods_party,
1004,2010-570826-1-7-9,yes,cssd_party,
1004,2010-570826-1-721-6,yes,top-09_party,
1004,2010-570826-1-721-1,yes,top-09_party,
1004,2010-570826-1-53-10,yes,ods_party,
1004,2010-570826-1-53-2,abstain,ods_party,
1004,2010-570826-1-721-2,yes,top-09_party,
1004,2010-570826-1-144-1,yes,vv_party,
1004,2010-570826-1-7-2,yes,cssd_party,
