id,name,organization:party,organization:affiliation,organization:list,
2010-565067-1-902-1,Fengl Jiří,nk_party,bezpp_affiliation,902_list,
2010-565067-1-904-3,Fengl Zdeněk,nk_party,bezpp_affiliation,904_list,
2010-565067-1-47-2,Fenglová Milada Mgr.,kscm_party,bezpp_affiliation,47_list,
2010-565067-1-901-5,Kořínek Jiří,nk_party,bezpp_affiliation,901_list,
2010-565067-1-905-1,Lukeš Zdeněk,nk_party,bezpp_affiliation,905_list,
2010-565067-1-901-3,Lukešová Iva,nk_party,bezpp_affiliation,901_list,
2010-565067-1-901-2,Michal David,nk_party,bezpp_affiliation,901_list,
2010-565067-1-905-2,Pětníková Olga Ing.,nk_party,bezpp_affiliation,905_list,
2010-565067-1-47-1,Tachecí Josef Ing.,kscm_party,bezpp_affiliation,47_list,
2010-565067-1-901-1,Šimáček Jiří,nk_party,bezpp_affiliation,901_list,
2010-565067-1-901-4,Jabůrková Věra,nk_party,bezpp_affiliation,901_list,
