id,legislative_session:number,start_date,item:title,item:number,motion:title,
20001,20,2014-09-03,Určení ověřovatelů a zapisovatele zápisu,0,Zastupitelstvo obce Křenovy určuje ověřovateli zápisu p.Hösla a pí. Zmarslyovou a zapisovatelem Ing. Volkmannovou.,
20002,20,2014-09-03,Schválení programu,0,Zastupitelstvo obce Křenovy schvaluje program zasedání.,
20003,20,2014-09-03,Úprava schváleného rozpočtu o mimořádné příjmy a výdaje,1,Zastupitelstvo obce Křenovy schvaluje rozpočtové opatření č. 4 schváleného rozpočtu obce Křenovy.,
20004,20,2014-09-03,Smlouva o zřízení věcného břemene s firmou Steamont,2,Zastupitelstvo obce Křenovy schvaluje smlouvu o zřízení věcného břemene s firmou Steamont.,
20005,20,2014-09-03,Žádost o finanční příspěvek Stodské nemocnici na nákup 3D ultrazvuku pro gynekologicko-porodinické oddělení,3,Zastupitelstvo obce Křenovy schvaluje žádost o finanční příspěvek Stodské nemocnici ve výši 1 000Kč na základě darovací smlouvy (příspěvek na 3D ultrazvuk na gynekologicko-porodnické oddělení).,
20006,20,2014-09-03,Informace o ukončení prací na zateplení budovy Obecního úřadu v Křenovech,4,Zastupitelstvo obce Křenovy bere na vědomí kolaudační souhlas s užíváním stavby - zateplení budovy Obecního úřadu č.p. 29 v obci Křenovy.,
20007,20,2014-09-03,Ostatní organizační záležitosti obce,5,Zastupitelstvo obce Křenovy bere na vědomí účast starosty obce na shromáždění zástupců VSOD.,
7001,7,2012-02-29,Určení ověřovatelů a zapisovatele zápisu,0,Zastupitelstvo obce Křenovy určuje ověřovateli zápisu p. Čermáka a pí. Zmarslyovou a zapisovatelem Ing. Volkmannovou.,
7002,7,2012-02-29,Schválení programu,0,Zastupitelstvo obce Křenovy schvaluje program zasedání.,
7003,7,2012-02-29,Uzavření dohody o partnerství k projektu Rozvoj služeb eGovernmentu v ORP Horšovský Týn,1,Zastupitelstvo obce Křenovy souhlasí s uzavřením „Dohody o partnerství“ k projektu Rozvoj služeb eGovernmentu  v ORP Horšovský Týn mezi městem Horšovský Týn a obcí Křenovy.,
7004,7,2012-02-29,PSOV Plzeňského kraje – podání žádosti o dotaci s názvem “Oprava střechy a zvoničky kaple sv. Václava v Křenovech“,2,Zastupitelstvo obce Křenovy schvaluje podání žádosti o dotaci s názvem „Oprava střechy a zvoničky kaple sv. Václava v Křenovech“ z programu vyhlášeného Radou Plzeňského kraje – PSOV.,
7005,7,2012-02-29,Schválení účetní závěrky za rok 2011,3,Zastupitelstvo obce Křenovy schvaluje účetní závěrku obce Křenovy za rok 2011.,
7006,7,2012-02-29,Úprava schváleného rozpočtu o mimořádné příjmy a výdaje,4,Zastupitelstvo obce Křenovy schvaluje rozpočtové opatření č.1 schváleného rozpočtu obce Křenovy.,
7007,7,2012-02-29,Informace o výsledku Žádosti o dotaci na projekt Křenovy – kanalizační stoka E – etapa I.,5,Zastupitelstvo obce Křenovy bere na vědomí informaci o nepřidělení dotace na projekt Křenovy – kanalizační stoka E - etapa I z programu Státního zemědělského investičního fondu. ,
7008,7,2012-02-29, Schválení vypracování energetického auditu a projektu na zateplení budovy obecního úřadu za účelem získání dotace z fondu Ministerstva životního prostředí,6,"Zastupitelstvo obce Křenovy schvaluje provedení energetického auditu, zadání zpracování projektu na zateplení budovy obecního úřadu, popř. podání žádosti o dotaci na zateplení budovy OÚ.",
