vote_event_id,voter_id,option,group_id,
20001,2010-553832-1-804-1,yes,nk_party,
20001,2010-553832-1-806-1,abstain,nk_party,
20001,2010-553832-1-801-1,yes,nk_party,
20001,2010-553832-1-803-1,yes,nk_party,
20001,2010-553832-1-802-1,yes,nk_party,
20001,2010-553832-1-805-1,yes,nk_party,
20001,2010-553832-1-807-1,yes,nk_party,
20002,2010-553832-1-804-1,yes,nk_party,
20002,2010-553832-1-806-1,abstain,nk_party,
20002,2010-553832-1-801-1,yes,nk_party,
20002,2010-553832-1-803-1,yes,nk_party,
20002,2010-553832-1-802-1,yes,nk_party,
20002,2010-553832-1-805-1,yes,nk_party,
20002,2010-553832-1-807-1,yes,nk_party,
20003,2010-553832-1-804-1,yes,nk_party,
20003,2010-553832-1-806-1,abstain,nk_party,
20003,2010-553832-1-801-1,yes,nk_party,
20003,2010-553832-1-803-1,yes,nk_party,
20003,2010-553832-1-802-1,yes,nk_party,
20003,2010-553832-1-805-1,yes,nk_party,
20003,2010-553832-1-807-1,yes,nk_party,
20004,2010-553832-1-804-1,yes,nk_party,
20004,2010-553832-1-806-1,abstain,nk_party,
20004,2010-553832-1-801-1,yes,nk_party,
20004,2010-553832-1-803-1,yes,nk_party,
20004,2010-553832-1-802-1,yes,nk_party,
20004,2010-553832-1-805-1,yes,nk_party,
20004,2010-553832-1-807-1,yes,nk_party,
20005,2010-553832-1-804-1,yes,nk_party,
20005,2010-553832-1-806-1,abstain,nk_party,
20005,2010-553832-1-801-1,yes,nk_party,
20005,2010-553832-1-803-1,yes,nk_party,
20005,2010-553832-1-802-1,yes,nk_party,
20005,2010-553832-1-805-1,yes,nk_party,
20005,2010-553832-1-807-1,yes,nk_party,
20006,2010-553832-1-804-1,yes,nk_party,
20006,2010-553832-1-806-1,abstain,nk_party,
20006,2010-553832-1-801-1,yes,nk_party,
20006,2010-553832-1-803-1,yes,nk_party,
20006,2010-553832-1-802-1,yes,nk_party,
20006,2010-553832-1-805-1,yes,nk_party,
20006,2010-553832-1-807-1,yes,nk_party,
20007,2010-553832-1-804-1,yes,nk_party,
20007,2010-553832-1-806-1,abstain,nk_party,
20007,2010-553832-1-801-1,yes,nk_party,
20007,2010-553832-1-803-1,yes,nk_party,
20007,2010-553832-1-802-1,yes,nk_party,
20007,2010-553832-1-805-1,yes,nk_party,
20007,2010-553832-1-807-1,yes,nk_party,
7001,2010-553832-1-804-1,yes,nk_party,
7001,2010-553832-1-806-1,yes,nk_party,
7001,2010-553832-1-801-1,yes,nk_party,
7001,2010-553832-1-803-1,yes,nk_party,
7001,2010-553832-1-802-1,yes,nk_party,
7001,2010-553832-1-805-1,yes,nk_party,
7001,2010-553832-1-807-1,yes,nk_party,
7002,2010-553832-1-804-1,yes,nk_party,
7002,2010-553832-1-806-1,yes,nk_party,
7002,2010-553832-1-801-1,yes,nk_party,
7002,2010-553832-1-803-1,yes,nk_party,
7002,2010-553832-1-802-1,yes,nk_party,
7002,2010-553832-1-805-1,yes,nk_party,
7002,2010-553832-1-807-1,yes,nk_party,
7003,2010-553832-1-804-1,yes,nk_party,
7003,2010-553832-1-806-1,yes,nk_party,
7003,2010-553832-1-801-1,yes,nk_party,
7003,2010-553832-1-803-1,yes,nk_party,
7003,2010-553832-1-802-1,yes,nk_party,
7003,2010-553832-1-805-1,yes,nk_party,
7003,2010-553832-1-807-1,yes,nk_party,
7004,2010-553832-1-804-1,yes,nk_party,
7004,2010-553832-1-806-1,yes,nk_party,
7004,2010-553832-1-801-1,yes,nk_party,
7004,2010-553832-1-803-1,yes,nk_party,
7004,2010-553832-1-802-1,yes,nk_party,
7004,2010-553832-1-805-1,yes,nk_party,
7004,2010-553832-1-807-1,yes,nk_party,
7005,2010-553832-1-804-1,yes,nk_party,
7005,2010-553832-1-806-1,yes,nk_party,
7005,2010-553832-1-801-1,yes,nk_party,
7005,2010-553832-1-803-1,yes,nk_party,
7005,2010-553832-1-802-1,yes,nk_party,
7005,2010-553832-1-805-1,yes,nk_party,
7005,2010-553832-1-807-1,yes,nk_party,
7006,2010-553832-1-804-1,yes,nk_party,
7006,2010-553832-1-806-1,yes,nk_party,
7006,2010-553832-1-801-1,yes,nk_party,
7006,2010-553832-1-803-1,yes,nk_party,
7006,2010-553832-1-802-1,yes,nk_party,
7006,2010-553832-1-805-1,yes,nk_party,
7006,2010-553832-1-807-1,yes,nk_party,
7007,2010-553832-1-804-1,yes,nk_party,
7007,2010-553832-1-806-1,yes,nk_party,
7007,2010-553832-1-801-1,yes,nk_party,
7007,2010-553832-1-803-1,yes,nk_party,
7007,2010-553832-1-802-1,yes,nk_party,
7007,2010-553832-1-805-1,yes,nk_party,
7007,2010-553832-1-807-1,yes,nk_party,
7008,2010-553832-1-804-1,yes,nk_party,
7008,2010-553832-1-806-1,yes,nk_party,
7008,2010-553832-1-801-1,yes,nk_party,
7008,2010-553832-1-803-1,yes,nk_party,
7008,2010-553832-1-802-1,yes,nk_party,
7008,2010-553832-1-805-1,yes,nk_party,
7008,2010-553832-1-807-1,yes,nk_party,
7009,2010-553832-1-804-1,yes,nk_party,
7009,2010-553832-1-806-1,yes,nk_party,
7009,2010-553832-1-801-1,yes,nk_party,
7009,2010-553832-1-803-1,yes,nk_party,
7009,2010-553832-1-802-1,yes,nk_party,
7009,2010-553832-1-805-1,yes,nk_party,
7009,2010-553832-1-807-1,yes,nk_party,
7010,2010-553832-1-804-1,yes,nk_party,
7010,2010-553832-1-806-1,yes,nk_party,
7010,2010-553832-1-801-1,yes,nk_party,
7010,2010-553832-1-803-1,yes,nk_party,
7010,2010-553832-1-802-1,yes,nk_party,
7010,2010-553832-1-805-1,yes,nk_party,
7010,2010-553832-1-807-1,yes,nk_party,
7011,2010-553832-1-804-1,yes,nk_party,
7011,2010-553832-1-806-1,yes,nk_party,
7011,2010-553832-1-801-1,yes,nk_party,
7011,2010-553832-1-803-1,yes,nk_party,
7011,2010-553832-1-802-1,yes,nk_party,
7011,2010-553832-1-805-1,yes,nk_party,
7011,2010-553832-1-807-1,yes,nk_party,
7012,2010-553832-1-804-1,no,nk_party,
7012,2010-553832-1-806-1,yes,nk_party,
7012,2010-553832-1-801-1,yes,nk_party,
7012,2010-553832-1-803-1,yes,nk_party,
7012,2010-553832-1-802-1,yes,nk_party,
7012,2010-553832-1-805-1,yes,nk_party,
7012,2010-553832-1-807-1,yes,nk_party,
7013,2010-553832-1-804-1,yes,nk_party,
7013,2010-553832-1-806-1,yes,nk_party,
7013,2010-553832-1-801-1,yes,nk_party,
7013,2010-553832-1-803-1,no,nk_party,
7013,2010-553832-1-802-1,yes,nk_party,
7013,2010-553832-1-805-1,yes,nk_party,
7013,2010-553832-1-807-1,yes,nk_party,
7014,2010-553832-1-804-1,yes,nk_party,
7014,2010-553832-1-806-1,yes,nk_party,
7014,2010-553832-1-801-1,yes,nk_party,
7014,2010-553832-1-803-1,yes,nk_party,
7014,2010-553832-1-802-1,yes,nk_party,
7014,2010-553832-1-805-1,yes,nk_party,
7014,2010-553832-1-807-1,yes,nk_party,
14001,2010-553832-1-804-1,yes,nk_party,
14001,2010-553832-1-806-1,abstain,nk_party,
14001,2010-553832-1-801-1,yes,nk_party,
14001,2010-553832-1-803-1,yes,nk_party,
14001,2010-553832-1-802-1,yes,nk_party,
14001,2010-553832-1-805-1,yes,nk_party,
14001,2010-553832-1-807-1,yes,nk_party,
14002,2010-553832-1-804-1,yes,nk_party,
14002,2010-553832-1-806-1,abstain,nk_party,
14002,2010-553832-1-801-1,yes,nk_party,
14002,2010-553832-1-803-1,yes,nk_party,
14002,2010-553832-1-802-1,yes,nk_party,
14002,2010-553832-1-805-1,yes,nk_party,
14002,2010-553832-1-807-1,yes,nk_party,
14003,2010-553832-1-804-1,yes,nk_party,
14003,2010-553832-1-806-1,abstain,nk_party,
14003,2010-553832-1-801-1,yes,nk_party,
14003,2010-553832-1-803-1,yes,nk_party,
14003,2010-553832-1-802-1,yes,nk_party,
14003,2010-553832-1-805-1,yes,nk_party,
14003,2010-553832-1-807-1,yes,nk_party,
14004,2010-553832-1-804-1,yes,nk_party,
14004,2010-553832-1-806-1,abstain,nk_party,
14004,2010-553832-1-801-1,yes,nk_party,
14004,2010-553832-1-803-1,yes,nk_party,
14004,2010-553832-1-802-1,yes,nk_party,
14004,2010-553832-1-805-1,yes,nk_party,
14004,2010-553832-1-807-1,yes,nk_party,
14005,2010-553832-1-804-1,yes,nk_party,
14005,2010-553832-1-806-1,abstain,nk_party,
14005,2010-553832-1-801-1,yes,nk_party,
14005,2010-553832-1-803-1,yes,nk_party,
14005,2010-553832-1-802-1,yes,nk_party,
14005,2010-553832-1-805-1,yes,nk_party,
14005,2010-553832-1-807-1,yes,nk_party,
14006,2010-553832-1-804-1,yes,nk_party,
14006,2010-553832-1-806-1,abstain,nk_party,
14006,2010-553832-1-801-1,yes,nk_party,
14006,2010-553832-1-803-1,yes,nk_party,
14006,2010-553832-1-802-1,yes,nk_party,
14006,2010-553832-1-805-1,yes,nk_party,
14006,2010-553832-1-807-1,yes,nk_party,
14007,2010-553832-1-804-1,yes,nk_party,
14007,2010-553832-1-806-1,abstain,nk_party,
14007,2010-553832-1-801-1,yes,nk_party,
14007,2010-553832-1-803-1,yes,nk_party,
14007,2010-553832-1-802-1,yes,nk_party,
14007,2010-553832-1-805-1,yes,nk_party,
14007,2010-553832-1-807-1,yes,nk_party,
15001,2010-553832-1-804-1,yes,nk_party,
15001,2010-553832-1-806-1,abstain,nk_party,
15001,2010-553832-1-801-1,yes,nk_party,
15001,2010-553832-1-803-1,yes,nk_party,
15001,2010-553832-1-802-1,yes,nk_party,
15001,2010-553832-1-805-1,yes,nk_party,
15001,2010-553832-1-807-1,absent,nk_party,
15002,2010-553832-1-804-1,yes,nk_party,
15002,2010-553832-1-806-1,abstain,nk_party,
15002,2010-553832-1-801-1,yes,nk_party,
15002,2010-553832-1-803-1,yes,nk_party,
15002,2010-553832-1-802-1,yes,nk_party,
15002,2010-553832-1-805-1,yes,nk_party,
15002,2010-553832-1-807-1,absent,nk_party,
15003,2010-553832-1-804-1,yes,nk_party,
15003,2010-553832-1-806-1,abstain,nk_party,
15003,2010-553832-1-801-1,yes,nk_party,
15003,2010-553832-1-803-1,yes,nk_party,
15003,2010-553832-1-802-1,yes,nk_party,
15003,2010-553832-1-805-1,yes,nk_party,
15003,2010-553832-1-807-1,absent,nk_party,
15004,2010-553832-1-804-1,yes,nk_party,
15004,2010-553832-1-806-1,abstain,nk_party,
15004,2010-553832-1-801-1,yes,nk_party,
15004,2010-553832-1-803-1,yes,nk_party,
15004,2010-553832-1-802-1,yes,nk_party,
15004,2010-553832-1-805-1,yes,nk_party,
15004,2010-553832-1-807-1,absent,nk_party,
15005,2010-553832-1-804-1,yes,nk_party,
15005,2010-553832-1-806-1,abstain,nk_party,
15005,2010-553832-1-801-1,yes,nk_party,
15005,2010-553832-1-803-1,yes,nk_party,
15005,2010-553832-1-802-1,yes,nk_party,
15005,2010-553832-1-805-1,yes,nk_party,
15005,2010-553832-1-807-1,absent,nk_party,
15006,2010-553832-1-804-1,yes,nk_party,
15006,2010-553832-1-806-1,abstain,nk_party,
15006,2010-553832-1-801-1,yes,nk_party,
15006,2010-553832-1-803-1,yes,nk_party,
15006,2010-553832-1-802-1,yes,nk_party,
15006,2010-553832-1-805-1,yes,nk_party,
15006,2010-553832-1-807-1,absent,nk_party,
15007,2010-553832-1-804-1,yes,nk_party,
15007,2010-553832-1-806-1,abstain,nk_party,
15007,2010-553832-1-801-1,yes,nk_party,
15007,2010-553832-1-803-1,yes,nk_party,
15007,2010-553832-1-802-1,yes,nk_party,
15007,2010-553832-1-805-1,yes,nk_party,
15007,2010-553832-1-807-1,absent,nk_party,
15008,2010-553832-1-804-1,yes,nk_party,
15008,2010-553832-1-806-1,abstain,nk_party,
15008,2010-553832-1-801-1,yes,nk_party,
15008,2010-553832-1-803-1,no,nk_party,
15008,2010-553832-1-802-1,yes,nk_party,
15008,2010-553832-1-805-1,yes,nk_party,
15008,2010-553832-1-807-1,absent,nk_party,
15009,2010-553832-1-804-1,yes,nk_party,
15009,2010-553832-1-806-1,abstain,nk_party,
15009,2010-553832-1-801-1,yes,nk_party,
15009,2010-553832-1-803-1,yes,nk_party,
15009,2010-553832-1-802-1,yes,nk_party,
15009,2010-553832-1-805-1,yes,nk_party,
15009,2010-553832-1-807-1,absent,nk_party,
15010,2010-553832-1-804-1,yes,nk_party,
15010,2010-553832-1-806-1,abstain,nk_party,
15010,2010-553832-1-801-1,yes,nk_party,
15010,2010-553832-1-803-1,yes,nk_party,
15010,2010-553832-1-802-1,yes,nk_party,
15010,2010-553832-1-805-1,yes,nk_party,
15010,2010-553832-1-807-1,absent,nk_party,
15011,2010-553832-1-804-1,yes,nk_party,
15011,2010-553832-1-806-1,abstain,nk_party,
15011,2010-553832-1-801-1,yes,nk_party,
15011,2010-553832-1-803-1,yes,nk_party,
15011,2010-553832-1-802-1,yes,nk_party,
15011,2010-553832-1-805-1,yes,nk_party,
15011,2010-553832-1-807-1,absent,nk_party,
15012,2010-553832-1-804-1,yes,nk_party,
15012,2010-553832-1-806-1,abstain,nk_party,
15012,2010-553832-1-801-1,yes,nk_party,
15012,2010-553832-1-803-1,yes,nk_party,
15012,2010-553832-1-802-1,yes,nk_party,
15012,2010-553832-1-805-1,yes,nk_party,
15012,2010-553832-1-807-1,absent,nk_party,
15013,2010-553832-1-804-1,yes,nk_party,
15013,2010-553832-1-806-1,abstain,nk_party,
15013,2010-553832-1-801-1,yes,nk_party,
15013,2010-553832-1-803-1,yes,nk_party,
15013,2010-553832-1-802-1,yes,nk_party,
15013,2010-553832-1-805-1,yes,nk_party,
15013,2010-553832-1-807-1,absent,nk_party,
15014,2010-553832-1-804-1,yes,nk_party,
15014,2010-553832-1-806-1,abstain,nk_party,
15014,2010-553832-1-801-1,yes,nk_party,
15014,2010-553832-1-803-1,yes,nk_party,
15014,2010-553832-1-802-1,yes,nk_party,
15014,2010-553832-1-805-1,yes,nk_party,
15014,2010-553832-1-807-1,absent,nk_party,
15015,2010-553832-1-804-1,yes,nk_party,
15015,2010-553832-1-806-1,abstain,nk_party,
15015,2010-553832-1-801-1,yes,nk_party,
15015,2010-553832-1-803-1,yes,nk_party,
15015,2010-553832-1-802-1,yes,nk_party,
15015,2010-553832-1-805-1,yes,nk_party,
15015,2010-553832-1-807-1,absent,nk_party,
6001,2010-553832-1-804-1,yes,nk_party,
6001,2010-553832-1-806-1,yes,nk_party,
6001,2010-553832-1-801-1,yes,nk_party,
6001,2010-553832-1-803-1,yes,nk_party,
6001,2010-553832-1-802-1,yes,nk_party,
6001,2010-553832-1-805-1,yes,nk_party,
6001,2010-553832-1-807-1,absent,nk_party,
6002,2010-553832-1-804-1,yes,nk_party,
6002,2010-553832-1-806-1,yes,nk_party,
6002,2010-553832-1-801-1,yes,nk_party,
6002,2010-553832-1-803-1,yes,nk_party,
6002,2010-553832-1-802-1,yes,nk_party,
6002,2010-553832-1-805-1,yes,nk_party,
6002,2010-553832-1-807-1,absent,nk_party,
6003,2010-553832-1-804-1,yes,nk_party,
6003,2010-553832-1-806-1,yes,nk_party,
6003,2010-553832-1-801-1,yes,nk_party,
6003,2010-553832-1-803-1,yes,nk_party,
6003,2010-553832-1-802-1,yes,nk_party,
6003,2010-553832-1-805-1,yes,nk_party,
6003,2010-553832-1-807-1,absent,nk_party,
6004,2010-553832-1-804-1,yes,nk_party,
6004,2010-553832-1-806-1,yes,nk_party,
6004,2010-553832-1-801-1,yes,nk_party,
6004,2010-553832-1-803-1,yes,nk_party,
6004,2010-553832-1-802-1,yes,nk_party,
6004,2010-553832-1-805-1,yes,nk_party,
6004,2010-553832-1-807-1,absent,nk_party,
6005,2010-553832-1-804-1,yes,nk_party,
6005,2010-553832-1-806-1,yes,nk_party,
6005,2010-553832-1-801-1,yes,nk_party,
6005,2010-553832-1-803-1,yes,nk_party,
6005,2010-553832-1-802-1,yes,nk_party,
6005,2010-553832-1-805-1,yes,nk_party,
6005,2010-553832-1-807-1,absent,nk_party,
6006,2010-553832-1-804-1,yes,nk_party,
