vote_event_id,voter_id,option,group_id,
1001,2014-571725-1-806-1,absent,nk_party,
1001,2014-571725-1-807-1,absent,nk_party,
1001,2014-571725-1-804-1,yes,nk_party,
1001,2014-571725-1-808-1,yes,nk_party,
1001,2014-571725-1-809-1,yes,nk_party,
1001,2014-571725-1-802-1,yes,nk_party,
1001,2014-571725-1-805-1,yes,nk_party,
1002,2014-571725-1-806-1,absent,nk_party,
1002,2014-571725-1-807-1,absent,nk_party,
1002,2014-571725-1-804-1,yes,nk_party,
1002,2014-571725-1-808-1,yes,nk_party,
1002,2014-571725-1-809-1,yes,nk_party,
1002,2014-571725-1-802-1,yes,nk_party,
1002,2014-571725-1-805-1,yes,nk_party,
1003,2014-571725-1-806-1,absent,nk_party,
1003,2014-571725-1-807-1,absent,nk_party,
1003,2014-571725-1-804-1,yes,nk_party,
1003,2014-571725-1-808-1,yes,nk_party,
1003,2014-571725-1-809-1,yes,nk_party,
1003,2014-571725-1-802-1,yes,nk_party,
1003,2014-571725-1-805-1,yes,nk_party,
1004,2014-571725-1-806-1,absent,nk_party,
1004,2014-571725-1-807-1,absent,nk_party,
1004,2014-571725-1-804-1,yes,nk_party,
1004,2014-571725-1-808-1,yes,nk_party,
1004,2014-571725-1-809-1,yes,nk_party,
1004,2014-571725-1-802-1,yes,nk_party,
1004,2014-571725-1-805-1,yes,nk_party,
1005,2014-571725-1-806-1,absent,nk_party,
1005,2014-571725-1-807-1,absent,nk_party,
1005,2014-571725-1-804-1,yes,nk_party,
1005,2014-571725-1-808-1,yes,nk_party,
1005,2014-571725-1-809-1,yes,nk_party,
1005,2014-571725-1-802-1,yes,nk_party,
1005,2014-571725-1-805-1,yes,nk_party,
1006,2014-571725-1-806-1,absent,nk_party,
1006,2014-571725-1-807-1,absent,nk_party,
1006,2014-571725-1-804-1,yes,nk_party,
1006,2014-571725-1-808-1,yes,nk_party,
1006,2014-571725-1-809-1,yes,nk_party,
1006,2014-571725-1-802-1,yes,nk_party,
1006,2014-571725-1-805-1,yes,nk_party,
1007,2014-571725-1-806-1,absent,nk_party,
1007,2014-571725-1-807-1,absent,nk_party,
1007,2014-571725-1-804-1,yes,nk_party,
1007,2014-571725-1-808-1,yes,nk_party,
1007,2014-571725-1-809-1,yes,nk_party,
1007,2014-571725-1-802-1,yes,nk_party,
1007,2014-571725-1-805-1,yes,nk_party,
1008,2014-571725-1-806-1,absent,nk_party,
1008,2014-571725-1-807-1,absent,nk_party,
1008,2014-571725-1-804-1,yes,nk_party,
1008,2014-571725-1-808-1,yes,nk_party,
1008,2014-571725-1-809-1,yes,nk_party,
1008,2014-571725-1-802-1,yes,nk_party,
1008,2014-571725-1-805-1,yes,nk_party,
1009,2014-571725-1-806-1,absent,nk_party,
1009,2014-571725-1-807-1,absent,nk_party,
1009,2014-571725-1-804-1,yes,nk_party,
1009,2014-571725-1-808-1,yes,nk_party,
1009,2014-571725-1-809-1,yes,nk_party,
1009,2014-571725-1-802-1,yes,nk_party,
1009,2014-571725-1-805-1,yes,nk_party,
1010,2014-571725-1-806-1,absent,nk_party,
1010,2014-571725-1-807-1,absent,nk_party,
1010,2014-571725-1-804-1,yes,nk_party,
1010,2014-571725-1-808-1,yes,nk_party,
1010,2014-571725-1-809-1,yes,nk_party,
1010,2014-571725-1-802-1,yes,nk_party,
1010,2014-571725-1-805-1,yes,nk_party,
1011,2014-571725-1-806-1,absent,nk_party,
1011,2014-571725-1-807-1,absent,nk_party,
1011,2014-571725-1-804-1,yes,nk_party,
1011,2014-571725-1-808-1,yes,nk_party,
1011,2014-571725-1-809-1,yes,nk_party,
1011,2014-571725-1-802-1,yes,nk_party,
1011,2014-571725-1-805-1,yes,nk_party,
1012,2014-571725-1-806-1,absent,nk_party,
1012,2014-571725-1-807-1,absent,nk_party,
1012,2014-571725-1-804-1,yes,nk_party,
1012,2014-571725-1-808-1,yes,nk_party,
1012,2014-571725-1-809-1,yes,nk_party,
1012,2014-571725-1-802-1,yes,nk_party,
1012,2014-571725-1-805-1,yes,nk_party,
1013,2014-571725-1-806-1,absent,nk_party,
1013,2014-571725-1-807-1,absent,nk_party,
1013,2014-571725-1-804-1,yes,nk_party,
1013,2014-571725-1-808-1,yes,nk_party,
1013,2014-571725-1-809-1,yes,nk_party,
1013,2014-571725-1-802-1,yes,nk_party,
