code,name,
"metylovice_CZ0802_512184_2014","Metylovice (okres Frýdek-Místek), 2014-2018",
"prehvozdi_CZ0204_513369_2014","Přehvozdí (okres Kolín), 2014-2018",
"podoli_CZ0714_516864_2010","Podolí (okres Přerov), 2010-2014",
"podoli_CZ0714_516864_2014","Podolí (okres Přerov), 2014-2018",
"rohozec_CZ0205_526622_2010","Rohozec (okres Kutná Hora), 2010-2014",
"rohozec_CZ0205_526622_2014","Rohozec (okres Kutná Hora), 2014-2018",
"suchomasty_CZ0202_531782_2014","Suchomasty (okres Beroun), 2014-2018",
"braskov_CZ0203_532126_2010","Braškov (okres Kladno), 2010-2014",
"braskov_CZ0203_532126_2014","Braškov (okres Kladno), 2014-2018",
"bustehrad_CZ0203_532169_2010","Buštěhrad (okres Kladno), 2010-2014",
"hostoun_CZ0203_532347_2010","Hostouň (okres Kladno), 2010-2014",
"hostoun_CZ0203_532347_2014","Hostouň (okres Kladno), 2014-2018",
"uhonice_CZ020A_532991_2010","Úhonice (okres Praha-západ), 2010-2014",
"uhonice_CZ020A_532991_2014","Úhonice (okres Praha-západ), 2014-2018",
"velke_pritocno_CZ0203_533033_2014","Velké Přítočno (okres Kladno), 2014-2018",
"trebovle_CZ0204_533751_2010","Třebovle (okres Kolín), 2010-2014",
"trebovle_CZ0204_533751_2014","Třebovle (okres Kolín), 2014-2018",
"luzec_nad_vltavou_CZ0206_535028_2010","Lužec nad Vltavou (okres Mělník), 2010-2014",
"luzec_nad_vltavou_CZ0206_535028_2014","Lužec nad Vltavou (okres Mělník), 2014-2018",
"mydlovary_CZ0311_535281_2014","Mydlovary (okres České Budějovice), 2014-2018",
"podebrady_CZ0208_537683_2010","Poděbrady (okres Nymburk), 2010-2014",
"podebrady_CZ0208_537683_2014","Poděbrady (okres Nymburk), 2014-2018",
"mukarov_CZ0209_538523_2010","Mukařov (okres Praha-východ), 2010-2014",
"mukarov_CZ0209_538523_2014","Mukařov (okres Praha-východ), 2014-2018",
"cernolice_CZ020A_539121_2014","Černolice (okres Praha-západ), 2014-2018",
"slapy_CZ020A_539660_2014","Slapy (okres Praha-západ), 2014-2018",
"drhovy_CZ020B_540188_2010","Drhovy (okres Příbram), 2010-2014",
