id,name,organization:party,organization:affiliation,organization:list,
2010-535028-1-47-4,Benčik Zdeněk,kscm_party,kscm_affiliation,47_list,
2010-535028-1-53-7,Donaufová Pavla,ods_party,bezpp_affiliation,53_list,
2010-535028-1-53-6,Došek Jiří,ods_party,bezpp_affiliation,53_list,
2010-535028-1-53-1,Došek Vlastimil,ods_party,ods_affiliation,53_list,
2010-535028-1-901-9,Hobík Jaroslav,nk_party,bezpp_affiliation,901_list,
2010-535028-1-901-3,Kučaba Martin,nk_party,bezpp_affiliation,901_list,
2010-535028-1-47-2,Novotný Rudolf,kscm_party,bezpp_affiliation,47_list,
2010-535028-1-53-3,Peroutková Zdeňka,ods_party,bezpp_affiliation,53_list,
2010-535028-1-901-2,Rampasová Kamila,nk_party,bezpp_affiliation,901_list,
2010-535028-1-53-2,Rollo Patrik,ods_party,ods_affiliation,53_list,
2010-535028-1-901-1,Sekanina Bohumil,nk_party,bezpp_affiliation,901_list,
2010-535028-1-47-1,Šára Pavel Ing.,kscm_party,kscm_affiliation,47_list,
2010-535028-1-901-6,Šrámková Magda,nk_party,bezpp_affiliation,901_list,
2010-535028-1-47-3,Tomková Věra,kscm_party,bezpp_affiliation,47_list,
2010-535028-1-47-5,Velická Jana Mgr.,kscm_party,bezpp_affiliation,47_list,
2010-535028-1-47-6,Szajková Jana,kscm_party,kscm_affiliation,47_list,
2010-535028-1-901-7,Pavlík Vlastimil,nk_party,bezpp_affiliation,901_list,
