id,legislative_session:number,start_date,item:title,item:number,motion:title,
1001,1,2014-11-06,Určení zapisovatele a volba ověřovatelů zápisu,3,Zastupitelstvo obce volí zapisovatelem dnešního zápisu pí. Príslupskou Jaroslavu a ověřovateli zápisu z dnešního zasedání p. Bartůňkovou Věru a pí. Němcovou Hanu.,
1002,1,2014-11-06,Schválení programu,4,Zastupitelstvo obce schvaluje progra zasedání zastupitelstva.,
1003,1,2014-11-06,Volba starosty obce a místostarosty,5,"Zastupitelstvo obce schvaluje, že v obci Lužec nad Vltavou bude volen jeden místostarosta.",
1004,1,2014-11-06,Volba starosty obce a místostarosty,5,"Zastupitelstvo obce v souladu s ust § 84 odst. 2) písm. k) zákona o obcích určuje, že pro výkon funkce starosty obce bude člen zastupitelstva obce dlouhodobě uvolněn.",
1005,1,2014-11-06,Volba starosty obce a místostarosty,5,"Zastupitelstvo obce schvaluje volbu starosty obce, místostarosty, členů rady, předsedů výborů a jednotlivých členů výborů veřejným hlasováním (zvednutím ruky).",
1006,1,2014-11-06,Volba starosty obce a místostarosty,5,Zastupitelstvo obce v souladu s ust. § 84 odst. 2) písm. m) zákona o obcích volí starostou obce Lužeč nad Vltavou pana Patrika Rolla,
1007,1,2014-11-06,Volba starosty obce a místostarosty,5,Zastupitelstvo obce v souladu s ust. § 84 odst. 2) písm. m) zákona o obcích volí místostarostkou obce Lužec nad Vltavou paní Kamilu Rampasovou,
1008,1,2014-11-06,Rada obce,6,"Zastupitelstvo obce schvaluje, že v obci Lužec nad Vltavou bude 5 členů rady. ",
1009,1,2014-11-06,Rada obce,6,"Zastupitelstvo obce schvaluje, že v obci Lužec nad Vltavou je členem rady obce Lužec nad Vltavou pan Karták Jindřich.",
1010,1,2014-11-06,Rada obce,6,"Zastupitelstvo obce schvaluje, že v obci Lužec nad Vltavou je členem rady obce Lužec nad Vltavou Mgr. Jana Velická",
1011,1,2014-11-06,Rada obce,6,"Zastupitelstvo obce schvaluje, že v obci Lužec nad Vltavou je členem rady obce Lužec nad Vltavou Ing., Mgr. Pavla Donaufová",
1012,1,2014-11-06,Rada obce,6,"Zastupitelstvo obce schvaluje, že v obci Lužec nad Vltavou je členem rady obce Lužec nad Vltavou Bc. Jiří Došek",
1013,1,2014-11-06,Zřízení finančního výboru a kontrolního výboru,7,Zastupitelstvo obce zřizuje finanční výbor a kontrolní výbor. Finanční výbor a kontrolní výbor jsou tříčlenné.,
1014,1,2014-11-06,Zřízení finančního výboru a kontrolního výboru,7,"Zastupitelstvo obce volí předsedou finančního výboru pani Ing., Mgr. Pavlu Donaufovou.",
1015,1,2014-11-06,Zřízení finančního výboru a kontrolního výboru,7,Zastupitelstvo obce volí předsedou kontrolního výboru JUDr. Ladislava Labutu,
1016,1,2014-11-06,Zřízení finančního výboru a kontrolního výboru,7,Zastupitelstvo obce volí předsedou kontrolního výboru Bc. Jiřího Doška,
1017,1,2014-11-06,Zřízení finančního výboru a kontrolního výboru,7,Zastupitelstvo obce volí členem finančního výboru paní Peroutkovou Zdenu,
1018,1,2014-11-06,Zřízení finančního výboru a kontrolního výboru,7,Zastupitelstvo obce volí členem finančního výboru pana Miroslava Maštalíře.,
1019,1,2014-11-06,Zřízení finančního výboru a kontrolního výboru,7,Zastupitelstvo obce volí členem kontrolního výboru paní Peroutkovou Zdenu st.,
1020,1,2014-11-06,Zřízení finančního výboru a kontrolního výboru,7,Zastupitelstvo obce volí členem kontrolního výboru Mgr. Janu Velickou,
1021,1,2014-11-06,Rozhodnutí o odměnách za výkon funkcí neuvolněných členů zastupitelstva obce a dalších osob,8,"Zastupitelstvo obce v souladu s ust. § 72 a 84 odst. 2) pism. n) zákona o obcích stanoví měsíční odměny za výkon funkcí neuvolněných členů zastupitelstva obce. Odměna za výkon funkce starosty obce a místostarosty bude poskytována měsíčně ode dne zvolení do funkce (starosty obce nebo místostarosty). Odměna za výkon funkce předsedů a členů výborů zastupitelstva obce, předsedů a členů komisí rady obce (starosty) bude poskytována měsíčně ode dne zvolení (jmenování) do příslušné funkce. Odměna za výkon funkce člena zastupitelstva obce bude poskytována měsíčně ode dne přijetí tohoto usneseni a v případě náhradníka ode dne prvního zasedání zastupitelstva obce, jehož jako člen zastupitelstva obce zúčastní.",
1022,1,2014-11-06,Diskuse,9,"Zastupitelstvo obce Lužec nad Vltavou souhlasí se smlouvou o úvěru mezi Obcí Lužec nad Vltavou a fy. SaM silnice a mosty a.s., Česká Lípa na krytí spoluúčasti na realizaci díla „Na kole bezpečně z Lužce na Vrbno' ve výši 1.500.000,-Kč.",
2001,2,2014-12-16,Určení ověřovatelů zápisu a zapisovatele,1,Zastupitelstvo obce Lužec nad Vltavou určuje ověřovateli zápisu Mgr. Velickou a pí. Peroutkovou ml. a zapisovatelem pí. Rampasovou,
2002,2,2014-12-16,Schválení programu,2,Zastupitelstvo obce Lužec nad Vltavou schvaluje  program zasedání,
2003,2,2014-12-16,Jednací řád zastupitelstva obce,3,Zastupitelstvo obce Luiec nad Vltavou odkládá projednání jednacího řádu zastupitelstva obce Lužec nad Vltavou do doby dalšího právního rozkladu.,
2004,2,2014-12-16,Rozpočet obce a příspěvky příspěvkovým organizacím na rok 2015,4,"Zastupitelstvo obce Lužec nad Vltavou odkládá projednání rozpočtu na příští zasedání zastupitelstva obce, které se bude konat 30.12.2014 od 18.00 hod v Kulturním domu Lužec n. VIt.",
2005,2,2014-12-16,Úprava rozpočtu obce č. 6,5,Zastupitelstvo obce Lužec nad Vltavou schvaluje úpravu rozpočtu č.6 Obce Lužec nad Vltavou.,
2006,2,2014-12-16,Prodej 1/12 domu v čp. 258 (byt),6,"Zastupitelstvo obce Lužec nad Vltavou schvaluje ohledně prodeje 1/12 domu čp. 258 (byt) novou minimální výši podání nabídky již schválenou formou a to ve výši 500 000,-Kč s vyhlášením v lednu 2015.",
2007,2,2014-12-16,Finanční plán 2015-2017,7,Zastupitelstvo obce Lužec nad Vltavou schvaluje finanční plán na období 2016-2017 Obce Lužec nad Vltavou.,
2008,2,2014-12-16,Inventarizace ZŠ - narovnání stavu,8,"Zastupitelstvo obce Lužec nad Vltavou souhlasí s vyřazením majetku z účtu 028 pod 500,-Kč/kus v Základní škole Lužec nad Vltavou, příspěvkové organizaci.",
2009,2,2014-12-16,Diskuse,9,"Zastupitelstvo obce Lužec nad Vltavou schvaluje vyřazení projektů z inventarizace Obce Lužec nad Vltavou z účtu 042 ve výši 605.353,-Kč - projekt kulturního domu.",
2010,2,2014-12-16,Diskuse,9,Zastupitelstvo obce Lužec nad Vltavou bere na vědomí připomínky p. Mikeše a p. Švejcara ohledně šíře stromořadí a sjízdnosti účelové komunikace mezi silnici 1/16 a ul. 9.května.,
