vote_event_id,voter_id,option,group_id,
1001,2010-542041-1-902-7,yes,nk_party,
1001,2010-542041-1-7-9,yes,cssd_party,
1001,2010-542041-1-47-2,yes,kscm_party,
1001,2010-542041-1-47-1,yes,kscm_party,
1001,2010-542041-1-901-3,yes,nk_party,
1001,2010-542041-1-53-3,yes,ods_party,
1001,2010-542041-1-902-1,yes,nk_party,
1001,2010-542041-1-721-2,yes,top-09_party,
1001,2010-542041-1-53-7,yes,ods_party,
1001,2010-542041-1-901-1,yes,nk_party,
1001,2010-542041-1-47-3,yes,kscm_party,
1001,2010-542041-1-901-6,yes,nk_party,
1001,2010-542041-1-721-12,yes,top-09_party,
1001,2010-542041-1-721-3,yes,top-09_party,
1001,2010-542041-1-901-2,yes,nk_party,
1002,2010-542041-1-902-7,yes,nk_party,
1002,2010-542041-1-7-9,yes,cssd_party,
1002,2010-542041-1-47-2,yes,kscm_party,
1002,2010-542041-1-47-1,yes,kscm_party,
1002,2010-542041-1-901-3,yes,nk_party,
1002,2010-542041-1-53-3,yes,ods_party,
1002,2010-542041-1-902-1,yes,nk_party,
1002,2010-542041-1-721-2,yes,top-09_party,
1002,2010-542041-1-53-7,yes,ods_party,
1002,2010-542041-1-901-1,yes,nk_party,
1002,2010-542041-1-47-3,yes,kscm_party,
1002,2010-542041-1-901-6,yes,nk_party,
1002,2010-542041-1-721-12,yes,top-09_party,
1002,2010-542041-1-721-3,yes,top-09_party,
1002,2010-542041-1-901-2,yes,nk_party,
1003,2010-542041-1-902-7,yes,nk_party,
1003,2010-542041-1-7-9,yes,cssd_party,
1003,2010-542041-1-47-2,yes,kscm_party,
1003,2010-542041-1-47-1,yes,kscm_party,
1003,2010-542041-1-901-3,yes,nk_party,
1003,2010-542041-1-53-3,yes,ods_party,
1003,2010-542041-1-902-1,yes,nk_party,
1003,2010-542041-1-721-2,yes,top-09_party,
1003,2010-542041-1-53-7,yes,ods_party,
1003,2010-542041-1-901-1,yes,nk_party,
1003,2010-542041-1-47-3,yes,kscm_party,
1003,2010-542041-1-901-6,yes,nk_party,
1003,2010-542041-1-721-12,yes,top-09_party,
1003,2010-542041-1-721-3,yes,top-09_party,
1003,2010-542041-1-901-2,yes,nk_party,
1004,2010-542041-1-902-7,yes,nk_party,
1004,2010-542041-1-7-9,yes,cssd_party,
1004,2010-542041-1-47-2,yes,kscm_party,
1004,2010-542041-1-47-1,yes,kscm_party,
1004,2010-542041-1-901-3,yes,nk_party,
1004,2010-542041-1-53-3,yes,ods_party,
1004,2010-542041-1-902-1,yes,nk_party,
1004,2010-542041-1-721-2,yes,top-09_party,
1004,2010-542041-1-53-7,yes,ods_party,
1004,2010-542041-1-901-1,yes,nk_party,
1004,2010-542041-1-47-3,yes,kscm_party,
1004,2010-542041-1-901-6,yes,nk_party,
1004,2010-542041-1-721-12,yes,top-09_party,
1004,2010-542041-1-721-3,yes,top-09_party,
1004,2010-542041-1-901-2,yes,nk_party,
1005,2010-542041-1-902-7,yes,nk_party,
1005,2010-542041-1-7-9,yes,cssd_party,
1005,2010-542041-1-47-2,yes,kscm_party,
1005,2010-542041-1-47-1,yes,kscm_party,
1005,2010-542041-1-901-3,yes,nk_party,
1005,2010-542041-1-53-3,yes,ods_party,
1005,2010-542041-1-902-1,yes,nk_party,
1005,2010-542041-1-721-2,yes,top-09_party,
1005,2010-542041-1-53-7,yes,ods_party,
1005,2010-542041-1-901-1,yes,nk_party,
1005,2010-542041-1-47-3,yes,kscm_party,
1005,2010-542041-1-901-6,yes,nk_party,
1005,2010-542041-1-721-12,yes,top-09_party,
1005,2010-542041-1-721-3,yes,top-09_party,
1005,2010-542041-1-901-2,yes,nk_party,
1006,2010-542041-1-902-7,yes,nk_party,
1006,2010-542041-1-7-9,yes,cssd_party,
1006,2010-542041-1-47-2,yes,kscm_party,
1006,2010-542041-1-47-1,yes,kscm_party,
1006,2010-542041-1-901-3,yes,nk_party,
1006,2010-542041-1-53-3,yes,ods_party,
1006,2010-542041-1-902-1,yes,nk_party,
1006,2010-542041-1-721-2,yes,top-09_party,
1006,2010-542041-1-53-7,yes,ods_party,
1006,2010-542041-1-901-1,yes,nk_party,
1006,2010-542041-1-47-3,yes,kscm_party,
1006,2010-542041-1-901-6,yes,nk_party,
1006,2010-542041-1-721-12,yes,top-09_party,
1006,2010-542041-1-721-3,yes,top-09_party,
1006,2010-542041-1-901-2,yes,nk_party,
1007,2010-542041-1-902-7,yes,nk_party,
1007,2010-542041-1-7-9,yes,cssd_party,
1007,2010-542041-1-47-2,yes,kscm_party,
1007,2010-542041-1-47-1,yes,kscm_party,
1007,2010-542041-1-901-3,yes,nk_party,
1007,2010-542041-1-53-3,yes,ods_party,
1007,2010-542041-1-902-1,yes,nk_party,
1007,2010-542041-1-721-2,yes,top-09_party,
1007,2010-542041-1-53-7,yes,ods_party,
1007,2010-542041-1-901-1,yes,nk_party,
1007,2010-542041-1-47-3,yes,kscm_party,
1007,2010-542041-1-901-6,yes,nk_party,
1007,2010-542041-1-721-12,yes,top-09_party,
1007,2010-542041-1-721-3,yes,top-09_party,
1007,2010-542041-1-901-2,yes,nk_party,
1008,2010-542041-1-902-7,yes,nk_party,
1008,2010-542041-1-7-9,yes,cssd_party,
1008,2010-542041-1-47-2,yes,kscm_party,
1008,2010-542041-1-47-1,yes,kscm_party,
1008,2010-542041-1-901-3,yes,nk_party,
1008,2010-542041-1-53-3,yes,ods_party,
1008,2010-542041-1-902-1,yes,nk_party,
