id,legislative_session:number,start_date,item:title,item:number,motion:title,
1001,1,2014-11-06,program,1,hlasování o programu,
1002,1,2014-11-06,Volba starosty a místostarosty,2,ZO schvaluje zvolení jednoho místostarosty,
1003,1,2014-11-06,Volba starosty a místostarosty,2,"ZO určuje, že člen zastupitelstva bude dlouhodobě uvolněn pro výkon funkce starosty.",
1004,1,2014-11-06,Volba starosty a místostarosty,2,ZO schvaluje způsob volby starosty a místostarosty obce veřejným hlasováním,
1005,1,2014-11-06,Volba starosty a místostarosty,2,"ZO volí do funkce starosty obce Malá Morava pana Antonína Marinova, nar. 12.6.1972, bytem Malá Morava 88.",
1006,1,2014-11-06,Volba starosty a místostarosty,2,"ZO volí do funkce místostarosty obce Malá Morava pana Waltra Köhlera, nar. 20.11.1960, bytem Malá Morava 93.",
1007,1,2014-11-06,Zřízení finančního a kontrolního výboru obce,3,ZO zřizuje finanční výbor a kontrolní výbor obce. Oba výbory budou tříčlenné.,
1008,1,2014-11-06,Zřízení finančního a kontrolního výboru obce,3,ZO volí do funkce předsedy finančního výboru obce pana Pavla Moronga,
1009,1,2014-11-06,Zřízení finančního a kontrolního výboru obce,3,ZO volí do funkce předsedy kontrolního výboru obce pana Karla Svobodu,
1010,1,2014-11-06,Zřízení finančního a kontrolního výboru obce,3,ZO volí členy finančního výboru obce pana Josefa Hulína a paní Irenu Kouřilovou,
1011,1,2014-11-06,Zřízení finančního a kontrolního výboru obce,3,ZO volí členy finančního výboru obce paní Mgr. Olgu Špikovou a pana Josefa Temňáka,
1012,1,2014-11-06,Rozhodnutí o odměnách za výkon funkcí neuvolněných členů zastupitelstva,4,"ZO stanovuje měsíční odměnu za výkon funkce neuvolněného člena zastupitelstva obce, neuvolněného místostarosty obce a člena výboru obce takto: Člen zastupitelstva                             : 460,- Kč Člen zastupitelstva – předseda výboru : 1.060,- KčČlen zastupitelstva – člen výboru                  : 750,- Kč Neuvolněný místostarosta obce           : 4.000,- Kč Člen výboru – nečlen zastupitelstva obce      : 300,- Kč Odměna bude poskytována počínaje měsícem prosincem, tj. od 1.12.2014   ",
1013,1,2014-11-06,Rozpočtové opatření č. 200003/2014,5,ZO schvaluje rozpočtové opatření č. 200003/2014,
2001,2,2014-12-18,program,1,hlasování o programu,
2002,2,2014-12-18,Rozpočtové opatření,6,ZO schvaluje rozpočtové opatření č. 200004/2014,
2003,2,2014-12-18,Rozpočtové provizorium na rok 2015,10,ZO vyhlašuje na dobu od 1.1.2015 do schválení rozpočtu obce na rok 2015 rozpočtové provizorium a stanovuje podmínky pro hospodaření v tomto období,
2004,2,2014-12-18,Rozpočtový výhled,11,ZO schvaluje rozpočtový výhled na léta 2015-2018,
2005,2,2014-12-18,"Nová obecně závazná vyhláška o stanovení systému shromažďování, sběru, třídění, využívání a odstraňování komunálních odpadů a nakládání se stavebním odpadem na území obce Malá Morava",13," ZO schvaluje Obecně závaznou vyhlášku č. 1/2014 o stanovení systému shromažďování, sběru, přepravy, třídění, využívání a odstraňování komunálních odpadů a nakládání se stavebním odpadem na území obce Malá Morava",
2006,2,2014-12-18,"Místní poplatek za provoz systému shromažďování, sběru, přepravy, třídění, využívání a odstraňování odpadů v roce 2014",14," ZO schvaluje místní poplatek za provoz systému shromažďování, sběru, přepravy, třídění, využívání a odstraňování komunálních odpadů na rok 2015 ve stejné výši a to 480,- Kč",
2007,2,2014-12-18,Smlouva o poskytnutí podpory v rámci projektu „Kompostování v obci Malá Morava“,15,ZO souhlasí s podpisem smlouvy o poskytnutí dotace na základě opatření starosty č. 29/2014 ze dne 8.12.2014,
2008,2,2014-12-18,Smlouva o výpůjčce a darování,16,ZO schvaluje vzorovou smlouvu o výpůjčce a darování na domácí kompostéry v rámci projektu „Kompostování v obci Malá Morava“,
2009,2,2014-12-18,Výběrové řízení na opravu KD,17,ZO vyhlašuje výběrové řízení v rámci veřejné zakázky „Zateplení kulturního domu v Malé Moravě“,
2010,2,2014-12-18,Výběrové řízení na opravu KD,17,"ZO jmenuje  Antonína Marinova, Josefa Temňáka, Ing. Marka Jandu, Jana Kouřila a Waltera Köhlera členy výběrové komise pro výběrové řízení v rámci veřejné zakázky „Zateplení kulturního domu v Malé Moravě“",
2011,2,2014-12-18,Výběrové řízení na opravu KD,17,"ZO pověřuje starostu obce Antonína Marinova podpisem smlouvy o dílo s vítězem výběrového řízení v rámci veřejné zakázky „Zateplení kulturního domu v Malé Moravě“, na základě doporučení výběrové komise.",
2012,2,2014-12-18,Smlouva dopravní obslužnost,18,"ZO schvaluje uzavření smlouvy o poskytnutí příspěvku na zajištění dopravní obslužnosti Olomouckého kraje s Koordinátorem integrovaného dopravního systému Olomouckého kraje, příspěvkovou organizací, IČ 72556064.",
2013,2,2014-12-18,Souhlasy se stavbami,19, ZO souhlasí se stavbou dřevníku na p.č. 733/3 a st. 52 v k.ú. Malá Morava,
2014,2,2014-12-18,Souhlasy se stavbami,19,ZO souhlasí se stavbou  roubené chalupy a vrtané studny a pozemku p.č. 625/5 v k.ú. Sklené u Malé Moravy,
2015,2,2014-12-18,Souhlasy se stavbami,19,"ZO souhlasí se stavbou ČOV na pozemku p.č. 349/7, 350/2 a 1787/9 v k.ú. Malá Morava Sklené u Malé Moravy",
2016,2,2014-12-18,Souhlasy se stavbami,19,ZO souhlasí s dodatečným povolením stavby hospodářského objektu na pozemku p.č. 102 (podle GP na st. parcele č. 49 a p.č 102) v k.ú. Křivá Voda,
2017,2,2014-12-18,Pronájem bytu,20,"ZO schvaluje přidělení nájemního bytu v Podlesí č.p. 21 paní K.T., nyní bytem xxx",
