group:id,family_name,given_name,id
MÌSTO SOBÌ,Borka,Luboš,"Borka, Luboš"
ANO 2011,Drahorád,Michal,"Drahorád, Michal"
Piráti,Franta,Vojtìch,"Franta, Vojtìch"
ÈSSD,Haas,Libor,"Haas, Libor"
ANO 2011,Hurajèík,Martin,"Hurajèík, Martin"
ODS,Chval,Jiøí,"Chval, Jiøí"
ANO 2011,Kafka,Vladimír,"Kafka, Vladimír"
Piráti,Kalina,Martin,"Kalina, Martin"
VOLBA PRO MÌSTO,Kantor,Vladimír,"Kantor, Vladimír"
Piráti,Knotek,Ondøej,"Knotek, Ondøej"
ÈSSD,Míka,Miroslav,"Míka, Miroslav"
KSÈM,Miklušák,Pavel,"Miklušák, Pavel"
SDRUŽENÍ ML 100,Mottlová,Ivana,"Mottlová, Ivana"
KSÈM,Nìmec,Josef,"Nìmec, Josef"
Zmìna pro Mariánské Láznì,Pelc,Miloslav,"Pelc, Miloslav"
VOLBA PRO MÌSTO,Øíha,Pavel,"Øíha, Pavel"
VOLBY 94 - 2014,Šimánek,Antonín,"Šimánek, Antonín"
SDRUŽENÍ ML 100,Šnajdr,Radek,"Šnajdr, Radek"
Zmìna pro Mariánské Láznì,Tobrman,Oldøich,"Tobrman, Oldøich"
Piráti,Tøešòák,Petr,"Tøešòák, Petr"
Piráti,Tøešòák,Zdenìk,"Tøešòák, Zdenìk"
