vote_event:id,voter:id,option
8-1,"Borka, Luboš",for
8-2,"Borka, Luboš",for
8-3,"Borka, Luboš",for
8-4,"Borka, Luboš",for
8-5,"Borka, Luboš",for
8-6,"Borka, Luboš",for
8-7,"Borka, Luboš",for
8-8,"Borka, Luboš",for
8-9,"Borka, Luboš",for
8-10,"Borka, Luboš",for
8-11,"Borka, Luboš",for
8-12,"Borka, Luboš",for
8-13,"Borka, Luboš",for
8-14,"Borka, Luboš",for
8-15,"Borka, Luboš",for
8-16,"Borka, Luboš",for
8-17,"Borka, Luboš",for
8-18,"Borka, Luboš",for
8-19,"Borka, Luboš",for
8-20,"Borka, Luboš",for
8-21,"Borka, Luboš",for
8-22,"Borka, Luboš",for
8-23,"Borka, Luboš",not voting
8-24,"Borka, Luboš",for
8-25,"Borka, Luboš",for
8-26,"Borka, Luboš",for
8-27,"Borka, Luboš",for
8-28,"Borka, Luboš",for
8-29,"Borka, Luboš",for
8-30,"Borka, Luboš",for
8-31,"Borka, Luboš",for
8-32,"Borka, Luboš",for
8-33,"Borka, Luboš",for
8-34,"Borka, Luboš",for
8-35,"Borka, Luboš",for
8-36,"Borka, Luboš",for
8-37,"Borka, Luboš",for
8-38,"Borka, Luboš",for
8-39,"Borka, Luboš",for
8-40,"Borka, Luboš",for
8-41,"Borka, Luboš",for
9-1,"Borka, Luboš",for
9-2,"Borka, Luboš",for
9-3,"Borka, Luboš",for
9-4,"Borka, Luboš",for
9-5,"Borka, Luboš",for
9-6,"Borka, Luboš",abstain
9-7,"Borka, Luboš",for
9-8,"Borka, Luboš",for
9-9,"Borka, Luboš",for
9-10,"Borka, Luboš",for
9-11,"Borka, Luboš",for
9-12,"Borka, Luboš",for
9-13,"Borka, Luboš",for
9-14,"Borka, Luboš",for
9-15,"Borka, Luboš",for
9-16,"Borka, Luboš",for
9-17,"Borka, Luboš",for
9-18,"Borka, Luboš",for
9-19,"Borka, Luboš",for
9-20,"Borka, Luboš",for
9-21,"Borka, Luboš",for
9-22,"Borka, Luboš",for
9-23,"Borka, Luboš",for
9-24,"Borka, Luboš",for
9-25,"Borka, Luboš",for
9-26,"Borka, Luboš",for
9-27,"Borka, Luboš",abstain
9-28,"Borka, Luboš",for
9-29,"Borka, Luboš",for
9-30,"Borka, Luboš",for
9-31,"Borka, Luboš",for
9-32,"Borka, Luboš",for
9-33,"Borka, Luboš",for
9-34,"Borka, Luboš",for
9-35,"Borka, Luboš",for
9-36,"Borka, Luboš",for
9-37,"Borka, Luboš",for
9-38,"Borka, Luboš",for
10-1,"Borka, Luboš",for
10-2,"Borka, Luboš",for
10-3,"Borka, Luboš",for
10-4,"Borka, Luboš",for
10-5,"Borka, Luboš",for
10-6,"Borka, Luboš",for
10-7,"Borka, Luboš",for
10-8,"Borka, Luboš",for
10-9,"Borka, Luboš",for
10-10,"Borka, Luboš",for
10-11,"Borka, Luboš",for
10-12,"Borka, Luboš",for
10-13,"Borka, Luboš",not voting
10-14,"Borka, Luboš",for
10-15,"Borka, Luboš",for
10-16,"Borka, Luboš",for
11-1,"Borka, Luboš",not voting
11-2,"Borka, Luboš",for
11-3,"Borka, Luboš",for
11-4,"Borka, Luboš",for
11-5,"Borka, Luboš",for
11-6,"Borka, Luboš",for
11-7,"Borka, Luboš",for
11-8,"Borka, Luboš",for
11-9,"Borka, Luboš",for
11-10,"Borka, Luboš",for
11-11,"Borka, Luboš",abstain
11-12,"Borka, Luboš",for
11-13,"Borka, Luboš",for
11-14,"Borka, Luboš",for
11-15,"Borka, Luboš",for
11-16,"Borka, Luboš",for
8-1,"Drahorád, Michal",for
8-2,"Drahorád, Michal",for
8-3,"Drahorád, Michal",for
8-4,"Drahorád, Michal",for
8-5,"Drahorád, Michal",for
8-6,"Drahorád, Michal",for
8-7,"Drahorád, Michal",for
8-8,"Drahorád, Michal",for
8-9,"Drahorád, Michal",for
8-10,"Drahorád, Michal",for
8-11,"Drahorád, Michal",for
8-12,"Drahorád, Michal",for
8-13,"Drahorád, Michal",for
8-14,"Drahorád, Michal",for
8-15,"Drahorád, Michal",for
8-16,"Drahorád, Michal",for
8-17,"Drahorád, Michal",for
8-18,"Drahorád, Michal",for
8-19,"Drahorád, Michal",for
8-20,"Drahorád, Michal",for
8-21,"Drahorád, Michal",for
8-22,"Drahorád, Michal",for
8-23,"Drahorád, Michal",for
8-24,"Drahorád, Michal",for
8-25,"Drahorád, Michal",for
8-26,"Drahorád, Michal",for
8-27,"Drahorád, Michal",for
8-28,"Drahorád, Michal",for
8-29,"Drahorád, Michal",for
8-30,"Drahorád, Michal",for
8-31,"Drahorád, Michal",for
8-32,"Drahorád, Michal",for
8-33,"Drahorád, Michal",for
8-34,"Drahorád, Michal",for
8-35,"Drahorád, Michal",for
8-36,"Drahorád, Michal",for
8-37,"Drahorád, Michal",for
8-38,"Drahorád, Michal",for
8-39,"Drahorád, Michal",for
8-40,"Drahorád, Michal",for
8-41,"Drahorád, Michal",for
9-1,"Drahorád, Michal",for
9-2,"Drahorád, Michal",for
9-3,"Drahorád, Michal",for
9-4,"Drahorád, Michal",for
9-5,"Drahorád, Michal",for
9-6,"Drahorád, Michal",for
9-7,"Drahorád, Michal",for
9-8,"Drahorád, Michal",for
9-9,"Drahorád, Michal",for
9-10,"Drahorád, Michal",for
9-11,"Drahorád, Michal",for
9-12,"Drahorád, Michal",for
9-13,"Drahorád, Michal",for
9-14,"Drahorád, Michal",for
9-15,"Drahorád, Michal",for
9-16,"Drahorád, Michal",for
9-17,"Drahorád, Michal",for
9-18,"Drahorád, Michal",for
9-19,"Drahorád, Michal",for
9-20,"Drahorád, Michal",for
9-21,"Drahorád, Michal",for
9-22,"Drahorád, Michal",for
9-23,"Drahorád, Michal",for
9-24,"Drahorád, Michal",for
9-25,"Drahorád, Michal",for
9-26,"Drahorád, Michal",for
9-27,"Drahorád, Michal",for
9-28,"Drahorád, Michal",for
9-29,"Drahorád, Michal",for
9-30,"Drahorád, Michal",for
9-31,"Drahorád, Michal",for
9-32,"Drahorád, Michal",for
9-33,"Drahorád, Michal",for
9-34,"Drahorád, Michal",for
9-35,"Drahorád, Michal",for
9-36,"Drahorád, Michal",for
9-37,"Drahorád, Michal",for
9-38,"Drahorád, Michal",for
10-1,"Drahorád, Michal",for
10-2,"Drahorád, Michal",for
10-3,"Drahorád, Michal",for
10-4,"Drahorád, Michal",for
10-5,"Drahorád, Michal",for
10-6,"Drahorád, Michal",for
10-7,"Drahorád, Michal",for
10-8,"Drahorád, Michal",for
10-9,"Drahorád, Michal",for
10-10,"Drahorád, Michal",for
10-11,"Drahorád, Michal",for
10-12,"Drahorád, Michal",for
10-13,"Drahorád, Michal",for
10-14,"Drahorád, Michal",for
10-15,"Drahorád, Michal",for
10-16,"Drahorád, Michal",for
11-1,"Drahorád, Michal",absent
11-2,"Drahorád, Michal",absent
11-3,"Drahorád, Michal",absent
11-4,"Drahorád, Michal",absent
11-5,"Drahorád, Michal",absent
11-6,"Drahorád, Michal",absent
11-7,"Drahorád, Michal",absent
11-8,"Drahorád, Michal",absent
11-9,"Drahorád, Michal",absent
11-10,"Drahorád, Michal",absent
11-11,"Drahorád, Michal",absent
11-12,"Drahorád, Michal",absent
11-13,"Drahorád, Michal",absent
11-14,"Drahorád, Michal",absent
11-15,"Drahorád, Michal",absent
11-16,"Drahorád, Michal",absent
8-1,"Franta, Vojtìch",for
8-2,"Franta, Vojtìch",for
8-3,"Franta, Vojtìch",for
8-4,"Franta, Vojtìch",for
8-5,"Franta, Vojtìch",for
8-6,"Franta, Vojtìch",for
8-7,"Franta, Vojtìch",for
8-8,"Franta, Vojtìch",for
8-9,"Franta, Vojtìch",for
8-10,"Franta, Vojtìch",for
8-11,"Franta, Vojtìch",for
8-12,"Franta, Vojtìch",for
8-13,"Franta, Vojtìch",for
8-14,"Franta, Vojtìch",for
8-15,"Franta, Vojtìch",for
8-16,"Franta, Vojtìch",for
