id,legislative_session:number,start_date,item:title,item:number,motion:title,
1001,1,2014-11-03,Program ustavujícího zasedání ,2,Zastupitelstvo obce Metylovice schvaluje program ustavujícího zasedání zastupitelstva obce Metylovice.,
1002,1,2014-11-03,Volba ověřovatelů zápisu a zapisovatele,3,Zastupitelstvo obce Metylovice určuje ověřovateli zápisu Ing. Miroslava Končeného a Jiřinu Halatovou a zapisovatelem Ing. Lukáše Halatu.,
1003,1,2014-11-03,Určení způsobu volby starosty a místostarosty,4,Zastupitelstvo obce Metylovice schvaluje způsob volby starosty a místostarosty veřejným hlasováním. ,
1004,1,2014-11-03,"Určení, zda bude zvolený člen zastupitelstva vykonávat funkci starosty jako dlouhodobě uvolněn či neuvolněn ",5,"Zastupitelstvo obce Metylovice v souladu s § 84 odst. 2 písm. k) zákona o obcích určuje, že pro výkon funkce starosty obce bude člen zastupitelstva dlouhodobě uvolněn.",
1005,1,2014-11-03,Volba starosty,6,Zastupitelstvo obce Metylovice volí starostou obce Metylovice Ing. Lukáše Halatu.,
1006,1,2014-11-03,Určení počtu místostarostů,7,Zastupitelstvo obce Metylovice schvaluje zvolení jednoho místostarosty.,
1007,1,2014-11-03,"Určení, zda bude zvolený člen zastupitelstva vykonávat funkci místostarosty jako dlouhodobě uvolněn či neuvolněn (§ 71 zákona o obcích) ",8,"Zastupitelstvo obce Metylovice v souladu s § 84 odst. 2 písm. k) zákona o obcích určuje, že pro výkon funkce místostarosty obce bude člen zastupitelstva dlouhodobě neuvolněn.",
1008,1,2014-11-03,Volba místostarosty,9,Zastupitelstvo obce Metylovice volí místostarostou obce Ing. Radomíra Kulhánka.,
1009,1,2014-11-03,Zřízení výborů,10,"Zastupitelstvo obce Metylovice zřizuje finanční, kontrolní, stavební a kulturní výbor. Všechny výbory budou tříčlenné.",
1010,1,2014-11-03,Volba předsedů výborů ,11,"Zastupitelstvo obce Metylovice volí předsedou finančního výboru paní Jiřinu Halatovou, předsedou kontrolního výboru pana Zbyňka Drasticha, předsedou stavebního výboru Ing. Miroslava Konečného a předsedou kulturního výboru slečnu Leonu Pavláskovou.",
1011,1,2014-11-03,Volba členů finančního výboru,12,"Zastupitelstvo obce Metylovice volí členy finančního výboru slečnu Leonu Pavláskovou a Ing. Jana Koloničného, PhD.",
1012,1,2014-11-03,Volba členů kontrolního výboru,13,Zastupitelstvo obce Metylovice volí členy kontrolního výboru pana Lumíra Halatu a Bc. Jakuba Farného.,
1013,1,2014-11-03,Volba členů stavebního výboru,14,Zastupitelstvo obce Metylovice volí členy stavebního výboru Ing. Martu Bílkovou a Ing. Radomíra Kulhánka.,
1014,1,2014-11-03,Volba členů kulturního výboru,15,Zastupitelstvo obce Metylovice volí členy kulturního výboru pana Tomáše Rabase a Bc. Jakuba Farného.,
2001,2,2014-11-18,Program zasedání,1,Zastupitelstvo obce Metylovice schvaluje program zasedání.,
2002,2,2014-11-18,Volba ověřovatelů zápisu,2,"Zastupitelstvo obce Metylovice určuje ověřovateli zápisu Ing. Jana Koloničného, Ph.D. a pana Tomáše Rabase.",
2003,2,2014-11-18, Rozhodnutí o odměnách za výkon funkcí neuvolněných členů zastupitelstva,4,"Zastupitelstvo obce Metylovice v souladu s § 72 a § 84 odst. 2 písm. n) zákona o obcích stanovilo neuvolněným členům zastupitelstva obce odměnu za výkon funkce předsedy výboru zastupitelstva obce ve výši 1 840 Kč hrubého měsíčně, člena výboru ve výši 1 600 Kč hrubého měsíčně,  předsedy výboru, který je zároveň i členem dalšího výboru zastupitelstva obce ve výši 2 900 Kč hrubého měsíčně a člena výboru, který je zároveň i členem dalšího výboru zastupitelstva obce ve výši 2 660 Kč hrubého měsíčně. Veškeré uvedené částky v sobě zároveň obsahují odměnu vyplývající z funkce člena zastupitelstva obce. Odměna bude poskytována ode schválení výše odměn zastupitelstvem obce tj. od 18. 11. 2014. ",
2004,2,2014-11-18, Rozhodnutí o odměnách za výkon funkcí neuvolněných členů zastupitelstva,4,Zastupitelstvo obce Metylovice v souladu s § 72 a § 84 odst. 2 písm. n) zákona o obcích stanovilo odměnu za výkon funkce místostarosty jako neuvolněného člena zastupitelstva obce ve výši 19 000 Kč hrubého měsíčně. Odměna bude poskytována ode dne zvolení do funkce místostarosty tj. od 3. 11. 2014. ,
2005,2,2014-11-18,Darovací smlouva s paní Zdeňkou Smilovskou na darování pozemku PZE st. 143/1 obci ,5,"Zastupitelstvo obce Metylovice schvaluje přijetí daru – pozemku PZE st. 143/1, o výměře 78 m2 v k.ú. Metylovice.",
2006,2,2014-11-18,Darovací smlouva s paní Zdeňkou Smilovskou na darování pozemku PZE st. 143/1 obci ,5,"Zastupitelstvo obce Metylovice schvaluje Darovací smlouvu s paní Zdeňkou Smilovskou, Metylovice č. p. 17, 739 49 Metylovice, na darování pozemku PZE st. 143/1, o výměře 78 m2 obci Metylovice a pověřuje starostu obce k podpisu darovací smlouvy viz. příloha č. 2.",
2007,2,2014-11-18,Kupní smlouva s paní Zuzanou Kněžkovou na koupi pozemků parc. č. 230/7 a st. 37/3 v k.ú. Metylovice,8,"Zastupitelstvo obce Metylovice schvaluje Kupní smlouvu s paní Zuzanou Kněžkovou, bytem Nová Dědina čp. 253, 739 11 Frýdlant nad Ostravicí, na koupi pozemků parc. č. 230/7 a st. 37/3 v k.ú. Metylovice a pověřuje starostu obce k podpisu kupní smlouvy viz. příloha č. 3.",
2008,2,2014-11-18,Smlouva o uzavření budoucí smlouvy darovací č. FM/6/i/2014/Ch s Moravskoslezským krajem na darování části pozemků parc. č. 2065 a 2066,10,"Zastupitelstvo obce Metylovice schvaluje Smlouvu o uzavření budoucí smlouvy darovací  č. FM/6/i/2014/Ch s Moravskoslezským krajem, ulice 28. října 117, 702 18 Ostrava, IČ:70890692 na darování části pozemků parc. č. 2065 a 2066 v k.ú. Metylovice a pověřuje starostu obce k podpisu smlouvy  o smlouvě budoucí darovací viz. příloha č. 4.",
2009,2,2014-11-18,Smlouva č. 14214184 o poskytnutí podpory ze Státního fondu životního prostředí ČR v rámci Operačního programu Životní prostředí na akci „Zavedení separace a svozu bioodpadů v obci Metylovice“,11,Zastupitelstvo obce Metylovice schvaluje Smlouvu č. 14214184 o poskytnutí podpory ze Státního fondu životního prostředí ČR v rámci Operačního programu Životní prostředí na akci „Zavedení separace a svozu bioodpadů v obci Metylovice“ a pověřuje starostu obce k podpisu této smlouvy viz. příloha č. 5.,
2010,2,2014-11-18,Smlouva č. 13143446 o poskytnutí podpory ze Státního fondu životního prostředí ČR v rámci Operačního programu Životní prostředí na akci „Regenerace ovocného sadu v Metylovicích“,12,Zastupitelstvo obce Metylovice schvaluje Smlouvu č. 13143446 o poskytnutí podpory ze Státního fondu životního prostředí ČR v rámci Operačního programu Životní prostředí na akci „Regenerace ovocného sadu v Metylovicích“ a pověřuje starostu obce k podpisu této smlouvy viz. příloha č. 6.,
2011,2,2014-11-18,Rozpočtová úprava č. 6 ,14,Zastupitelstvo obce Metylovice schvaluje rozpočtovou úpravu č. 6 viz. příloha č. 8.,
2012,2,2014-11-18,Zrušení usnesení č. 8/2014.33b (schválení mimořádných odměn zastupitelům obce Metylovice za vykonanou práci ve volebním období 2010 – 2014),15,Zastupitelstvo obce Metylovice schvaluje zrušení usnesení č. 8/2014.33b (schválení mimořádných odměn zastupitelům obce Metylovice za vykonanou práci ve volebním období 2010 – 2014.),
2013,2,2014-11-18,Smlouva o poskytnutí služeb s Diakonií Broumov na umístění a provoz 1 ks kontejneru na textil,16,"Zastupitelstvo obce Metylovice schvaluje smlouvu o poskytnutí služeb s Diakonií Broumov, Husova 319, Velka Ves, 550 01 Broumov, IČ: 49289977 na umístění a provoz 1 ks kontejneru na použitý textil a pověřuje starostu obce k podpisu této smlouvy viz. příloha č. 9.",
2014,2,2014-11-18,Smlouva o poskytnutí služeb s Armádou spásy v ČR na umístění a provoz 2 ks kontejnerů pro sběr použitého textilu,17,"Zastupitelstvo obce Metylovice schvaluje smlouvu o poskytnutí služeb s Armádou spásy v ČR, Petržílkova 2565/23, 158 00 Praha 13 – Stodůlky, IČ: 40613411 na umístění a provoz 2 ks kontejnerů pro sběr použitého textilu a pověřuje starostu obce k podpisu této smlouvy viz. příloha č. 10.",
2015,2,2014-11-18,"Nabídka společnosti INNOVA Int. s.r.o. na zpracování a odevzdání žádosti o dotaci ze Státního fondu dopravní infrastruktury na projekt "Přístupové chodníky a místo pro přecházení v křižovatce silnic III/48410, III/48416 a místní komunikace v k.ú. Metylovice“",18,"Zastupitelstvo obce Metylovice schvaluje Smlouvu o poradenské činnosti č. 2014085 se společnosti INNOVA Int. s.r.o., Jílová 1913/14, 702 00 Ostrava – Moravská Ostrava, IČ: 27857255 na zpracování a odevzdání žádosti o dotaci ze Státního fondu dopravní infrastruktury  na projekt "Přístupové chodníky a místo pro přecházení v křižovatce silnic III/48410, III/48416 a místní komunikace v k.ú. Metylovice“ za cenu 29 040 Kč včetně DPH + 3% bez DPH z finanční podpory schválené poskytovatelem dotace a pověřuje starostu obce k podpisu této smlouvy viz. příloha č. 11.",
2016,2,2014-11-18,Nabídka obce Metylovice na směnu obecního pozemku parc. č. 1944/15 v k.ú. Metylovice za  pozemky ve vlastnictví Státního pozemkového úřadu,19,Zastupitelstvo obce Metylovice schvaluje směnu obecního pozemku parc. č. 1944/15 v k.ú. Metylovice za  pozemky ve vlastnictví Státního pozemkového úřadu viz. příloha č. 12. ,
3001,3,2014-12-15,Program zasedání,1,Zastupitelstvo obce Metylovice schvaluje program zasedání.,
3002,3,2014-12-15,Volba ověřovatelů zápisu ,2,Zastupitelstvo obce Metylovice určuje ověřovateli zápisu pana Zbyňka Drasticha a pana Miroslava Konečného.,
3003,3,2014-12-15,Výroční zpráva ZŠ Mjr. Ambrože Bílka a MŠ Metylovice o činnosti školy za školní rok 2013/2014,4,Zastupitelstvo obce Metylovice schvaluje výroční zprávu ZŠ a MŠ Metylovice o činnosti školy za školní rok 2013/2014 -  viz příloha č. 2.,
3004,3,2014-12-15,Žádost ředitelky ZŠ Mjr. Ambrože Bílka a MŠ Metylovice o stanovení odměny pro ředitelku školy z přebytků financí krajského rozpočtu na pedagogické pracovníky za kalendářní rok 2014,5,Zastupitelstvo obce Metylovice schvaluje odměnu pro ředitelku školy z přebytků financí krajského rozpočtu na pedagogické pracovníky ve výši 32 000 Kč.,
3005,3,2014-12-15,Smlouva o poskytnutí dotace z rozpočtu Regionální rady pro projekt „Nevyužitá základní škola v obci Metylovice“ s registračním číslem CZ.1.10/2.3.00/06.01697,8,Zastupitelstvo obce Metylovice schvaluje Smlouvu o poskytnutí dotace z rozpočtu Regionální rady regionu soudržnosti Moravskoslezsko na projekt "Nevyužitá základní škola v obci Metylovice" s registračním číslem CZ.1.10/2.3.00/06.01697  a pověřuje starostu obce k podpisu Smlouvy o poskytnutí dotace - viz příloha č. 3.,
