id,name,organization:party,organization:affiliation,organization:list,
2014-512184-1-721-7,Bílková Marta Ing.,top-09_party,bezpp_affiliation,721_list,
2014-512184-1-901-8,Drastich Zbyněk,nk_party,bezpp_affiliation,901_list,
2014-512184-1-901-6,Farný Jakub Bc.,nk_party,bezpp_affiliation,901_list,
2014-512184-1-901-1,Halata Lukáš Ing.,nk_party,bezpp_affiliation,901_list,
2014-512184-1-1-2,Halata Lumír,kdu-csl_party,bezpp_affiliation,1_list,
2014-512184-1-1-4,Halatová Jiřina,kdu-csl_party,kdu-csl_affiliation,1_list,
2014-512184-1-901-2,Konečný Miroslav Ing.,nk_party,bezpp_affiliation,901_list,
2014-512184-1-901-4,Kulhánek Radomír Ing.,nk_party,bezpp_affiliation,901_list,
2014-512184-1-721-8,Luňáček Zbyněk MUDr.,top-09_party,bezpp_affiliation,721_list,
2014-512184-1-901-3,Pavlásková Leona,nk_party,bezpp_affiliation,901_list,
2014-512184-1-901-5,Rabas Tomáš,nk_party,bezpp_affiliation,901_list,
2014-512184-1-721-1,Koloničný Jan Ing. Ph.D.,top-09_party,bezpp_affiliation,721_list,
