id,legislative_session:number,start_date,item:title,item:number,motion:title,
1001,1,2014-11-03,Usnesení č. 1,1,Zastupitelstvo obce Mikulovice určuje dosavadního starostu obce Ing. Josefa Nentvicha 

předsedajícím průběhu ustavujícího zasedání.,
1002,1,2014-11-03,Usnesení č. 2,2,Zastupitelstvo obce Mikulovice určuje ověřovateli zápisu p. Radka Báňu a Františka Teplého a 
zapisovatelem p. Karla Pfeifera.,
1003,1,2014-11-03,Usnesení č. 3,3,"Zastupitelstvo obce Mikulovice schvaluje program ustavujícího zasedání, v plném znění.",
1004,1,2014-11-03,Usnesení č. 4,4,Zastupitelstvo obce Mikulovice schvaluje zvolení jednoho místostarosty.,
1005,1,2014-11-03,Usnesení č. 5,5,"Zastupitelstvo obce Mikulovice v souladu s § 84 odst. 2 písm. k) zákona o obcích určuje, že pro

výkon funkce starosty obce bude člen zastupitelstva dlouhodobě uvolněn.",
1006,1,2014-11-03,Usnesení č. 6,6,Zastupitelstvo obce Mikulovice schvaluje veřejný způsob volby starosty a místostarosty.,
1007,1,2014-11-03,Usnesení č. 7,7,Zastupitelstvo obce Mikulovice schvaluje přímý způsob volby starosty a místostarosty bez volební
komise.,
1008,1,2014-11-03,Usnesení č. 8,8,Zastupitelstvo obce Mikulovice volí starostou obce Mikulovice pana Ing. Josefa Nentvicha.,
1009,1,2014-11-03,Usnesení č. 9,9,Zastupitelstvo obce Mikulovice volí místostarostou obce Mikulovice pana Martina Pfeifera,
1010,1,2014-11-03,Usnesení č. 10,10,Zastupitelstvo obce Mikulovice zřizuje finanční výbor a kontrolní výbor. Finanční výbor bude 
pětičlenný a kontrolní výbor bude tříčlenný.,
1011,1,2014-11-03,Usnesení č. 11,11,Zastupitelstvo obce Mikulovice volí předsedou finančního výboru pana Milana Průška.,
1012,1,2014-11-03,Usnesení č. 12,12,Zastupitelstvo obce Mikulovice volí předsedou kontrolního výboru pana Františka Teplého.,
1013,1,2014-11-03,Usnesení č. 13,13,Zastupitelstvo obce Mikulovice volí člena finančního výboru PhDr. Josefa Kasala.,
1014,1,2014-11-03,Usnesení č. 14,14,Zastupitelstvo obce Mikulovice volí členy finančního výboru pana Ing. Vladimíra Šmída.,
1015,1,2014-11-03,Usnesení č. 15,15,Zastupitelstvo obce Mikulovice volí členkou kontrolního výboru sl. Součkovou M.,
1016,1,2014-11-03,Usnesení č. 16,16,Zastupitelstvo obce Mikulovice volí členkou kontrolního výboru paní Dotzauerovou.,
1017,1,2014-11-03,Usnesení č. 17,17,"Zastupitelstvo obce Mikulovice schvaluje zřídit tyto komise:

1. Komise stavební a územně plánovací

2. Školní, sociální, kultury a sportu",
1018,1,2014-11-03,Usnesení č. 18,18,Zastupitelstvo obce Mikulovice volí předsedou komise stavební a územně plánovací pana Karla
Pfeifera.,
