id,classification_id,classification,name,
nk_party,party,Navrhující strana,Nezávislí kandidáti,
sos_party,party,Navrhující strana,Strana pro otevřenou společnost,
ohmo_party,party,Navrhující strana,Mimoňská obroda,
sn_party,party,Navrhující strana,"Sdružení nestraníků",
ods_party,party,Navrhující strana,Občanská demokratická strana,
top-09_party,party,Navrhující strana,TOP 09,
cssd_party,party,Navrhující strana,Česká strana sociálně demokratická,
kscm_party,party,Navrhující strana,Komunistická strana Čech a Moravy,
bezpp_affiliation,affiliation,Stranická příslušnost,Bez politické příslušnosti,
ohmo_affiliation,affiliation,Stranická příslušnost,Mimoňská obroda,
top-09_affiliation,affiliation,Stranická příslušnost,TOP 09,
cssd_affiliation,affiliation,Stranická příslušnost,Česká strana sociálně demokratická,
kscm_affiliation,affiliation,Stranická příslušnost,Komunistická strana Čech a Moravy,
901_list,list,Kandidátní listina,listina nezávislých kandidátů,
103_list,list,Kandidátní listina,Strana pro otevřenou společnost,
190_list,list,Kandidátní listina,Mimoňská obroda,
158_list,list,Kandidátní listina,"Sdružení nestraníků",
53_list,list,Kandidátní listina,Občanská demokratická strana,
721_list,list,Kandidátní listina,TOP 09,
7_list,list,Kandidátní listina,Česká strana sociálně demokratická,
47_list,list,Kandidátní listina,Komunistická strana Čech a Moravy,
