id,legislative_session:number,start_date,item:number,motion:title,
1001,1,2010-11-09,,"Zastupitelstvo Obce Modrava rozhodlo, že pro výkon funkce starosty obce bude člen zastupitelstva obce dlouhodobě uvolněn.",
1002,1,2010-11-09,,"Zastupitelstvo Obce Modrava rozhodlo, že volba starosty a místostarosty proběhne veřejným hlasováním.",
1003,1,2010-11-09,,"Poté Zastupitelstvo Obce Modrava rozhodlo, že starostou obce Modrava volí Antonína Schuberta.",
1004,1,2010-11-09,,"Zastupitelstvo Obce Modrava rozhodlo, že místostarostou obce volí Jaroslava Doležala.",
1005,1,2010-11-09,,"Zastupitelstvo Obce Modrava rozhodlo, že zřizuje kontrolní a finanční výbor zastupitelstva obce, kdy oba výbory budou tříčlenné.",
1006,1,2010-11-09,,"Zastupitelstvo Obce Modrava rozhodlo, že předsedkyní finančního výboru zastupitelstva obce volí Michaelu Lyer.",
1007,1,2010-11-09,,"Zastupitelstvo Obce Modrava rozhodlo, že předsedkyní kontrolního výboru zastupitelstva obce volí Vratislavu Pavlíkovou.",
1008,1,2010-11-09,,"Zastupitelstvo Obce Modrava rozhodlo, že za členy finančního výboru volí pana Martina Pavlíka ml., a paní Annu Frimlovou.",
1009,1,2010-11-09,,"Zastupitelstvo Obce Modrava rozhodlo, že za členy kontrolního výboru volí pana Jana Svobodu a paní Annu Šmítkovou.",
1010,1,2010-11-09,,"Zastupitelstvo Obce Modrava rozhodlo, že za výkon funkce neuvolněného člena zastupitelstva obce stanoví měsíční odměnu 280,-Kč.",
1011,1,2010-11-09,,"Zastupitelstvo Obce Modrava rozhodlo, že za výkon funkce místostarosty obce jako neuvolněného člena zastupitelstva stanoví měsíční odměnu ve výši 3.000,-Kč.",
1012,1,2010-11-09,,"Zastupitelstvo Obce Modrava rozhodlo, že za výkon funkce neuvolněného člena zastupitelstva – člena výboru nebo komise obce stanoví měsíční odměnu 400,-Kč a za výkon funkce neuvolněného člena zastupitelstva – předsedy člena výboru nebo komise obce stanoví odměnu 800,-Kč.",
1013,1,2010-11-09,,"Zastupitelstvo Obce Modrava rozhodlo, že v případě souběhu nároků na odměnu za výkon funkce dle předchozích usnesení se odměna poskytne pouze za výkon funkce, za jejíž výkon ve smyslu usnesení zastupitelstva obce náleží nejvyšší odměna",
2001,2,2010-11-30,,Zastupitelstvo Obce Modrava schvaluje přistoupení Obce Modrava k projektu „Klidný region“ prostřednictvím Mikroregionu Šumava – západ.,
2002,2,2010-11-30,,"Zastupitelstvo Obce Modrava prohlašuje, že Obec Modrava má dostatečné finanční prostředky k financování projektu „Klidný region“ v plném rozsahu svého podílu na projektu, tj. 783 883,-- Kč + příslušenství za bankovní úvěr na financování projektu.",
2003,2,2010-11-30,,"Zastupitelstvo Obce Modrava se zavazuje, že v případě porušení dotačních podmínek Obcí Modrava a zkrácení, či úplném odebrání dotací z tohoto důvodu, převede, a to bezodkladně a v plném rozsahu, příslušnou částku na účet Mikroregionu Šumava – západ.",
2004,2,2010-11-30,,"Zastupitelstvo Obce Modrava pověřuje starostu podpisem smlouvy mezi Obcí Modrava a Mikroregionem Šumava – západ o zpětném převodu vyplacených dotací z účtu obce na účet mikroregionu, v případě porušení dotačních podmínek obcí a krácení, či odebrání dotací.",
2005,2,2010-11-30,,"Zastupitelstvo Obce Modrava schvaluje přijetí ručitelského závazku v plném rozsahu svého podílu na projektu, tj. 783 883,-- Kč + příslušenství za úvěr poskytnutý Českou spořitelnou a.s. Mikroregionu Šumava – západ na financování projektu „Klidný region“..",
2006,2,2010-11-30,,"Zastupitelstvo obce souhlasí uzavřením smlouvy o spolupráci mezi Obcí Modrava a Davidem Albrechtem, která tvoří přílohu tohoto usnesení.",
2007,2,2010-11-30,,"Zastupitelstvo obce souhlasí s uzavřením dodatku č. 2 ke stávající smlouvě o dílo, uzavřené mezi Obcí Modrava a společností STAFIN, a.s., v souladu s návrhem, který tvoří přílohu tohoto usnesení.",
2008,2,2010-11-30,,"Zastupitelstvo obce souhlasí s uzavřením smlouvy o dílo ohledně provedení projektových prací na zhotovení projektové a územně plánovací dokumentace územního plánu obce Modrava se společností Projektový ateliér AD, spol. s r.o. v souladu s návrhem, který tvoří přílohu tohoto usnesení. Cena díla činí 480.000,Kč vč. DPH.",
2009,2,2010-11-30,,"Zastupitelstvo obce souhlasí s uzavřením cenového dodatek ke smlouvě o zabezpečení sběru, přepravy, třídění, využívání a odstraňování komunálních odpadů v obci Modrava pro rok 2011 se společností RUMPOLD s.r.o., kdy cenový dodatek tvoří přílohu tohoto usnesení.",
2010,2,2010-11-30,,"Zastupitelstvo obce Modrava rozhodlo o nákupu sněžného skútru Tajga 500 TLR Widetrak za cenu 125.000,- Kč bez DPH a o nákupu příslušenství k sněžnému skútru.",
2011,2,2010-11-30,,Zastupitelstvo obce bere na vědomí odeslanou a doručenou poštu obce Modrava.,
2012,2,2010-11-30,,"Zastupitelstvo Obce Modrava rozhodlo, že deleguje osobu starosty jako reprezentanta Obce Modrava v Radě Národního parku Šumava.",
