id,legislative_session:number,start_date,item:title,item:number,motion:title,
1001,1,2014-11-05,výkon funkce starosty,1,výkon funkce starosty,
1002,1,2014-11-05,spusob volby starosty,2,veřejné hlasování,
1003,1,2014-11-05,volba starosty,3,starosta,
1004,1,2014-11-05,volba místostarosty,4,místostarosta,
1005,1,2014-11-05,zřízení kontrolního a finančního výboru,5,kontrolní a finanční výbor,
1006,1,2014-11-05,volba předsedy finančního výboru,6,předseda finančního výboru,
1007,1,2014-11-05,volba předsedkyně kontrolního výboru,7,předsedkyně kontrolního výboru,
1008,1,2014-11-05,volba členu finančního výboru,8,členové finančního výboru,
1009,1,2014-11-05,volba členu finančního výboru,9,členové finančního výboru,
1010,1,2014-11-05,rozhodnutí o složení hlavní inventarizační komise,10,hlavní inventarizační komise,
1011,1,2014-11-05,rozhodnutí o měsiční odměně za výkon funkce neuvolněného člena,11,měsiční odměna za výkon funkce neuvolněného člena,
1012,1,2014-11-05,rozhodnutí o měsiční odměně za výkon funkce místostarosty,12,měsiční odměna za výkon funkce místostarosty,
1013,1,2014-11-05,rozhodnutí o měsiční odměně člena výboru a komise a předsedy výboru a komise,13,měsiční odměna člena výboru a komise a předsedy výboru a komise,
1014,1,2014-11-05,uzavření Smlouvy č. 10050341 o poskytnutí podpory ze Státního fondu životního prostředí ČR v rámci Operačního programu Životní prostředí,14,schválení smlouvy,
1015,1,2014-11-05,uzavření dohody,15,uzavření dohody o narovnání mezi obcí a Ak. arch. Václavem Hodanem,
1016,1,2014-11-05,uzavření Smlouvy č. 10050341 o poskytnutí podpory ze Státního fondu životního prostředí ČR v rámci Operačního programu Životní prostředí,16,uzavření smlouvy o poskytování právních služeb mezi obcí a společností Holá,
2001,2,2015-04-28,výběrové řízení na určení kupujícího nemovitostí ve vlastnictví společnosti ČSOB,1,schválení podání nabídky na nabídkovou cenu,
2002,2,2015-04-28,schválení smlouvy o narovnání uzavřenou s Ak. arch. Václavem Hodanem a paní Ivanou Hodanovou,2,schválení smlouvy,
2003,2,2015-04-28,schválení zprávy o výsledcích přezkoumání hospodaření obce za rok 2014,3,zpráva o výsledcích přezkoumání hospodaření obce za rok 2014,
2004,2,2015-04-28,schválení závěrečného účtu obce za rok 2014,4,závěrečný účet obce za rok 2014,
2005,2,2015-04-28,schválení rozpočtového opatření č.1 rozpočtu na rok 2015,5,rozpočtové opatření č.1,
2006,2,2015-04-28,schválení zprávy starosty,6,"zpráva starosty obce o postupu realizace akce Nová ČOV Modrava, vodovod Modrava",
2007,2,2015-04-28,rozhodnutí o postupu ve věci chybného výkazu výměr pro stavbu nového vodojemu a úpravny vody,7,stavba vodojemu a úpravny vody,
2008,2,2015-04-28,schválení navýšení rozpočtu,8,navýšení rozpočtu,
2009,2,2015-04-28,rozhodnutí o pověření starosty realizací výběrového řízení na veřejnou zakázku,9,pověření starostu realizací výběrového řízení na veřejnou zakázku,
2010,2,2015-04-28,uzavření smlouvy s Ing. Jaroslavem Tachovským,10,smlouva,
2011,2,2015-04-28,"uzavření dodatku č. 1 k mandátní smlouvě uzavřené 29.9.2011 se společností Allowance s.r.o.,",11,dodatek č.1 k mandátní smlouvě,
2012,2,2015-04-28,"uzavření smlouvy číslo IV-12-0010131/001 o uzavření budoucí smlouvy o zřízení a vymezení věcného břemene mezi obcí a společností ČEZ Distribuce, a.s.",12,uzavření smlouvy o poskytování právních služeb mezi obcí a společností Holá,
2013,2,2015-04-28,"schválení žádosti RNDr. Petra Větrovského, Ph.D., majitele Hotelu Mádr na Modravě, o umístění navigační tabule na pozemek 1025/1 v k. ú. Filipova Huť,",13,schválení žádosti,
2014,2,2015-04-28,"přijetí nabídky Projektové a znalecké kanceláře, Ing. Václav Vlček, s.r.o.",14,nabídka znalecké kanceláře,
2015,2,2015-04-28,schválení účasti obce v integrovaném projektu „Autobusové čekárny na území Šumavy“ v rámci Programu stabilizace a obnovy venkova Plzeňského kraje,15,účast obce v integrovaném projektu,
2016,2,2015-04-28,"schválení smlouvy o propagaci uzavřenou s Klubem vojenské historie Gabreta,",16,smlouva o propagaci,
2017,2,2015-04-28,"schválení finančního daru ve výši 10.000,- Kč spolku Ski klub Šumava",17,finanční dar,
2018,2,2015-04-28,Schválení darovací smlouvy na finanční dar výzkumnému týmu projektu Šumava 2014-2015 - Vliv člověka na vývoj krajiny v oblasti Šumavy,18,darovací smlouva,
2019,2,2015-04-28,schválení projektové přípravy,19,rekonstrukce místní komunikace,
2020,2,2015-04-28,"schválení o přijetí nabídky společnosti Malované Mapy, s.r.o.,",20,přijetí nabídky,
2021,2,2015-04-28,neschválení přidruženého členství obce Modrava v Asociaci horských středisek ČR.,21,přidružené členstvi,
2022,2,2015-04-28,rozhodnutí o brání na vědomí korespondenci obce,22,korespondence obce,
