id,legislative_session:number,start_date,item:title,item:number,motion:title,
1001,1,2010-11-08,Určení ověřovatelů zápisu a zapisovatele,3,Zastupitelé Městyse Moravská Nová Ves jednohlasně schválili zapisovatelku zápisu p. Martinu Janulíkovovu.,
1002,1,2010-11-08,Určení ověřovatelů zápisu a zapisovatele,3,Zastupitelé Městyse Moravská Nová Ves jednohlasně schválili ověřovatele zápisu p. Ing.Pavla Zugara.,
1003,1,2010-11-08,Určení ověřovatelů zápisu a zapisovatele,3,Zastupitelé Městyse Moravská Nová Ves jednohlasně schválili ověřovatele zápisu p. Mgr.Jiřího Filu.,
1004,1,2010-11-08,Volba volební komise,4,Zastupitelstvo Městyse Moravská Nová Ves jednohlasně schválilo způsob volby – aklamací– veřejně.,
1005,1,2010-11-08,Volba volební komise,4,Zastupitelstvo Městyse Moravská Nová Ves jednohlasně schválilo předsedkyni volebníkomise p. Zlatuši Maděřičovou.,
1006,1,2010-11-08,Volba volební komise,4,Zastupitelstvo Městyse Moravská Nová Ves jednohlasně schválilo p. KarolínuValachovičovou členkou volební komise.,
1007,1,2010-11-08,Volba volební komise,4,Zastupitelstvo Městyse Moravská Nová Ves jednohlasně schválilo p. Vlastu Pudilovoučlenkou volební komise.,
1008,1,2010-11-08,Stanovení počtu uvolněných členů zastupitelstva městyse,5,Zastupitelstvo Městyse Moravská Nová Ves jednohlasně schválilo volbu uvolněnéhostarosty.,
1009,1,2010-11-08,Stanovení počtu uvolněných členů zastupitelstva městyse,5,Zastupitelstvo Městyse Moravská Nová Ves schválilo volbu uvolněného místostarosty.,
1010,1,2010-11-08,Volba starosty městyse,6,Zastupitelstvo Městyse Moravská Nová Ves schválilo p. Mgr. Bc. Marka Košuta starostouMěstyse Moravská Nová Ves.,
1011,1,2010-11-08,Volba zástupce starosty městyse,7,Zastupitelstvo Městyse Moravská Nová Ves schválilo uvolněným místostarostou MěstyseMoravská Nová Ves p. Jaroslava Kučeru.,
