id,classification_id,classification,name,
nk_party,party,Navrhující strana,Nezávislí kandidáti,
kdu-csl_party,party,Navrhující strana,Křesťan.a demokrat.unie-Českosl.strana lidová,
kscm_party,party,Navrhující strana,Komunistická strana Čech a Moravy,
stan_party,party,Navrhující strana,STAROSTOVÉ A NEZÁVISLÍ,
hnpd_party,party,Navrhující strana,Hnutí na podporu dobrov.hasičů a dal.dobrovolníků,
bezpp_affiliation,affiliation,Stranická příslušnost,Bez politické příslušnosti,
kdu-csl_affiliation,affiliation,Stranická příslušnost,Křesťan.a demokrat.unie-Českosl.strana lidová,
kscm_affiliation,affiliation,Stranická příslušnost,Komunistická strana Čech a Moravy,
470_list,list,Kandidátní listina,"Sdružení "STAN", NK",
1_list,list,Kandidátní listina,Křesťan.a demokrat.unie-Českosl.strana lidová,
901_list,list,Kandidátní listina,listina nezávislých kandidátů,
47_list,list,Kandidátní listina,Komunistická strana Čech a Moravy,
167_list,list,Kandidátní listina,Hnutí na podporu dobrov.hasičů a dal.dobrovolníků,
