id,name,organization:party,organization:affiliation,organization:list,
2014-588768-1-470-3,Albrechtová Bronislava Mgr.,nk_party,bezpp_affiliation,470_list,
2014-588768-1-470-11,Barnetová Jana Mgr.,nk_party,bezpp_affiliation,470_list,
2014-588768-1-1-4,Bleša Jan Ing.,kdu-csl_party,kdu-csl_affiliation,1_list,
2014-588768-1-47-7,Brňovjáková Dana,kscm_party,kscm_affiliation,47_list,
2014-588768-1-792-4,Handlová Ilja,usvit_party,bezpp_affiliation,792_list,
2014-588768-1-470-1,Horák Pavel Mgr.,nk_party,bezpp_affiliation,470_list,
2014-588768-1-1-15,Horáková Soňa Ing.,kdu-csl_party,bezpp_affiliation,1_list,
2014-588768-1-47-1,Jablunka Jan,kscm_party,kscm_affiliation,47_list,
2014-588768-1-7-6,Jablunka Petr,cssd_party,bezpp_affiliation,7_list,
2014-588768-1-7-1,Koutňák Martin,cssd_party,cssd_affiliation,7_list,
2014-588768-1-1-2,Lejsalová Eva,kdu-csl_party,kdu-csl_affiliation,1_list,
2014-588768-1-47-4,Minks Jiří,kscm_party,kscm_affiliation,47_list,
2014-588768-1-470-2,Ševčíková Monika,nk_party,bezpp_affiliation,470_list,
2014-588768-1-470-4,Štětina Vladimír,nk_party,bezpp_affiliation,470_list,
2014-588768-1-7-2,Vinklárek Jiří,cssd_party,bezpp_affiliation,7_list,
