vote_event_id,voter_id,option,group_id,
1001,2014-588768-1-470-3,yes,nk_party,
1001,2014-588768-1-470-11,yes,nk_party,
1001,2014-588768-1-1-4,yes,kdu-csl_party,
1001,2014-588768-1-47-7,yes,kscm_party,
1001,2014-588768-1-792-4,yes,usvit_party,
1001,2014-588768-1-470-1,yes,nk_party,
1001,2014-588768-1-1-15,yes,kdu-csl_party,
1001,2014-588768-1-47-1,yes,kscm_party,
1001,2014-588768-1-7-6,yes,cssd_party,
1001,2014-588768-1-7-1,yes,cssd_party,
1001,2014-588768-1-1-2,yes,kdu-csl_party,
1001,2014-588768-1-47-4,yes,kscm_party,
1001,2014-588768-1-470-2,yes,nk_party,
1001,2014-588768-1-470-4,yes,nk_party,
1001,2014-588768-1-7-2,yes,cssd_party,
1002,2014-588768-1-470-3,yes,nk_party,
1002,2014-588768-1-470-11,yes,nk_party,
1002,2014-588768-1-1-4,yes,kdu-csl_party,
1002,2014-588768-1-47-7,yes,kscm_party,
1002,2014-588768-1-792-4,yes,usvit_party,
1002,2014-588768-1-470-1,yes,nk_party,
1002,2014-588768-1-1-15,yes,kdu-csl_party,
1002,2014-588768-1-47-1,yes,kscm_party,
1002,2014-588768-1-7-6,yes,cssd_party,
1002,2014-588768-1-7-1,yes,cssd_party,
1002,2014-588768-1-1-2,yes,kdu-csl_party,
1002,2014-588768-1-47-4,yes,kscm_party,
1002,2014-588768-1-470-2,yes,nk_party,
1002,2014-588768-1-470-4,yes,nk_party,
1002,2014-588768-1-7-2,yes,cssd_party,
1003,2014-588768-1-470-3,yes,nk_party,
1003,2014-588768-1-470-11,yes,nk_party,
1003,2014-588768-1-1-4,yes,kdu-csl_party,
1003,2014-588768-1-47-7,yes,kscm_party,
1003,2014-588768-1-792-4,yes,usvit_party,
1003,2014-588768-1-470-1,yes,nk_party,
1003,2014-588768-1-1-15,yes,kdu-csl_party,
1003,2014-588768-1-47-1,yes,kscm_party,
1003,2014-588768-1-7-6,yes,cssd_party,
1003,2014-588768-1-7-1,yes,cssd_party,
1003,2014-588768-1-1-2,yes,kdu-csl_party,
1003,2014-588768-1-47-4,yes,kscm_party,
1003,2014-588768-1-470-2,yes,nk_party,
1003,2014-588768-1-470-4,yes,nk_party,
