id,legislative_session:number,start_date,item:title,item:number,motion:title,
1001,1,2014-01-21,Návrh úpravy jednacího řádu zastupitelstva obce Mukařov,2,"Zastupitelstvo obce schvaluje úpravu Jednacího řádu Zastupitelstva obce Mukařov: - § 9, bod 6: Hlasování se provádí veřejně. Veřejné hlasování se provádí zdvižením ruky pro návrh, nebo proti návrhu, nebo se lze hlasování zdržet. Zastupitelstvo může hlasováním rozhodnout, že o některém usnesení bude hlasováno tajně. Usnesení je přijato, hlasuje-li pro návrh nadpoloviční většina všech členů zastupitelstva. - v § 14, bod 3 se doplňuje: V zápise se uvádí – u všech usnesení jména hlasujících pro, proti, zdržel se.",
1002,1,2014-01-21,Projednání uzavření smlouvy o odkupu rozestavěné investice RJ,3,"Zastupitelstvo obce schvaluje odkup nedokončené investice vodovodního řadu G4 za 1,5 mil. Kč a to ve třech ročních splátkách a za podmínky, že svazek ponese záruky za kvalitu a funkčnost řadu, jakož i případné náklady nutné na uvedení této části řadu do řádného provozu.",
1003,1,2014-01-21,Projednání a schválení rozpočtu obce Mukařov na rok 2014,4,"Zastupitelstvo obce schvaluje rozpočet obce pro rok 2014 včetně projednaných změn – navýšení rezervy rozpočtu o zůstatek bankovního účtu ČNB a zvýšení odvodu do Fondu obnovy a rozvoje obce o 1 mil. Kč – s celkovou rezervou rozpočtu 1,4 mil Kč. Rozpočet je schválen v paragrafovém znění jako deficitní, přičemž schodek rozpočtu je plně kryt přebytkem hotovosti z minulých let",
1004,1,2014-01-21,"Návrh smlouvy ČEZ o zasíťování pozemku v ul. Bezová, Srbín",7,"Zastupitelstvo obce schvaluje uzavření smlouvy o uzavření budoucí smlouvy o zřízení věcného břemene na pozemky obce v k.ú. Srbín p.č. 662/68, 662/74, 662/76.",
1005,1,2014-01-21,Různé,8,"zastupitelstvo obce schvaluje návrh na změnu zařazení a označení pozemků v k.ú. Srbín, parc.č. 565/1, 565/4, 565/5 – 565/19, 565/21, 565/22, 573/1 do plochy obytné území a plochy smíšené území dle žádosti. Usnesení nebylo přijato",
8001,8,2014-12-11,Různé,9,"Zastupitelstvo obce souhlasí s tím, aby obec Mukařov převzala do svého majetku VHM v ul. Fialková a dočasným deponováním částky ve prospěch fy DORA na účet obce. Pověřuje starostu dalším jednáním pro stanovení podmínek převodu.",
8002,8,2014-12-11,Schválení smlouvy o spádovosti s obcí Klokočná,4,Zastupitelstvo obce schvaluje uzavření smlouvy o spádovém školském obvodu s obcí Klokočná.,
8003,8,2014-12-11,Projednání ceny vodného na Žernovce,7,"Zastupitelstvo obce schvaluje konečnou cenu vodného pro vodovody na Žernovce ve výši 30,- Kč včetně DPH.",
8004,8,2014-12-11,"Informace o připravovaných projektech obce na rok 2014, projednání MPOV 2014",8,Zastupitelstvo obce schvaluje strategický rozvojový dokument Místní plán obnovy vesnice pro rok 2014.,
8005,8,2014-12-11,Různé,9,Zastupitelstvo obce schvaluje umístění svislého dopravního značení dle připomínkovaných návrhů p. Semanského a Ing Malé.,
8006,8,2014-12-11,Různé,9,"Zastupitelstvo obce schvaluje vyplacení mimořádné odměny 20.000,- Kč kronikářce obce za 10-ti letou pečlivou a vzornou práci při vedení obecní kroniky.",
