id,classification_id,classification,name,
nk_party,party,Navrhující strana,Nezávislí kandidáti,
top-09_party,party,Navrhující strana,TOP 09,
stan_party,party,Navrhující strana,STAROSTOVÉ A NEZÁVISLÍ,
bezpp_affiliation,affiliation,Stranická příslušnost,Bez politické příslušnosti,
top-09_affiliation,affiliation,Stranická příslušnost,TOP 09,
kscm_affiliation,affiliation,Stranická příslušnost,Komunistická strana Čech a Moravy,
stan_affiliation,affiliation,Stranická příslušnost,STAROSTOVÉ A NEZÁVISLÍ,
470_list,list,Kandidátní listina,"Sdružení STAN, NK",
901_list,list,Kandidátní listina,listina nezávislých kandidátů,
721_list,list,Kandidátní listina,TOP 09,
