id,legislative_session:number,start_date,item:title,item:number,motion:title,
1001,1,2014-11-11,Volba mandátní komise pro ověření platnosti voleb,1,"Zastupitelstvo obce souhlasí s ustavením mandátní komise ve složení p. Budínová – předsedkyně, Ing. Doležel, p. Hegyi.",
1002,1,2014-11-11,Volba volební a návrhové komise,3,"Zastupitelstvo obce souhlasí s ustavením volební a návrhové komise ve složení Ing. Třeštík - předseda, p. Bergmann, p. Pokorný.",
1003,1,2014-11-11,"Volba starosty, místostarosty a rady obce",4,"Zastupitelstvo obce schvaluje volební řád a souhlasí s tajnou volbou starosty, místostarosty a člen rady obce.",
1004,1,2014-11-11,"Volba starosty, místostarosty a rady obce",4,"Zastupitelstvo obce souhlasí, aby starosta byl ve výkonu své funkce uvolněný.",
1005,1,2014-11-11,"Volba starosty, místostarosty a rady obce",4,Zastupitelstvo obce souhlasí s počtem dvou místostarostu pro další volební období.,
1006,1,2014-11-11,"Volba starosty, místostarosty a rady obce",4,"Zastupitelstvo obce souhlasí s výkonem funkcí místostarost pro další volební období, kdy 1. místostarosta bude uvolněný a 2. místostarosta neuvolněný.",
1007,1,2014-11-11,Návrh výbor obce a jejich složení,5,Zastupitelstvo obce souhlasí s ustavením 7-mi členného finančního výboru.,
1008,1,2014-11-11,Návrh výbor obce a jejich složení,5,"Zastupitelstvo obce souhlasí s obsazením finančního výboru ve složení – Bergmann, Doležel, Chvalina, Šavrda, Šoupal, Třeštík, Zuckerstein.",
1009,1,2014-11-11,Návrh výbor obce a jejich složení,5,Zastupitelstvo obce souhlasí se jmenováním Ing. Třeštíka za předsedu finančního výboru.,
1010,1,2014-11-11,Návrh výbor obce a jejich složení,5,Zastupitelstvo obce souhlasí s ustavením 7-mi členného kontrolního výboru.,
1011,1,2014-11-11,Návrh výbor obce a jejich složení,5,"Zastupitelstvo obce souhlasí s obsazením kontrolního výboru ve složení – Čadilová, Hegyiová, Hejduk, Klimentová, Kouba, Mádr, Pokorný.",
1012,1,2014-11-11,Návrh výbor obce a jejich složení,5,Zastupitelstvo obce souhlasí se jmenováním F. Pokorného za předsedu kontrolního výboru.,
1013,1,2014-11-11,Návrh výbor obce a jejich složení,5,"Zastupitelstvo obce souhlasí ustanovením 5-ti členného výboru pro pořádek a bezpečnost ve složení - Horák, Macháček, Müller, Semanský, Šavrda.",
1014,1,2014-11-11,Návrh výbor obce a jejich složení,5,"Zastupitelstvo obce souhlasí ustanovením 5-ti členného výboru pro životní prostředí ve složení - Budínová, Čadilová, Křepelka, Malá, Veselý.",
1015,1,2014-11-11,Návrh výbor obce a jejich složení,5,Z O souhlasí ustanovením 7-mi členného školského výboru.,
1016,1,2014-11-11,Návrh výbor obce a jejich složení,5,"Zastupitelstvo obce souhlasí se složením školského výboru - Batók, Hegyi, Hejduk, Macháčková, Nižníková, Skalický, Zima.",
1017,1,2014-11-11,Návrh výbor obce a jejich složení,5,"Zastupitelstvo obce souhlasí ustanovením 5-ti členného výboru pro sociální a kulturní věci ve složení - Batók, Brůhová, Malý, Pokorný, Semanská.",
1018,1,2014-11-11,Návrh výbor obce a jejich složení,5,Zastupitelstvo obce schvaluje do školské rady při ZŠ Mukařov E. Hegyiovou a Mgr. Jakoba jako zástupce zřizovatele školy.,
1019,1,2014-11-11,Jmenování inventurních komisí a schválení plánu inventur,6,Zastupitelstvo obce schvaluje plán inventur pro rok 2014.,
1020,1,2014-11-11,Jmenování inventurních komisí a schválení plánu inventur,6,Zastupitelstvo obce schvaluje jmenování dílčích inventurních komisí a hlavní inventurní komise dle seznamu předloženého zastupitelům.,
1021,1,2014-11-11,Volba určeného zastupitele pro územní plán obce,7,Zastupitelstvo obce schvaluje po dobu přípravy územního plánu obce Mukařov jako pověřeného zastupitele pro územní plán Ing. Eichnerovou.,
1022,1,2014-11-11,Různé,8,Zastupitelstvo obce schvaluje bezodkladnou realizaci chodníku a přechodu pro chodce u okružní křižovatky na Budech z vlastních prostředku obce.,
1023,1,2014-11-11,Různé,8,"Zastupitelstvo obce schvaluje podání žádosti o příspěvek z rozpočtu Státního fondu dopravní infrastruktury na osvětlení bezbariérových přechod pro chodce na silnici I/2 Kutnohorská, I/2 Pražská a 11/113 Choceradská. Zastupitelstvo obce Mukařov schvaluje spolufinancování této akce z rozpočtu obce na zajištění vlastních zdroj ve výši min. 15% celkových náklad akce.",
1024,1,2014-11-11,Různé,8,"Zastupitelstvo obce schvaluje rozpočet obce pro rok 2014 včetně projednaných změn - navýšení rezervy rozpočtu o zůstatek bankovního účtu ČNB a zvýšení odvodu do Fondu obnovy a rozvoje obce o 1 mil. K - s celkovou rezervou rozpočtu 1,4 mil Kč. Rozpočet je schválen v paragrafovém znění jako deficitní, přičemž schodek rozpočtu je pln kryt přebytkem hotovosti z minulých let. Příjmy a výdaje uskutečněné v dob rozpočtového provizoria se tímto stávají součástí příjm a výdajů schváleného rozpočtu na rok 2014.",
1025,1,2014-11-11,Různé,8,"Zastupitelstvo obce schvaluje závěrečný účet obce za rok 2013, jehož součástí je mimo jiné také Zpráva o výsledku přezkoumání hospodaření obce v roce 2013, s výhradou k zaúčtování drobného dlouhodobého majetku a bere zárove na vědomí přijetí nápravného opatření, které bylo učiněno aktualizací vnitropodnikové směrnice o účtování dlouhodobého majetku v souladu s kontrolním nálezem.",
2001,2,2014-12-09, Kontrola úkolů a usnesení z předešlých zasedání,1,"Zastupitelstvo obce schvaluje úpravu jednacího řádu zastupitelstva obce Mukařov tak, že hlasující zastupitel vždy nahlas a zřetelně vysloví své jméno s uvedením skutečnosti, zda byl pro nebo proti návrhu, nebo se hlasování zdržel. V případě většiny hlasů pro budou jména uvádět jen ti zastupitelé, kteří jsou proti návrhu, nebo kteří se zdrží hlasování.",
