id,name,organization:party,organization:affiliation,organization:list,
2014-535281-1-1-1,Ciglbauer Petr,kdu-csl_party,bezpp_affiliation,1_list,
2014-535281-1-901-3,Fošenbauer Ladislav,nk_party,bezpp_affiliation,901_list,
2014-535281-1-1-6,Gondeková Renata Ing.,kdu-csl_party,bezpp_affiliation,1_list,
2014-535281-1-902-5,Chalupský Petr,nk_party,bezpp_affiliation,902_list,
2014-535281-1-1-2,Junek Jiří,kdu-csl_party,bezpp_affiliation,1_list,
2014-535281-1-901-2,Krtička Jiří Ing.,nk_party,bezpp_affiliation,901_list,
2014-535281-1-902-2,Pindryč Bohuslav,nk_party,bezpp_affiliation,902_list,
2014-535281-1-901-1,Posekaná Eva,nk_party,bezpp_affiliation,901_list,
2014-535281-1-1-3,Vebr Miroslav,kdu-csl_party,bezpp_affiliation,1_list,
2014-535281-1-902-1,Chalupská Hana,nk_party,bezpp_affiliation,902_list,
