id,name,organization:party,organization:affiliation,organization:list,
2014-575429-1-903-5,Baier Radek,nk_party,ods_affiliation,903_list,
2014-575429-1-903-4,Bittner Jiří,nk_party,bezpp_affiliation,903_list,
2014-575429-1-47-14,Dostál Josef,kscm_party,kscm_affiliation,47_list,
2014-575429-1-903-2,Drahoš Jiří Ing.,nk_party,bezpp_affiliation,903_list,
2014-575429-1-902-6,Kočí František Ing.,nk_party,bezpp_affiliation,902_list,
2014-575429-1-903-1,Kohout Pavel Ing.,nk_party,ods_affiliation,903_list,
2014-575429-1-903-3,Krčmářová Blanka PaedDr.,nk_party,bezpp_affiliation,903_list,
2014-575429-1-902-7,Langová Milada,nk_party,bezpp_affiliation,902_list,
2014-575429-1-902-3,Menčík Ivo,nk_party,bezpp_affiliation,902_list,
2014-575429-1-901-7,Nikš Tomáš Mgr.,nk_party,bezpp_affiliation,901_list,
2014-575429-1-903-6,Nikšová Jana Ing.,nk_party,bezpp_affiliation,903_list,
2014-575429-1-901-1,Procházka Jaroslav Ing.,nk_party,bezpp_affiliation,901_list,
2014-575429-1-901-3,Půlpán Josef,nk_party,bezpp_affiliation,901_list,
2014-575429-1-902-1,Šejvl Radek DiS.,nk_party,bezpp_affiliation,902_list,
2014-575429-1-903-7,Vašata Jan Ing.,nk_party,bezpp_affiliation,903_list,
