vote_event_id,voter_id,option,group_id,
1001,2014-575429-1-903-5,yes,nk_party,
1001,2014-575429-1-903-4,yes,nk_party,
1001,2014-575429-1-47-14,absent,kscm_party,
1001,2014-575429-1-903-2,yes,nk_party,
1001,2014-575429-1-902-6,yes,nk_party,
1001,2014-575429-1-903-1,yes,nk_party,
1001,2014-575429-1-903-3,yes,nk_party,
1001,2014-575429-1-902-7,absent,nk_party,
1001,2014-575429-1-902-3,yes,nk_party,
1001,2014-575429-1-901-7,yes,nk_party,
1001,2014-575429-1-903-6,yes,nk_party,
1001,2014-575429-1-901-1,yes,nk_party,
1001,2014-575429-1-901-3,yes,nk_party,
1001,2014-575429-1-902-1,yes,nk_party,
1001,2014-575429-1-903-7,yes,nk_party,
1002,2014-575429-1-903-5,yes,nk_party,
1002,2014-575429-1-903-4,yes,nk_party,
1002,2014-575429-1-47-14,absent,kscm_party,
1002,2014-575429-1-903-2,yes,nk_party,
1002,2014-575429-1-902-6,yes,nk_party,
1002,2014-575429-1-903-1,yes,nk_party,
1002,2014-575429-1-903-3,yes,nk_party,
1002,2014-575429-1-902-7,absent,nk_party,
1002,2014-575429-1-902-3,yes,nk_party,
1002,2014-575429-1-901-7,yes,nk_party,
1002,2014-575429-1-903-6,yes,nk_party,
1002,2014-575429-1-901-1,yes,nk_party,
1002,2014-575429-1-901-3,yes,nk_party,
1002,2014-575429-1-902-1,yes,nk_party,
1002,2014-575429-1-903-7,yes,nk_party,
1003,2014-575429-1-903-5,yes,nk_party,
1003,2014-575429-1-903-4,yes,nk_party,
1003,2014-575429-1-47-14,absent,kscm_party,
1003,2014-575429-1-903-2,yes,nk_party,
1003,2014-575429-1-902-6,yes,nk_party,
1003,2014-575429-1-903-1,yes,nk_party,
1003,2014-575429-1-903-3,yes,nk_party,
1003,2014-575429-1-902-7,absent,nk_party,
1003,2014-575429-1-902-3,yes,nk_party,
1003,2014-575429-1-901-7,yes,nk_party,
1003,2014-575429-1-903-6,yes,nk_party,
1003,2014-575429-1-901-1,yes,nk_party,
1003,2014-575429-1-901-3,yes,nk_party,
1003,2014-575429-1-902-1,yes,nk_party,
1003,2014-575429-1-903-7,yes,nk_party,
1004,2014-575429-1-903-5,yes,nk_party,
1004,2014-575429-1-903-4,yes,nk_party,
1004,2014-575429-1-47-14,absent,kscm_party,
1004,2014-575429-1-903-2,abstain,nk_party,
1004,2014-575429-1-902-6,abstain,nk_party,
1004,2014-575429-1-903-1,yes,nk_party,
1004,2014-575429-1-903-3,yes,nk_party,
1004,2014-575429-1-902-7,absent,nk_party,
1004,2014-575429-1-902-3,abstain,nk_party,
1004,2014-575429-1-901-7,yes,nk_party,
1004,2014-575429-1-903-6,yes,nk_party,
1004,2014-575429-1-901-1,yes,nk_party,
1004,2014-575429-1-901-3,yes,nk_party,
1004,2014-575429-1-902-1,abstain,nk_party,
1004,2014-575429-1-903-7,yes,nk_party,
1005,2014-575429-1-903-5,yes,nk_party,
1005,2014-575429-1-903-4,yes,nk_party,
1005,2014-575429-1-47-14,absent,kscm_party,
1005,2014-575429-1-903-2,yes,nk_party,
1005,2014-575429-1-902-6,yes,nk_party,
1005,2014-575429-1-903-1,yes,nk_party,
