id,legislative_session:number,start_date,item:title,item:number,motion:title,
1001,1,2014-11-24,"Zapisovatel, ověřovatel",0,"Zapisovatelkou dnešního jednání jmenuji: Olgu StojanovouSčítáním hlasů pověřuji: V. Slezák   Ověřovateli zápisu jmenuji: Z.Filip, MVDr. Šedivý, Ing. Mecner   Komise pro přípravu dnešního usnesení: Bc. Marková, B. Ležáková, Ing.Pultar",
1002,1,2014-11-24,Program,0,"Program dnešního jednání je následující: 1. Odměňování zastupitelů2. Bezpečnost ve městě3. Jmenování zástupců města do:- Mikroregionu Rodný kraj Františka Kupky- Euroregionu Glacensis- Destinační společnosti Orlické hory a Podorlicko- MAS Pohoda venkova4. Komise rady města  5. Finanční záležitosti - Rozpočtové opatření- Návrh na odkup akcií ČSAD - Smlouva o úpravě vzájemných vztahů mezi ručitelem a bankou6. Různé7. Diskuse8. Usnesení a závěrNavrhuji, aby byl z programu dnešního jednání vypuštěn bod týkající se prodeje akcií ČSAD, kde se objevily nové skutečnosti. S těmi budou zastupitelé včas seznámeni a tento bod bude předložen k projednání na některém z příštích jednání Zastupitelstva města.",
1003,1,2014-11-24,Odměňování zastupitelů,1,"ZM Opočna schvaluje v souladu s § 72 a § 84 odst. 2 písm. n) zákona č. 128/2000 Sb., o obcích, ve znění pozdějších předpisů vyplácení odměn za výkon funkce neuvolněného člena zastupitelstva (podle NV č.37/2003 Sb., o odměnách za výkon funkce členům zastupitelstev, ve znění pozdějších předpisů) ve výši:.neuvolněný místostarosta  ve výši  Kč  19.500,--.člen rady ve výši Kč 1.650,--.předseda výboru zastupitelstva, komise  rady  ve výši Kč 650,--.člen výboru zastupitelstva, komise rady ve výši Kč 560,--.člen zastupitelstva + příplatek dle počtu obyvatel  ve výši Kč 660,--Při souběhu výkonu několika funkcí se měsíční odměna neuvolněnému členovi zastupitelstva poskytne jako součet zastupitelstvem stanovených odměn za jednotlivé funkce, s výjimkou funkce neuvolněného místostarosty. Za výkon funkce neuvolněného místostarosty se poskytuje měsíční odměna ve stanovené fixní částce a k součtu odměn za výkon dalších funkcí zde nedochází.   Odměna za výkon funkce neuvolněného člena zastupitelstva bude poskytována od 1.12.2014.",
1004,1,2014-11-24,Jmenování zástupců města do:- Mikroregionu Rodný kraj Františka Kupky- Euroregionu Glacensis- Destinační společnosti Orlické hory a Podorlicko- MAS Pohoda venkova,3,"Zastupitelstva města deleguje do Mikroregionu Rodný kraj Františka Kupky Šárku Škrabalovou, Mgr. Janu Hrnčířovou, Mgr. Renátu Černou",
1005,1,2014-11-24,Jmenování zástupců města do:- Mikroregionu Rodný kraj Františka Kupky- Euroregionu Glacensis- Destinační společnosti Orlické hory a Podorlicko- MAS Pohoda venkova,3,"Zastupitelstvo města deleguje do Euroregionu Glacensis Doc. RNDr. Mariana Slodičáka, CSc.",
1006,1,2014-11-24,Jmenování zástupců města do:- Mikroregionu Rodný kraj Františka Kupky- Euroregionu Glacensis- Destinační společnosti Orlické hory a Podorlicko- MAS Pohoda venkova,3,"Zastupitelstvo města:- pověřuje pana Ing. Jaroslava Pultara, zastupitele města, zastupováním města Opočna na valných hromadách zájmového sdružení právnických osob Orlické hory a Podorlicko, se sídlem Panská 1492, Rychnov n.Kn.,- deleguje pana Ing. Jaroslava Pultara, zastupitele města, jako kandidáta do správní rady zájmového sdružení právnických osob Orlické hory a Podorlicko, se sídlem Panská 1492, Rychnov n.Kn..",
1007,1,2014-11-24,Jmenování zástupců města do:- Mikroregionu Rodný kraj Františka Kupky- Euroregionu Glacensis- Destinační společnosti Orlické hory a Podorlicko- MAS Pohoda venkova,3,Zastupitelstvo města deleguje do MAS Pohoda venkova Šárku Škrabalovou a jako náhradníka Mgr. Janu Hrnčířovou.,
1008,1,2014-11-24,Finanční záležitosti,5,Zastupitelstvo města schvaluje rozpočtové opatření Z/2/2014.,
1009,1,2014-11-24,Finanční záležitosti,5,"Zastupitelstvo města schvaluje návrh Smlouvy o úpravě vzájemných vztahů mezi ručitelem a bankou č. RD/11988/14/LCD.  Zastupitelstvo města tím schvaluje přijetí ručitelského závazku za úvěr, který Česká spořitelna, a.s. poskytne Sportovnímu klubu HC Opočno, o.s.  ve výši 2,400.000,- Kč (slovy: dvamilionyčtyřistatisíc korun českých) na předfinancování projektu s názvem „Rekonstrukce strojovny chlazení ZS Opočno“ se splatností do 31. 7. 2020. Zastupitelstvo města pověřuje starostku města, Šárku Škrabalovou, podpisem smlouvy.",
2001,2,2014-12-15,"Zapisovatel, ověřovatel",0,"Zapisovatelkou dnešního jednání jmenuji: Olgu StojanovouSčítáním hlasů pověřuji: V. SlezákaOvěřovateli zápisu jmenuji: Ing. Vondřejce, Z. FilipaKomise pro přípravu dnešního usnesení:   Bc. Marková, B. Ležáková, Ing. Pultar",
2002,2,2014-12-15,Program,0,"Program dnešního jednání: 1.  Prezentace stavby – obchvat města Opočna2. Obecně závazná vyhláška č. 1/2014 o místním poplatku za provoz systému shromažďování, sběru, přepravy, třídění, využívání  a odstraňování komunálních odpadů3. Obecně závazná vyhláška č. 2/2014 o místním poplatku ze psů 4. Prodej akcií ČSAD Bus Ústí nad Orlicí5. Žádost Sportovního klubu HC o vyplacení části příspěvku v rozpočtovém provizoriu6. Rozpočtové provizorium na rok 20157. Cena vodného a stočného pro rok 20158. Ručení za revolvingový úvěr pro TSMO s.r.o.  9. Územní plán Opočno – jmenování určeného zastupitele10. Majetkové záležitosti:- Prodej bytu- Záměr na prodej čp. 12511. Sdružení historických sídel Čech, Moravy a Slezska – jmenování zástupce města12. Různé- Pověření k provádění rozpočtových opatření- Smlouva o budoucí smlouvě o zřízení věcného břemene- Žádost ZŠ Opočno o převod prostředků 13. Diskuze14. Usnesení a závěr",
2003,2,2014-12-15,Prezentace stavby – obchvat města Opočna,1,Zastupitelstvo vzalo na vědomí informaci o přípravě výstavby obchvatu a souhlasí s úrovňovým křížením s cyklostezkou s maximálním množstvím bezpečnostních,
2004,2,2014-12-15,"Obecně závazná vyhláška č. 1/2014 o místním poplatku za provozsystému shromažďování, sběru, přepravy, třídění, využívání  a odstraňování komunálních odpadů",2,"Zastupitelstvo města schvaluje Obecně závaznou vyhlášku č. 1/2014 o místním poplatku za provoz systému shromažďování, sběru, přepravy, třídění, využívání a odstraňování komunálních odpadů s cenou 520,- Kč/os/rok.",
2005,2,2014-12-15,Obecně závazná vyhláška č. 2/2014 o místním poplatku ze psů,3,Zastupitelstvo města Opočna schvaluje Obecně závaznou vyhlášku č. 2/2014 o místním poplatku ze psů.,
2006,2,2014-12-15,Prodej akcií ČSAD Bus Ústí nad Orlicí,4,"Návrh na usnesení:Zastupitelstvo města se rozhodlo prodat 71 ks akcií společnosti ČSAD Ústí nad Orlicí, a.s. paní Kratochvílové, a to za nabídnutou cenu 300,- Kč za 1 akcii.",
2007,2,2014-12-15,Žádost Sportovního klubu HC o vyplacení části příspěvkuv rozpočtovém,5,"Zastupitelstvo města Opočna schvaluje poskytnutí první části finančního příspěvkuSportovnímu klubu HC Opočno na rok 2015 ve výši 600.000,- Kč v době rozpočtového provizoria a pověřuje paní starostku podpisem navržené smlouvy. K tomuto schválenému příspěvku bude přihlédnuto v návrhu rozpočtu na rok 2015 při stanovení celkové výše příspěvku pro rok 2015.",
2008,2,2014-12-15,Rozpočtové provizorium na rok 2015,6,Zastupitelstvo města Opočna schvaluje do doby schválení rozpočtu na rok 2015 rozpočtovéprovizorium a jeho pravidla.,
2009,2,2014-12-15,Cena vodného a stočného pro rok 2015,7,"Zastupitelstvo města souhlasí s návrhem na úpravu ceny vodného a stočného pro rok 2015. Cena vodného bude 29,99 Kč vč. DPH a cena stočného bude 48,74 Kč vč. DPH za m3.",
2010,2,2014-12-15,Ručení za revolvingový úvěr pro TSMO s.r.o.,8,"Zastupitelstvo města schvaluje přijetí úvěru dceřinou společností Technické služby města Opočna, s.r.o. ve výši 500.000,- Kč od České spořitelny, a.s. Zároveň schvaluje zajištění úvěru krycí blankosměnkou s avalem města",
2011,2,2014-12-15,Územní plán Opočno – jmenování určeného zastupitele,9,Zastupitelstvo města Opočna jmenuje pana Jana Rabenseifnera  určeným zastupitelem pro spolupráci s pořizovatelem územního plánu,
2012,2,2014-12-15,Majetkové záležitosti,10,"Zastupitelstvo města bere informaci na vědomí a rozhodlo zveřejnit nový záměr na prodejbytu č. 622/4 v Dobrušské ulici v bytovém domě č.p. 622-623 a pozemku p.č. 319/20 v k.ú. Opočno pod Orlickými horami za minimální cenu ve výši 350.000,- Kč.",
2013,2,2014-12-15,Majetkové záležitosti,10,"Zastupitelstvo města rozhodlo zveřejnit záměr na prodej budovy č.p. 125, která je součástí  pozemku parc. č. 129, a pozemku parc. č. 129 – zastavěná plocha a nádvoří o výměře 174 m2 vše v obci Opočno, katastrální území Opočno pod Orlickými horami za minimální cenu 1.800.000,- Kč.",
2014,2,2014-12-15,Sdružení historických sídel Čech Moravy a Slezska,11,"Zastupitelstva města deleguje do Sdružení historických sídel Čech Moravy a Slezska za městoOpočno paní starostku, Šárku Škrabalovou.",
2015,2,2014-12-15,Různé,12,"Provedení rozpočtového opatření k 31. 12. 2014, které by s ohledem na svou výši podléhalo schválení radou města nebo zastupitelstvem města, je v pravomoci vedoucí HSFO s povinností předložit je podle své výše na vědomí buď radě nebo zastupitelstvu na jejich jednání v roce",
