id,name,organization:party,organization:affiliation,organization:list,
2014-576590-1-1-2,Filip Zdeněk,kdu-csl_party,kdu-csl_affiliation,1_list,
2014-576590-1-449-2,Hrnčířová Jana Mgr.,nk_party,bezpp_affiliation,449_list,
2014-576590-1-470-1,Jelínek Štěpán,stan_party,bezpp_affiliation,470_list,
2014-576590-1-901-6,Kňourek Vladislav,nk_party,bezpp_affiliation,901_list,
2014-576590-1-768-2,Ležáková Barbora,ano-2011_party,bezpp_affiliation,768_list,
2014-576590-1-449-4,Marková Danuše Bc.,nk_party,bezpp_affiliation,449_list,
2014-576590-1-470-4,Mecner Roman Ing.,stan_party,bezpp_affiliation,470_list,
2014-576590-1-768-3,Pultar Jaroslav Ing.,ano-2011_party,bezpp_affiliation,768_list,
2014-576590-1-901-1,Rabenseifner Jan,nk_party,top-09_affiliation,901_list,
2014-576590-1-47-1,Slezák Václav,kscm_party,kscm_affiliation,47_list,
2014-576590-1-7-1,Slodičák Marian doc. RNDr. CSc.,cssd_party,cssd_affiliation,7_list,
2014-576590-1-470-7,Světlík Milič MUDr.,stan_party,bezpp_affiliation,470_list,
2014-576590-1-470-15,Šedivý Jaroslav MVDr.,stan_party,bezpp_affiliation,470_list,
2014-576590-1-449-1,Škrabalová Šárka,nk_party,bezpp_affiliation,449_list,
2014-576590-1-1-1,Vondřejc Milan Ing.,kdu-csl_party,bezpp_affiliation,1_list,
2014-576590-1-1-3,Fábera Petr,kdu-csl_party,bezpp_affiliation,1_list,
