id,classification_id,classification,name,
top-09_party,party,Navrhující strana,TOP 09,
snk-ed_party,party,Navrhující strana,SNK Evropští demokraté,
nk_party,party,Navrhující strana,Nezávislí kandidáti,
ods_party,party,Navrhující strana,Občanská demokratická strana,
vpm_party,party,Navrhující strana,Volba pro město,
cssd_party,party,Navrhující strana,Česká strana sociálně demokratická,
top-09_affiliation,affiliation,Stranická příslušnost,TOP 09,
bezpp_affiliation,affiliation,Stranická příslušnost,Bez politické příslušnosti,
ods_affiliation,affiliation,Stranická příslušnost,Občanská demokratická strana,
sz_affiliation,affiliation,Stranická příslušnost,Strana zelených,
cssd_affiliation,affiliation,Stranická příslušnost,Česká strana sociálně demokratická,
721_list,list,Kandidátní listina,TOP 09,
449_list,list,Kandidátní listina,"Sdružení SNK ED, NK",
53_list,list,Kandidátní listina,Občanská demokratická strana,
113_list,list,Kandidátní listina,Volba pro město,
901_list,list,Kandidátní listina,listina nezávislých kandidátů,
7_list,list,Kandidátní listina,Česká strana sociálně demokratická,
