id,legislative_session:number,start_date,item:title,item:number,motion:title,
1001,1,2010-12-01,"Volba mandátové komise, zpráva mandátové komise",2,Hlasování o složení mandátové komise: JUDr. Klára Jirásková - předsedkyně komise Bc. Tomáš Holub - člen komise p. Karel Růžek - člen komise,
1002,1,2010-12-01,"Volba mandátové komise, zpráva mandátové komise",2,Hlasování o zprávě mandátové komise:,
1003,1,2010-12-01,Volba návrhové komise pro vypracování návrhu na usnesení,4,"Návrhy na členy návrhové komise Mgr. Ondřej Malovec - předseda komise, Mgr. Ivo Bártl - člen komise, Bc. Tomáš Holub - člen komise",
1004,1,2010-12-01,Volba starosty města a jeho zástupců,5,"PhDr. Langr navrhl, aby byli zvoleni dva místostarostové",
1005,1,2010-12-01,Volba starosty města a jeho zástupců,5,"Mgr. Uhlíř - navrhl, aby funkce 1. místostarosty byla uvolněná a funkce 2. místostarosty neuvolněná",
1006,1,2010-12-01,Volba starosty města a jeho zástupců,5,"RNDr. Mikolanda navrhl na starostu města zastupitele, který získal v komunálních volbách největší počet hlasů PhDr. Ladislava Langra, který kandidaturu přijal.",
1007,1,2010-12-01,Volba starosty města a jeho zástupců,5,"Volba zástupců starosty - kandidáti: 1. místostarosta - uvolněná funkce Ing. Veberová navrhla na funkci 1. místostarosty a zároveň statutárního zástupce starosty kandidáta pana Mgr. Ivana Uhlíře, který kandidaturu přijal",
1008,1,2010-12-01,Volba starosty města a jeho zástupců,5,"2. místostarosta - neuvolněná funkce: Mgr. Malovec navrhl na funkci 2. místostarosty kandidáta pana RNDr. Miloše Mikolandu, který kandidaturu přijal",
1009,1,2010-12-01,Volba členů rady města,6,"p. Exner - navrhl, aby rada města měla 7 členů",
1010,1,2010-12-01,Volba členů rady města,6,"p. Votava - navrhl, aby nová rada města měla 9 členů",
1011,1,2010-12-01,Volba členů rady města,6,Hlasování o navrženém Mgr. Malovcov,
1012,1,2010-12-01,Volba členů rady města,6,Hlasování o navržené Ing. Veberové,
1013,1,2010-12-01,Volba členů rady města,6,Hlasování o navrženém p. Votavovi,
1014,1,2010-12-01,Volba členů rady města,6,Hlasování o navrženém Ing. Klírovi,
1015,1,2010-12-01,Volba členů rady města,6,Hlasování o navrženém p. Kalendovi,
1016,1,2010-12-01,Volba členů rady města,6,Hlasování o navrženém Mgr. Zítovi,
1017,1,2010-12-01,"Pověření členů ZM přijímat prohlášení o uzavření manželství, stanovení místa a doby pro uzavírání manželství",7,Hlasování o navržené pí Třískové,
1018,1,2010-12-01,"Pověření členů ZM přijímat prohlášení o uzavření manželství, stanovení místa a doby pro uzavírání manželství",7,Hlasování o navrženém Mgr. Novákovi,
1019,1,2010-12-01,"Pověření členů ZM přijímat prohlášení o uzavření manželství, stanovení místa a doby pro uzavírání manželství",7,Hlasování o navrženém p. Kalendovi,
1020,1,2010-12-01,Volba předsedy a členů finančního výboru,7a,Návrhy na předsedu finančního výboru Ing. Jana Veberová,
1021,1,2010-12-01,Volba předsedy a členů finančního výboru,7a,Hlasování o navrženém p. Vomáčkovi,
1022,1,2010-12-01,Volba předsedy a členů finančního výboru,7a,Hlasování o navrženém p. Vávrovi,
1023,1,2010-12-01,Volba předsedy a členů finančního výboru,7a,Hlasování o navržené Ing. Klírové,
