id,name,organization:party,organization:affiliation,organization:list,
2010-537683-1-721-8,Bártl Ivo Mgr.,top-09_party,top-09_affiliation,721_list,
2010-537683-1-449-1,Ďurčanský Jozef Ing.,snk-ed_party,bezpp_affiliation,449_list,
2010-537683-1-449-14,Exner Milan,nk_party,bezpp_affiliation,449_list,
2010-537683-1-53-3,Fiala Petr Ing.,ods_party,ods_affiliation,53_list,
2010-537683-1-113-4,Hájek Miloslav,vpm_party,bezpp_affiliation,113_list,
2010-537683-1-113-5,Holub Tomáš Bc.,vpm_party,bezpp_affiliation,113_list,
2010-537683-1-449-11,Husáková Romana MUDr.,nk_party,bezpp_affiliation,449_list,
2010-537683-1-113-3,Jirásková Klára JUDr.,vpm_party,sz_affiliation,113_list,
2010-537683-1-901-5,Kalenda Tomáš,nk_party,bezpp_affiliation,901_list,
2010-537683-1-901-7,Klír Tomáš Ing.,nk_party,bezpp_affiliation,901_list,
2010-537683-1-901-2,Kutil Josef Ing.,nk_party,bezpp_affiliation,901_list,
2010-537683-1-113-1,Langr Ladislav PhDr.,vpm_party,bezpp_affiliation,113_list,
2010-537683-1-7-6,Malíková Jindra Mgr.,cssd_party,bezpp_affiliation,7_list,
2010-537683-1-721-7,Malovec Ondřej Mgr.,top-09_party,bezpp_affiliation,721_list,
2010-537683-1-53-1,Michl Václav,ods_party,ods_affiliation,53_list,
2010-537683-1-901-1,Mikolanda Miloš RNDr.,nk_party,bezpp_affiliation,901_list,
2010-537683-1-53-2,Molinariová Romana PaedDr.,ods_party,bezpp_affiliation,53_list,
2010-537683-1-7-5,Novák Jaromír Mgr.,cssd_party,cssd_affiliation,7_list,
2010-537683-1-53-9,Pokorný František,ods_party,ods_affiliation,53_list,
2010-537683-1-113-6,Růžek Karel,vpm_party,bezpp_affiliation,113_list,
2010-537683-1-901-3,Rychetníková Zdeňka MUDr.,nk_party,bezpp_affiliation,901_list,
2010-537683-1-53-12,Štrobl Syrovcová Helena MUDr.,ods_party,ods_affiliation,53_list,
2010-537683-1-7-3,Třísková Emílie,cssd_party,cssd_affiliation,7_list,
2010-537683-1-721-1,Uhlíř Ivan Mgr.,top-09_party,top-09_affiliation,721_list,
2010-537683-1-113-2,Veberová Jana Ing.,vpm_party,bezpp_affiliation,113_list,
2010-537683-1-901-6,Votava Jaroslav,nk_party,bezpp_affiliation,901_list,
2010-537683-1-901-4,Zíta Lubomír Mgr.,nk_party,bezpp_affiliation,901_list,
2010-537683-1-901-8,Uher Jiří,nk_party,bezpp_affiliation,901_list,
2010-537683-1-113-7,Felkr Jiří,vpm_party,bezpp_affiliation,113_list,
2010-537683-1-53-16,Špinka Vlastimil Mgr.,ods_party,bezpp_affiliation,53_list,
