vote_event_id,voter_id,option,group_id,
1001,2014-537683-1-113-5,yes,vpm_party,
1001,2014-537683-1-449-1,yes,snk-ed_party,
1001,2014-537683-1-113-9,yes,vpm_party,
1001,2014-537683-1-53-3,yes,ods_party,
1001,2014-537683-1-470-2,yes,stan_party,
1001,2014-537683-1-113-7,yes,vpm_party,
1001,2014-537683-1-470-1,yes,stan_party,
1001,2014-537683-1-113-1,yes,vpm_party,
1001,2014-537683-1-113-3,yes,vpm_party,
1001,2014-537683-1-113-6,yes,vpm_party,
1001,2014-537683-1-470-4,yes,stan_party,
1001,2014-537683-1-7-1,yes,cssd_party,
1001,2014-537683-1-53-1,yes,ods_party,
1001,2014-537683-1-470-7,yes,stan_party,
1001,2014-537683-1-113-4,yes,vpm_party,
1001,2014-537683-1-113-8,yes,vpm_party,
1001,2014-537683-1-480-1,yes,top-09_party,
1001,2014-537683-1-7-2,yes,cssd_party,
1001,2014-537683-1-113-2,yes,vpm_party,
1001,2014-537683-1-480-5,yes,nk_party,
1001,2014-537683-1-768-1,yes,ano-2011_party,
1002,2014-537683-1-113-5,yes,vpm_party,
1002,2014-537683-1-449-1,yes,snk-ed_party,
1002,2014-537683-1-113-9,yes,vpm_party,
1002,2014-537683-1-53-3,yes,ods_party,
1002,2014-537683-1-470-2,yes,stan_party,
1002,2014-537683-1-113-7,not voting,vpm_party,
1002,2014-537683-1-470-1,yes,stan_party,
1002,2014-537683-1-113-1,yes,vpm_party,
1002,2014-537683-1-113-3,yes,vpm_party,
1002,2014-537683-1-113-6,yes,vpm_party,
1002,2014-537683-1-470-4,yes,stan_party,
1002,2014-537683-1-7-1,not voting,cssd_party,
1002,2014-537683-1-53-1,not voting,ods_party,
1002,2014-537683-1-470-7,yes,stan_party,
1002,2014-537683-1-113-4,yes,vpm_party,
1002,2014-537683-1-113-8,yes,vpm_party,
1002,2014-537683-1-480-1,yes,top-09_party,
1002,2014-537683-1-7-2,yes,cssd_party,
1002,2014-537683-1-113-2,yes,vpm_party,
1002,2014-537683-1-480-5,yes,nk_party,
1002,2014-537683-1-768-1,yes,ano-2011_party,
1003,2014-537683-1-113-5,abstain,vpm_party,
1003,2014-537683-1-449-1,yes,snk-ed_party,
1003,2014-537683-1-113-9,yes,vpm_party,
1003,2014-537683-1-53-3,yes,ods_party,
1003,2014-537683-1-470-2,yes,stan_party,
1003,2014-537683-1-113-7,yes,vpm_party,
1003,2014-537683-1-470-1,yes,stan_party,
1003,2014-537683-1-113-1,yes,vpm_party,
1003,2014-537683-1-113-3,yes,vpm_party,
