id,legislative_session:number,start_date,item:title,item:number,motion:title,
1001,1,2014-11-10,program,0,hlasování o programu,
1002,1,2014-11-10,"Volba starosty (starostky ), místostarosty (místostarostky)",1,Kdo je pro jednoho místostarostu obce,
1003,1,2014-11-10,"Volba starosty (starostky ), místostarosty (místostarostky)",1,"Kdo je pro, aby funkce starosty, místostarosty a předsedů výborů byly neuvolněné",
1004,1,2014-11-10,"Volba starosty (starostky ), místostarosty (místostarostky)",1,Volba orgánu obce proběhne veřejně,
1005,1,2014-11-10,"Volba starosty (starostky ), místostarosty (místostarostky)",1,Zastupitel pan Koplík navrhl paní Metelkovou Janu,
1006,1,2014-11-10,"Volba starosty (starostky ), místostarosty (místostarostky)",1,Na funkci místostarosty navrhuji pana Josefa Pluháčka,
1007,1,2014-11-10,Zřízení finančního a kontrolního výboru,2,Sehnula navrhl 3 členy do výboru včetně předsedy,
1008,1,2014-11-10,Zřízení finančního a kontrolního výboru,2,Na post předsedy navrhl Sehnula pana Tobiáše Dostal íka,
1009,1,2014-11-10,Zřízení finančního a kontrolního výboru,2,Na post předsedy kontrolního výborz navrhl Sehnula pana Davida Olšu,
1010,1,2014-11-10,Zřízení finančního a kontrolního výboru,2,"Za člena finančního výboru byl navržen přesedou Dostalíkem pan Kopřiva Kamil,",
1011,1,2014-11-10,Zřízení finančního a kontrolního výboru,2,o post další členky výboru se přihlásila Věra ěmcová,
1012,1,2014-11-10,Zřízení finančního a kontrolního výboru,2,dalším členem byla navržena  paní Menšíková Dagmara panem Vlčkem,
1013,1,2014-11-10,Zřízení finančního a kontrolního výboru,2,Za členy kontrolního výboru byl navržen přesedou Olšou pan Břetislav Koplík st.,
1014,1,2014-11-10,Zřízení finančního a kontrolního výboru,2,Za členy kontrolního výboru byla navržena přesedou Olšou paní Kristina Filipková,
1015,1,2014-11-10,Rozhodnutí o odměnách za výkon funkcí neuvolněným členům zastupitelstva ( § 72 zákona o obcích ),3,starostka obce Jana Metelková podala návrh odložit tento bod na další zasedání,
2001,2,2014-12-22,program,1,hlasování o programu,
2002,2,2014-12-22,Projednání a schváleni rozpočtového provizoria,4,"Obec bude hospodařit dle Pravidel rozpočtového provizoria do schválení Rozpočtu obce na rok 2015, nejdéle však 3 měsíce, tj. do 31. března 2015",
2003,2,2014-12-22,Projednání a schválení rozpočtové změny č. 6 / 2014,5,Zastupitelstvo schvaluje rozpočtovou změnu č.6/2014 a tato bude součástí Zápisu zjednání obecního zastupitelstva obce Podolí,
2004,2,2014-12-22,Príprava řádní- inventarizace majetku a závazku ohce k 31. 12. 2014,6,"Rádnou inventarizaci majetku, pohledávek, závazků a finanční hotovosti na pokladně provede inventarizační komise v daném složení, v rámci řádné inventarizace zpracovat IK Soupis nepotřebného majetku obce. Jak dále s tímto majetkem naložit rozhodne Likvidační komise",
2005,2,2014-12-22,plán rozvoje obce na rok 2015,7,"Na základě pracovních schůzek a jednání zastupitelů bylo dohodnuto několik návrhů, tyto návrhy přednesl pan Břetislav Koplík. Plán rozvoje obce pro rok 2015 bude součástí zápisu jako příloha č. 4.",
3001,3,2015-03-16,program,1,hlasování o programu,
3002,3,2015-03-16,Projednání a schválení rozpočtu ohce Podolí pro rok 2015,3,Zastupitelstvo obce Podolí schvaluje „Rozpočet obce Podolí pro rok 2015' v navrhovaném znění beze změn,
3003,3,2015-03-16,"Seznámení s výsledkem řádné inventarizace majetku, závazku a pohledávek ohce za rok 2014",4,Zastupitelstvo obce bylo seznámeno s výsledky řádné inventarizace a souhlasí se Závěrečnou zprávou o provedení inventarizace,
