vote_event_id,voter_id,option,group_id,
1001,2014-516864-1-901-1,yes,nk_party,
1001,2014-516864-1-901-3,yes,nk_party,
1001,2014-516864-1-902-6,yes,nk_party,
1001,2014-516864-1-902-1,yes,nk_party,
1001,2014-516864-1-901-2,yes,nk_party,
1001,2014-516864-1-902-2,yes,nk_party,
1001,2014-516864-1-47-2,yes,kscm_party,
1002,2014-516864-1-901-1,yes,nk_party,
1002,2014-516864-1-901-3,yes,nk_party,
1002,2014-516864-1-902-6,yes,nk_party,
1002,2014-516864-1-902-1,yes,nk_party,
1002,2014-516864-1-901-2,yes,nk_party,
1002,2014-516864-1-902-2,yes,nk_party,
1002,2014-516864-1-47-2,yes,kscm_party,
1003,2014-516864-1-901-1,yes,nk_party,
1003,2014-516864-1-901-3,yes,nk_party,
1003,2014-516864-1-902-6,yes,nk_party,
1003,2014-516864-1-902-1,yes,nk_party,
1003,2014-516864-1-901-2,yes,nk_party,
1003,2014-516864-1-902-2,yes,nk_party,
1003,2014-516864-1-47-2,yes,kscm_party,
1004,2014-516864-1-901-1,yes,nk_party,
1004,2014-516864-1-901-3,yes,nk_party,
1004,2014-516864-1-902-6,yes,nk_party,
1004,2014-516864-1-902-1,yes,nk_party,
1004,2014-516864-1-901-2,yes,nk_party,
1004,2014-516864-1-902-2,yes,nk_party,
1004,2014-516864-1-47-2,yes,kscm_party,
1005,2014-516864-1-901-1,yes,nk_party,
1005,2014-516864-1-901-3,yes,nk_party,
1005,2014-516864-1-902-6,yes,nk_party,
1005,2014-516864-1-902-1,abstain,nk_party,
1005,2014-516864-1-901-2,yes,nk_party,
1005,2014-516864-1-902-2,yes,nk_party,
1005,2014-516864-1-47-2,no,kscm_party,
1006,2014-516864-1-901-1,yes,nk_party,
1006,2014-516864-1-901-3,yes,nk_party,
1006,2014-516864-1-902-6,yes,nk_party,
1006,2014-516864-1-902-1,yes,nk_party,
1006,2014-516864-1-901-2,yes,nk_party,
1006,2014-516864-1-902-2,abstain,nk_party,
1006,2014-516864-1-47-2,no,kscm_party,
1007,2014-516864-1-901-1,yes,nk_party,
1007,2014-516864-1-901-3,yes,nk_party,
1007,2014-516864-1-902-6,yes,nk_party,
1007,2014-516864-1-902-1,yes,nk_party,
1007,2014-516864-1-901-2,yes,nk_party,
1007,2014-516864-1-902-2,yes,nk_party,
1007,2014-516864-1-47-2,yes,kscm_party,
1008,2014-516864-1-901-1,abstain,nk_party,
1008,2014-516864-1-901-3,yes,nk_party,
1008,2014-516864-1-902-6,yes,nk_party,
1008,2014-516864-1-902-1,yes,nk_party,
1008,2014-516864-1-901-2,yes,nk_party,
1008,2014-516864-1-902-2,yes,nk_party,
1008,2014-516864-1-47-2,yes,kscm_party,
1009,2014-516864-1-901-1,yes,nk_party,
1009,2014-516864-1-901-3,yes,nk_party,
1009,2014-516864-1-902-6,yes,nk_party,
1009,2014-516864-1-902-1,yes,nk_party,
1009,2014-516864-1-901-2,abstain,nk_party,
1009,2014-516864-1-902-2,yes,nk_party,
1009,2014-516864-1-47-2,yes,kscm_party,
1010,2014-516864-1-901-1,yes,nk_party,
1010,2014-516864-1-901-3,yes,nk_party,
1010,2014-516864-1-902-6,abstain,nk_party,
1010,2014-516864-1-902-1,yes,nk_party,
1010,2014-516864-1-901-2,yes,nk_party,
1010,2014-516864-1-902-2,yes,nk_party,
1010,2014-516864-1-47-2,yes,kscm_party,
1011,2014-516864-1-901-1,abstain,nk_party,
1011,2014-516864-1-901-3,no,nk_party,
1011,2014-516864-1-902-6,abstain,nk_party,
1011,2014-516864-1-902-1,abstain,nk_party,
1011,2014-516864-1-901-2,no,nk_party,
1011,2014-516864-1-902-2,no,nk_party,
1011,2014-516864-1-47-2,abstain,kscm_party,
1012,2014-516864-1-901-1,yes,nk_party,
1012,2014-516864-1-901-3,yes,nk_party,
1012,2014-516864-1-902-6,yes,nk_party,
1012,2014-516864-1-902-1,yes,nk_party,
1012,2014-516864-1-901-2,yes,nk_party,
1012,2014-516864-1-902-2,yes,nk_party,
1012,2014-516864-1-47-2,yes,kscm_party,
1013,2014-516864-1-901-1,yes,nk_party,
1013,2014-516864-1-901-3,abstain,nk_party,
1013,2014-516864-1-902-6,yes,nk_party,
1013,2014-516864-1-902-1,yes,nk_party,
1013,2014-516864-1-901-2,yes,nk_party,
1013,2014-516864-1-902-2,yes,nk_party,
1013,2014-516864-1-47-2,yes,kscm_party,
1014,2014-516864-1-901-1,yes,nk_party,
1014,2014-516864-1-901-3,yes,nk_party,
1014,2014-516864-1-902-6,yes,nk_party,
1014,2014-516864-1-902-1,yes,nk_party,
1014,2014-516864-1-901-2,yes,nk_party,
1014,2014-516864-1-902-2,yes,nk_party,
1014,2014-516864-1-47-2,yes,kscm_party,
1015,2014-516864-1-901-1,yes,nk_party,
1015,2014-516864-1-901-3,yes,nk_party,
1015,2014-516864-1-902-6,yes,nk_party,
1015,2014-516864-1-902-1,yes,nk_party,
1015,2014-516864-1-901-2,yes,nk_party,
1015,2014-516864-1-902-2,yes,nk_party,
1015,2014-516864-1-47-2,yes,kscm_party,
2001,2014-516864-1-901-1,yes,nk_party,
2001,2014-516864-1-901-3,yes,nk_party,
2001,2014-516864-1-902-6,yes,nk_party,
2001,2014-516864-1-902-1,yes,nk_party,
2001,2014-516864-1-901-2,yes,nk_party,
2001,2014-516864-1-902-2,yes,nk_party,
2001,2014-516864-1-47-2,yes,kscm_party,
2002,2014-516864-1-901-1,yes,nk_party,
2002,2014-516864-1-901-3,yes,nk_party,
2002,2014-516864-1-902-6,yes,nk_party,
2002,2014-516864-1-902-1,yes,nk_party,
2002,2014-516864-1-901-2,yes,nk_party,
2002,2014-516864-1-902-2,yes,nk_party,
2002,2014-516864-1-47-2,yes,kscm_party,
2003,2014-516864-1-901-1,yes,nk_party,
2003,2014-516864-1-901-3,yes,nk_party,
2003,2014-516864-1-902-6,yes,nk_party,
2003,2014-516864-1-902-1,yes,nk_party,
2003,2014-516864-1-901-2,yes,nk_party,
2003,2014-516864-1-902-2,yes,nk_party,
2003,2014-516864-1-47-2,yes,kscm_party,
2004,2014-516864-1-901-1,yes,nk_party,
2004,2014-516864-1-901-3,yes,nk_party,
2004,2014-516864-1-902-6,yes,nk_party,
2004,2014-516864-1-902-1,yes,nk_party,
2004,2014-516864-1-901-2,yes,nk_party,
2004,2014-516864-1-902-2,yes,nk_party,
2004,2014-516864-1-47-2,yes,kscm_party,
2005,2014-516864-1-901-1,yes,nk_party,
2005,2014-516864-1-901-3,yes,nk_party,
2005,2014-516864-1-902-6,yes,nk_party,
2005,2014-516864-1-902-1,yes,nk_party,
2005,2014-516864-1-901-2,yes,nk_party,
2005,2014-516864-1-902-2,yes,nk_party,
2005,2014-516864-1-47-2,yes,kscm_party,
3001,2014-516864-1-901-1,yes,nk_party,
3001,2014-516864-1-901-3,yes,nk_party,
3001,2014-516864-1-902-6,yes,nk_party,
3001,2014-516864-1-902-1,yes,nk_party,
3001,2014-516864-1-901-2,yes,nk_party,
3001,2014-516864-1-902-2,yes,nk_party,
3001,2014-516864-1-47-2,yes,kscm_party,
3002,2014-516864-1-901-1,yes,nk_party,
3002,2014-516864-1-901-3,yes,nk_party,
3002,2014-516864-1-902-6,yes,nk_party,
3002,2014-516864-1-902-1,yes,nk_party,
3002,2014-516864-1-901-2,yes,nk_party,
3002,2014-516864-1-902-2,yes,nk_party,
3002,2014-516864-1-47-2,yes,kscm_party,
3003,2014-516864-1-901-1,yes,nk_party,
3003,2014-516864-1-901-3,yes,nk_party,
3003,2014-516864-1-902-6,yes,nk_party,
3003,2014-516864-1-902-1,yes,nk_party,
3003,2014-516864-1-901-2,yes,nk_party,
3003,2014-516864-1-902-2,yes,nk_party,
3003,2014-516864-1-47-2,yes,kscm_party,
