id,legislative_session:number,start_date,item:title,item:number,motion:title,
1001,1,2014-10-29,program,3,Schválení programu,
1002,1,2014-10-29,Určení způsobu volby starosty a místostarosty,4,volba starosty a místostarostů bude probíhat veřejně.,
1003,1,2014-10-29,Určení počtu místostarostů,4,Zastupitelé odsouhlasili počet místostarostů v počtu 2.,
1004,1,2014-10-29,Volba starosty,4,Zastupitelé zvolili starostu obce Ing. Jaroslava Richtera,
1005,1,2014-10-29,Volba místostarosty,4,Zastupitelé zvolili mistostarosry Ing. Marka Kubra a Václava Škorpila,
1006,1,2014-10-29,Určení počtu členů finančního a kontrolního výboru,5,Zastupitelé stanovili počet členů finančního a kontrolní výboru v počtu 3 každý.,
1007,1,2014-10-29,Volba předsedy finančního výboru,5,Zastupitelé zvolili předsedou finančního výboru Janu Švehlovou.,
1008,1,2014-10-29,Volba předsedy kontrolního výboru,5,Zastupitelé zvolili předsedou kontrolního výboru Miroslavu Frormánkovou.,
1009,1,2014-10-29,Volba členů finančního výboru,5,"Zastupitelé zvolili členy finančního výboru Bc. Petra Doubka, Ivanu Štěpankovou.",
1010,1,2014-10-29,Volba členů kontrolního výboru,5,Zastupitelé zvolili členy kontrolního výboru Moniku Ševčikovou a Renatu Stoklasovou.,
1011,1,2014-10-29,Rozhodnutí o odměnách za výkon funkci neuvolněných členu zastupitelstva,6,Zastupitelé odsouhlasili návrh v pokračování dosavadních výší měsíčních odměn,
1012,1,2014-10-29,Rozpočtové opatřeni č. 1 a 2,7,rozpočtové opatření schválili jedním unesenim,
1013,1,2014-10-29,Rozpočtové opatřeni č. 1 a 2,7,odsouhlasili rozpočtové opatření č. 1 a 2 dle přílohy č. 3,
1014,1,2014-10-29,koupě pozemku/nemovitosti pare. č.l a pare. č. 3 vše v k.ú. Popovický,8,odsouhlašeni záměru obce o koupi pozemku/nemovitosti pare. č. 1 a pare. č. 3 vše v k.ú.Popovický,
1015,1,2014-10-29,koupě traktoru,9,schváleni koupě traktoru,
1016,1,2014-10-29,Smlouva o smlouvě budoucí o zřízeni služebnosti - Povodí Vltavy,10,schváleni smlouvy o smlouvě budoucí o zřízení služebnosti - Povodí Vltavy,
1017,1,2014-10-29,Schváleni pověřeného zastupitele obce ve věcech územního plánu,11,schváleni pověřeného zastupitele obce ve věcech územního plánování Ing. Marka Kubra,
1018,1,2014-10-29,Smlouva se společností Arendon,12,odsouhlašeni Smlouvy o rozšíření vodovodu se společností Arendon dle přílohy č. 5,
2001,2,2014-11-24,program,0,Schválení programu,
2002,2,2014-11-24,Rozpočet obce na rok 2015,1,"Zastupitelé odsouhlasili návrh rozpočtu obce na rok 2015 jako vyrovnaný,",
2003,2,2014-11-24,Rozpočtové výhledy na roky 2016 a 2017,2,"Zastupitelé odsouhlasily návrhy rozpočtových výhledů na roky 2016 a 2017 jako vyrovnané,",
2004,2,2014-11-24,prodej parcely/části parcely,3,Zastupitelé souhlasí se záměrem o prodeji části parcely,
2005,2,2014-11-24,Rozpočtově opatrenie. 3,4,Zastupitelé souhlasí s rozpočtovým opatřením č. 3,
2006,2,2014-11-24,Založení právnické osoby - Technické správy obce,5,Zastupitelé souhlasí se založením právního subjektu,
2007,2,2014-11-24,Obecně závazná vyhláška - odpady,6,Přijata obecně závazná vyhláška - odpady,
2008,2,2014-11-24,Různé,7,Usnesení č. 26,
3001,3,2014-12-22,program,0,Schválení programu,
3002,3,2014-12-22,Rozpočet na rok 2015,1,Zastupitelé odsouhlasili rozpočet obce na rok 2015 jako vyrovnaný,
3003,3,2014-12-22,"Rozpočtové výhledy na rok 2016, 2017",2,"Zastupitelé odsouhlasili rozpočtový výhled na roky 2016 a 2017 jako vyrovnané,",
3004,3,2014-12-22,Odprodej obecních pozemků - 82/3 v k. ú. Popovický,3,"Zastupitelé odsouhlasili odprodej části parcely č. 82/3,",
4001,4,2015-02-23,program,0,Schválení programu,
4002,4,2015-02-23,Dodatek č. 6 se společnosti Ropid,1,Zastupitelé odsouhlasili Dodatek č. 6,
4003,4,2015-02-23,Príkazní smlouva s panem Ing. Richardem Osangem,2,Zastupitelé souhlasí s príkazní smlouvou s Ing. R.Osangem,
4004,4,2015-02-23,Rozpočtové opatrenie. 4 ze dne 29.12.2014,3,Zastupitelé odsouhlasili rozpočtové opatrení,
4005,4,2015-02-23,Stanovení povodňové komise,4,"Dle §78, zákona č. 254/2001 Sb. o vodách v platném znění zastupitelé souhlasí se zřízením povodňové komise v obci",
4006,4,2015-02-23,Kalkulace vodné a stočné 2015,5,"Zastupitelé odsouhlasili kalkulaci vodného a stočného na rok 2015,",
4007,4,2015-02-23,OZV o poplatku za komunální odpad,6,Zastupitelé odsouhlasili změnu výpočtu ceny známky pro rok 2015,
5001,5,2015-03-30,program,0,Schválení programu,
5002,5,2015-03-30,Pronájem vodovodní a kanalizační infrastruktury,2,Zastupitelé odsouhlasili záměr pronájmu,
5003,5,2015-03-30,Vnitrní směrnice OÚ Popovický o postupu při zadávání zakázek,3,Zastupitelé odsouhlasili vnitřní směrnici č. 1/2015,
5004,5,2015-03-30,Obecní erb,4,Zastupitelé odsouhlasili variantu 6 obecního erbu,
5005,5,2015-03-30,rozpočtové opatření číslo 1 z 1.3.2015,7,zastupitelé odsouhlasili rozpočtové opatření č. 1 z 1.3.2015.,
5006,5,2015-03-30,žádost o dotaci na obnovu kulturních památek,7,schvalují a berou na vědomí podání žádosti o dotaci,
6001,6,2015-05-11,program,0,Schválení programu,
6002,6,2015-05-11,Vyhláška obce o nakládání s odpady,1,jedná se o doplnění třídění odpadu,
6003,6,2015-05-11,Pojištěni obce,2,smlouva se společnosti Kooperativa,
6004,6,2015-05-11,Smlouva s Povodím Vltavy,4,Zastupitelé souhlasí se Smlouvu o Povodí Vltavy,
6005,6,2015-05-11,Informace k záměru o koupi fary - Popovický,5,Zastupitelé odsouhlasili koupi fary,
6006,6,2015-05-11,smlouva o zřízeni vodovodu se společnosti společností Arendon + Agro Jeseni,6,Zastupitelé odsouhlasili Smlouvu o zřízení služebnosti se společností Agro Jesenice u Prahy,
6007,6,2015-05-11,Smlouva o zajištění provozu vodohospodářské infrastruktury v obci Popovický,6,Zastupitelé souhlasí se smlouvu,
6008,6,2015-05-11,Převod parcely č. 469 v k.ú. Chomutovice,6,souhlasí se záměrem o budoucím převodu části pozemku,
6009,6,2015-05-11,Budoucí převzetí komunikace 111/00320,6,Zastupitelé souhlasí s budoucím převzetím části tělesa,
6010,6,2015-05-11,Převod parcely č. 413/20 v k.ú. Chomutovice,6,souhlasí s bezúplatným převodem pozemku parcely,
6011,6,2015-05-11,Převod parcely č. 413/20 v k.ú. Chomutovice,6,ng. Marka Kubra k zastupování obce ve věci převodu pozemků,
7001,7,2015-06-29,,0,program,
7002,7,2015-06-29,Pronájem obecního pozemku pare. číslo 341/1 k.ú. Chomutovice,1,Zastupitelé souhlasí s pronájmem pozemku společnosti Arendon a.s.,
7003,7,2015-06-29,Závěrečný účet obce' za rokem 2014 a „Zpráva o výsledku přezkoumání hospodaření obce Popovický'za rokem 2014,2,V návaznosti na Závěrečný účet obce schvaluje obec Směrnici číslo 1/15 „Schvalování účetních závěrek',
7004,7,2015-06-29,Smlouva o přípravě podkladů k dotaci a Smlouva o podání dotace - nová ČOV,3,Zastupitelé schvalují Príkazní smlouvu,
7005,7,2015-06-29,Smlouva o přípravě podkladů k dotaci a Smlouva o podání dotace - revitalizace rybníka v Chomutovicích,4,Zastupitelé schvalují objednávku č. 1505-03 dle Přílohy č.5 ve prospěch společnosti Ekologický rozvoj a výstavba s.r.o.,
7006,7,2015-06-29,Souhlas s podáním žádosti o vynětí pozemků ze zemědělského půdního fondu,5,Zastupitelé odsouhlasili podání žádosti za účelem odnětí pozemků,
7007,7,2015-06-29,Jednací řád zastupitelstva,5,Zastupitelé odsouhlasili nový „Jednací řád',
