id,start_date,motion:title,motion:number,motion:id,legislative_session:id,result,counts:option:yes,counts:option:no,counts:option:abstain,counts:number_of_people,counts:present
16643,17.12.1998,Návrh na způsob řešení problematiky výborů Zastupitelstva hl.m. Prahy (F),,638,2,,,,,,
16600,17.12.1998,k návrhu na způsob řešení problematiky výborů Zastupitelstva lhl.m. Prahy (F),2.1,638A,2,,,,,,
16383,17.12.1998,k rozpočtovému provizoriu - návrhu rozpočtu vlastního hospodaření hl. m. Prahy a vztahům k (F),2.2,636A,2,,,,,,
16572,17.12.1998,k zadlužení hl.m. Prahy a potenciálním rizikům rozpočtu hl.m. Prahy na rok 1999 (F),2.3,636B,2,,,,,,
16914,17.12.1998,"k navýšení základního jmění První městské banky, a.s. (F)",2.4,649,2,,,,,,
16103,17.12.1998,k návrhu na úplatný převod pozemků ve vlastnictví hl.m.Prahy do vlastnictví ČR - ředitelství silnic (F),2.5,652,2,,,,,,
16696,17.12.1998,"k návrhu na schválení nemovitých věcí, které jsou nabývány do vlastnictví hl.m. Prahy za účelem (F)",2.6,617,2,,,,,,
16550,17.12.1998,"k návrhu na úplatný převod objektu č.p. 133, ul. Trojská č.158, Praha 7, včetně pozemku parc. č. (F)",2.7,629,2,,,,,,
16434,17.12.1998,"k návrhu vyhlášky hlavního města Prahy, kterou se doplňuje vyhláška hlavního města Prahy č. (F)",2.8,611,2,,,,,,
16552,17.12.1998,"k návrhu vyhlášky hlavního města Prahy, kterou se doplňuje vyhláška hlavního města Prahy č. (F)",2.9,620,2,,,,,,
15882,17.12.1998,"k návrhu na úplatný převod objektu č.p. 46, ul. Krčská č.19, Praha 4,  včetně pozemků parc.č. 82 (F)",2.10,630,2,,,,,,
16679,17.12.1998,k návrhu na schválení úplatného převodu pozemku parc.č. 4941/5 o výměře 420 m2 v kat. území (F),2.11,623,2,,,,,,
16111,17.12.1998,k návrhu na schválení úplatného převodu pozemků parc.č. 1580/3 a 1580/4 o celkové výměře (F),2.13,624,2,,,,,,
