vote_event:id,voter:id,option
19714,3447,yes
19714,3448,yes
19714,3444,yes
19714,3632,yes
19714,2911,yes
19714,4014,yes
19714,3445,yes
19714,4002,absent
19714,3183,yes
19714,3455,yes
19714,3446,yes
19714,3456,yes
19714,3454,yes
19714,3185,yes
19714,3457,yes
19714,3458,yes
19714,3460,yes
19714,3459,yes
19714,4038,yes
19714,4039,yes
19714,3174,yes
19714,4040,absent
19714,4041,yes
19714,3184,yes
19714,4042,yes
19714,3461,yes
19714,3689,yes
19714,3462,yes
19714,3463,yes
19714,3173,yes
19714,4043,yes
19714,4050,not voting
19714,3464,yes
19714,3230,yes
19714,2923,yes
19714,3469,yes
19714,3470,yes
19714,3471,yes
19714,4071,yes
19714,3472,yes
19714,3351,yes
19714,3473,yes
19714,3474,yes
19714,3475,yes
19714,3179,yes
19714,4060,absent
19714,3476,yes
19714,3477,yes
19714,4061,yes
19714,4079,yes
19714,3186,yes
19714,3478,yes
19714,3479,yes
19714,3920,absent
19714,3480,yes
19714,3163,yes
19714,3164,yes
19714,3165,yes
19714,3166,yes
19714,3167,yes
19714,4080,yes
19714,4097,yes
19714,3168,yes
19714,3169,yes
19714,3170,yes
19714,3171,yes
19714,3172,not voting
19714,4114,yes
19714,4115,yes
19714,4121,absent
21000,3492,abstain
21000,3447,yes
21000,3448,yes
21000,3444,absent
21000,3632,yes
21000,2911,yes
21000,4014,yes
21000,3445,yes
21000,4002,yes
21000,3183,yes
21000,3455,yes
21000,3446,yes
21000,3456,yes
21000,3454,yes
21000,3185,absent
21000,3457,yes
21000,3458,yes
21000,3460,yes
21000,3459,yes
21000,4038,yes
21000,4039,yes
21000,3174,yes
21000,4040,absent
21000,4041,yes
21000,3184,yes
21000,4042,yes
21000,3461,yes
21000,3689,yes
21000,3462,not voting
21000,3463,yes
21000,3173,yes
21000,4043,absent
21000,4050,yes
21000,3464,yes
21000,3230,absent
21000,2923,yes
21000,3469,yes
21000,3470,absent
21000,3538,yes
21000,3471,absent
21000,4071,yes
21000,3472,absent
21000,3351,absent
21000,3473,yes
21000,3474,yes
21000,3475,yes
21000,3179,absent
21000,3476,absent
21000,3477,yes
21000,4079,yes
21000,3186,yes
21000,3478,yes
21000,3479,yes
21000,3920,yes
21000,3480,absent
21000,3163,not voting
21000,3164,yes
21000,3165,yes
21000,3166,yes
