id,name,group:id
3167,Jan Slezák,ČSSD
3169,Milan Urban,TOP 09
3184,Pavel Hurda,ODS
3186,Ondřej Pecha,ODS
3230,Marie Kousalíková,ODS
3337,Josef Nosek,ODS
3464,Pavel Klega,ODS
3472,Miloslav Ludvík,ČSSD
3478,Miroslav Poche,ČSSD
3484,Bohumil Zoufalík,ODS
3492,František Adámek,ČSSD
3762,Marta Semelová,KSČM
3926,Antonín Weinert,ČSSD
3967,Karel Březina,ČSSD
4014,Rudolf Blažek,ODS
4346,Petr Hána,ODS
4048,Radek Lohynský,ODS
4065,Dalibor Mlejnský,ODS
4085,Daniel Hodek,ČSSD
4041,Petr Hulinský,ČSSD
4216,Ivan Vinš,ODS
4306,Petr Bříza,ODS
4307,Monika Krobová Hášová,TOP 09
4308,Albert Kubišta,TOP 09
4309,Lubomír Ledl,KSČM
4310,Jiří Pařízek,TOP 09
4311,Roman Petrus,ČSSD
4312,Lukáš Plachý,ČSSD
4313,Ondřej Počarovský,TOP 09
4314,Pavel Richter,TOP 09
4315,Vladimír Schmalz,ODS
4316,Bohuslav Svoboda,ODS
4317,Michal Štěpán,TOP 09
4318,Nataša Šturmová,TOP 09
4319,Věra Šturmová,TOP 09
4320,Ludmila Štvánová,TOP 09
4321,Lenka Teska Arnoštová,ČSSD
4093,Petr Šimůnek,KSČM
4323,Zdeněk Tůma,TOP 09
4324,Andrea Vlásenková,ODS
4325,Eva Vorlíčková,TOP 09
4339,Zuzana Bonhomme Hankeová,TOP 09
4340,Iveta Borská,TOP 09
4341,Jiří Dienstbier,ČSSD
4342,Martin Dlouhý,TOP 09
4343,Petr Dodal,TOP 09
4345,Milan Růžička,TOP 09
4344,Petr Dolínek,ČSSD
4347,Tomáš Hudeček,TOP 09
4348,Helena Chudomelová,TOP 09
4349,Gabriela Kloudová,ODS
4350,Alexandra Udženija,ODS
4351,Jan Vašíček,TOP 09
4352,Jiří Vávra,TOP 09
4353,David Zelený,ODS
4355,Roman Vaculka,TOP 09
4369,Ivan Kabický,ODS
4370,Jan Kalousek,ODS
4371,Lukáš Kaucký,ČSSD
4322,Petr Trombik,TOP 09
4372,Jiří Liška,TOP 09
4373,Lukáš Manhart,TOP 09
4374,Jiří Nouza,TOP 09
4375,Václav Novotný,TOP 09
4624,Lucie Válová,ČSSD
4683,Boris Šťastný,ODS
4684,Milan Richter,ODS
