id,start_date,motion:title,motion:number,motion:id,legislative_session:id,result,counts:option:yes,counts:option:no,counts:option:abstain,counts:number_of_people,counts:present
32477,26.11.2014,procedurální návrh o přerušení tohoto zasedání ZHMP do 13.00 hodin   (Novotný V.),,,1,fail,24,25,8,65,63
32479,26.11.2014,procedurální návrh o přerušení tohoto zasedání ZHMP do 13.30 hodin    (Udženija),,,1,fail,23,28,7,65,63
32481,26.11.2014,"procedurální návrh o přerušení tohoto zasedání ZHMP do 18.00 hodin s tím, že zasedání bude pokračovat i po 19.00 hodině   (Štěpánek P.)",,,1,pass,36,23,3,65,63
32483,26.11.2014,složení návrhového a volebního výboru ZHMP,,,1,pass,61,0,0,65,63
32485,26.11.2014,o návrhu programu jednání,,,1,pass,60,0,1,65,63
32487,26.11.2014,o průběhu a způsobu voleb,,,1,pass,63,0,0,65,63
32489,26.11.2014,"K návrhu na volbu primátorky hl.m. Prahy, náměstků primátorky hl.m. Prahy a členů Rady hlavního města Prahy",1,Z-3082,1,pass,33,22,7,65,63
32491,26.11.2014,"K návrhu na volbu primátorky hl.m. Prahy, náměstků primátorky hl.m. Prahy a členů Rady hlavního města Prahy",1,Z-3082,1,pass,33,8,20,65,62
32493,26.11.2014,"K návrhu na volbu primátorky hl.m. Prahy, náměstků primátorky hl.m. Prahy a členů Rady hlavního města Prahy",1,Z-3082,1,pass,33,2,26,65,62
32495,26.11.2014,"K návrhu na volbu primátorky hl.m. Prahy, náměstků primátorky hl.m. Prahy a členů Rady hlavního města Prahy",,,1,pass,33,14,14,65,62
32497,26.11.2014,"K návrhu na volbu primátorky hl.m. Prahy, náměstků primátorky hl.m. Prahy a členů Rady hlavního města Prahy",1,Z-3082,1,pass,33,8,21,65,62
32499,26.11.2014,"K návrhu na volbu primátorky hl.m. Prahy, náměstků primátorky hl.m. Prahy a členů Rady hlavního města Prahy",1,Z-3082,1,pass,33,7,21,65,62
32501,26.11.2014,"K návrhu na volbu primátorky hl.m. Prahy, náměstků primátorky hl.m. Prahy a členů Rady hlavního města Prahy",1,Z-3082,1,pass,33,7,22,65,62
32503,26.11.2014,"K návrhu na volbu primátorky hl.m. Prahy, náměstků primátorky hl.m. Prahy a členů Rady hlavního města Prahy",1,Z-3082,1,pass,33,8,20,65,62
32505,26.11.2014,"K návrhu na volbu primátorky hl.m. Prahy, náměstků primátorky hl.m. Prahy a členů Rady hlavního města Prahy",1,Z-3082,1,pass,33,4,25,65,62
32507,26.11.2014,"K návrhu na volbu primátorky hl.m. Prahy, náměstků primátorky hl.m. Prahy a členů Rady hlavního města Prahy",1,Z-3082,1,pass,33,4,25,65,62
32509,26.11.2014,"K návrhu na volbu primátorky hl.m. Prahy, náměstků primátorky hl.m. Prahy a členů Rady hlavního města Prahy",1,Z-3082,1,pass,33,4,25,65,62
32511,26.11.2014,"K výborům Zastupitelstva hlavního města Prahy, ke stanovení počtu dlouhodobě uvolněných členů Zastupitelstva hlavního města Prahy a výborů Zastupitelstva hlavního města Prahy, jejichž předsedové budou dlouhodobě uvolněnými členy Zastupitelstva hlavního města Prahy a ke změně Jednacího řádu výborů Zastupitelstva hlavního města Prahy",2,Z-3084,1,pass,47,2,11,65,62
32513,26.11.2014,"K výborům Zastupitelstva hlavního města Prahy, ke stanovení počtu dlouhodobě uvolněných členů Zastupitelstva hlavního města Prahy a výborů Zastupitelstva hlavního města Prahy, jejichž předsedové budou dlouhodobě uvolněnými členy Zastupitelstva hlavního města Prahy a ke změně Jednacího řádu výborů Zastupitelstva hlavního města Prahy",2,Z-3084,1,fail,28,3,29,65,62
32515,26.11.2014,"K výborům Zastupitelstva hlavního města Prahy, ke stanovení počtu dlouhodobě uvolněných členů Zastupitelstva hlavního města Prahy a výborů Zastupitelstva hlavního města Prahy, jejichž předsedové budou dlouhodobě uvolněnými členy Zastupitelstva hlavního města Prahy a ke změně Jednacího řádu výborů Zastupitelstva hlavního města Prahy",2,Z-3084,1,pass,49,1,9,65,62
32517,26.11.2014,"K výborům Zastupitelstva hlavního města Prahy, ke stanovení počtu dlouhodobě uvolněných členů Zastupitelstva hlavního města Prahy a výborů Zastupitelstva hlavního města Prahy, jejichž předsedové budou dlouhodobě uvolněnými členy Zastupitelstva hlavního města Prahy a ke změně Jednacího řádu výborů Zastupitelstva hlavního města Prahy",2,Z-3084,1,pass,33,5,23,65,62
32519,26.11.2014,"K výborům Zastupitelstva hlavního města Prahy, ke stanovení počtu dlouhodobě uvolněných členů Zastupitelstva hlavního města Prahy a výborů Zastupitelstva hlavního města Prahy, jejichž předsedové budou dlouhodobě uvolněnými členy Zastupitelstva hlavního města Prahy a ke změně Jednacího řádu výborů Zastupitelstva hlavního města Prahy",2,Z-3084,1,pass,34,1,24,65,62
32521,26.11.2014,"K výborům Zastupitelstva hlavního města Prahy, ke stanovení počtu dlouhodobě uvolněných členů Zastupitelstva hlavního města Prahy a výborů Zastupitelstva hlavního města Prahy, jejichž předsedové budou dlouhodobě uvolněnými členy Zastupitelstva hlavního města Prahy a ke změně Jednacího řádu výborů Zastupitelstva hlavního města Prahy",2,Z-3084,1,pass,33,5,24,65,62
32523,26.11.2014,"K výborům Zastupitelstva hlavního města Prahy, ke stanovení počtu dlouhodobě uvolněných členů Zastupitelstva hlavního města Prahy a výborů Zastupitelstva hlavního města Prahy, jejichž předsedové budou dlouhodobě uvolněnými členy Zastupitelstva hlavního města Prahy a ke změně Jednacího řádu výborů Zastupitelstva hlavního města Prahy",2,Z-3084,1,pass,34,0,28,65,62
32525,26.11.2014,"K výborům Zastupitelstva hlavního města Prahy, ke stanovení počtu dlouhodobě uvolněných členů Zastupitelstva hlavního města Prahy a výborů Zastupitelstva hlavního města Prahy, jejichž předsedové budou dlouhodobě uvolněnými členy Zastupitelstva hlavního města Prahy a ke změně Jednacího řádu výborů Zastupitelstva hlavního města Prahy",2,Z-3084,1,pass,33,5,24,65,62
32527,26.11.2014,"K výborům Zastupitelstva hlavního města Prahy, ke stanovení počtu dlouhodobě uvolněných členů Zastupitelstva hlavního města Prahy a výborů Zastupitelstva hlavního města Prahy, jejichž předsedové budou dlouhodobě uvolněnými členy Zastupitelstva hlavního města Prahy a ke změně Jednacího řádu výborů Zastupitelstva hlavního města Prahy",2,Z-3084,1,pass,33,11,18,65,62
32529,26.11.2014,"K výborům Zastupitelstva hlavního města Prahy, ke stanovení počtu dlouhodobě uvolněných členů Zastupitelstva hlavního města Prahy a výborů Zastupitelstva hlavního města Prahy, jejichž předsedové budou dlouhodobě uvolněnými členy Zastupitelstva hlavního města Prahy a ke změně Jednacího řádu výborů Zastupitelstva hlavního města Prahy",2,Z-3084,1,pass,36,3,23,65,62
32531,26.11.2014,"K výborům Zastupitelstva hlavního města Prahy, ke stanovení počtu dlouhodobě uvolněných členů Zastupitelstva hlavního města Prahy a výborů Zastupitelstva hlavního města Prahy, jejichž předsedové budou dlouhodobě uvolněnými členy Zastupitelstva hlavního města Prahy a ke změně Jednacího řádu výborů Zastupitelstva hlavního města Prahy",2,Z-3084,1,pass,37,0,23,65,62
32533,26.11.2014,"K výborům Zastupitelstva hlavního města Prahy, ke stanovení počtu dlouhodobě uvolněných členů Zastupitelstva hlavního města Prahy a výborů Zastupitelstva hlavního města Prahy, jejichž předsedové budou dlouhodobě uvolněnými členy Zastupitelstva hlavního města Prahy a ke změně Jednacího řádu výborů Zastupitelstva hlavního města Prahy",2,Z-3084,1,pass,33,2,27,65,62
32535,26.11.2014,"K výborům Zastupitelstva hlavního města Prahy, ke stanovení počtu dlouhodobě uvolněných členů Zastupitelstva hlavního města Prahy a výborů Zastupitelstva hlavního města Prahy, jejichž předsedové budou dlouhodobě uvolněnými členy Zastupitelstva hlavního města Prahy a ke změně Jednacího řádu výborů Zastupitelstva hlavního města Prahy",2,Z-3084,1,pass,33,1,28,65,62
32537,26.11.2014,"K výborům Zastupitelstva hlavního města Prahy, ke stanovení počtu dlouhodobě uvolněných členů Zastupitelstva hlavního města Prahy a výborů Zastupitelstva hlavního města Prahy, jejichž předsedové budou dlouhodobě uvolněnými členy Zastupitelstva hlavního města Prahy a ke změně Jednacího řádu výborů Zastupitelstva hlavního města Prahy",2,Z-3084,1,pass,33,13,15,65,62
32539,26.11.2014,"K výborům Zastupitelstva hlavního města Prahy, ke stanovení počtu dlouhodobě uvolněných členů Zastupitelstva hlavního města Prahy a výborů Zastupitelstva hlavního města Prahy, jejichž předsedové budou dlouhodobě uvolněnými členy Zastupitelstva hlavního města Prahy a ke změně Jednacího řádu výborů Zastupitelstva hlavního města Prahy",2,Z-3084,1,pass,36,0,26,65,62
32541,26.11.2014,"K výborům Zastupitelstva hlavního města Prahy, ke stanovení počtu dlouhodobě uvolněných členů Zastupitelstva hlavního města Prahy a výborů Zastupitelstva hlavního města Prahy, jejichž předsedové budou dlouhodobě uvolněnými členy Zastupitelstva hlavního města Prahy a ke změně Jednacího řádu výborů Zastupitelstva hlavního města Prahy",2,Z-3084,1,pass,33,3,26,65,62
32543,26.11.2014,"K výborům Zastupitelstva hlavního města Prahy, ke stanovení počtu dlouhodobě uvolněných členů Zastupitelstva hlavního města Prahy a výborů Zastupitelstva hlavního města Prahy, jejichž předsedové budou dlouhodobě uvolněnými členy Zastupitelstva hlavního města Prahy a ke změně Jednacího řádu výborů Zastupitelstva hlavního města Prahy",2,Z-3084,1,fail,22,14,26,65,62
32545,26.11.2014,"K výborům Zastupitelstva hlavního města Prahy, ke stanovení počtu dlouhodobě uvolněných členů Zastupitelstva hlavního města Prahy a výborů Zastupitelstva hlavního města Prahy, jejichž předsedové budou dlouhodobě uvolněnými členy Zastupitelstva hlavního města Prahy a ke změně Jednacího řádu výborů Zastupitelstva hlavního města Prahy",2,Z-3084,1,fail,12,12,37,65,62
32547,26.11.2014,"K výborům Zastupitelstva hlavního města Prahy, ke stanovení počtu dlouhodobě uvolněných členů Zastupitelstva hlavního města Prahy a výborů Zastupitelstva hlavního města Prahy, jejichž předsedové budou dlouhodobě uvolněnými členy Zastupitelstva hlavního města Prahy a ke změně Jednacího řádu výborů Zastupitelstva hlavního města Prahy",2,Z-3084,1,fail,27,9,26,65,62
32549,26.11.2014,"K výborům Zastupitelstva hlavního města Prahy, ke stanovení počtu dlouhodobě uvolněných členů Zastupitelstva hlavního města Prahy a výborů Zastupitelstva hlavního města Prahy, jejichž předsedové budou dlouhodobě uvolněnými členy Zastupitelstva hlavního města Prahy a ke změně Jednacího řádu výborů Zastupitelstva hlavního města Prahy",2,Z-3084,1,pass,33,0,2,65,62
32551,26.11.2014,"K výborům Zastupitelstva hlavního města Prahy, ke stanovení počtu dlouhodobě uvolněných členů Zastupitelstva hlavního města Prahy a výborů Zastupitelstva hlavního města Prahy, jejichž předsedové budou dlouhodobě uvolněnými členy Zastupitelstva hlavního města Prahy a ke změně Jednacího řádu výborů Zastupitelstva hlavního města Prahy",2,Z-3084,1,pass,55,1,6,65,62
32553,26.11.2014,"K výborům Zastupitelstva hlavního města Prahy, ke stanovení počtu dlouhodobě uvolněných členů Zastupitelstva hlavního města Prahy a výborů Zastupitelstva hlavního města Prahy, jejichž předsedové budou dlouhodobě uvolněnými členy Zastupitelstva hlavního města Prahy a ke změně Jednacího řádu výborů Zastupitelstva hlavního města Prahy",2,Z-3084,1,pass,49,0,12,65,62
32555,26.11.2014,"K výborům Zastupitelstva hlavního města Prahy, ke stanovení počtu dlouhodobě uvolněných členů Zastupitelstva hlavního města Prahy a výborů Zastupitelstva hlavního města Prahy, jejichž předsedové budou dlouhodobě uvolněnými členy Zastupitelstva hlavního města Prahy a ke změně Jednacího řádu výborů Zastupitelstva hlavního města Prahy",2,Z-3084,1,pass,39,5,18,65,62
32557,26.11.2014,"K výborům Zastupitelstva hlavního města Prahy, ke stanovení počtu dlouhodobě uvolněných členů Zastupitelstva hlavního města Prahy a výborů Zastupitelstva hlavního města Prahy, jejichž předsedové budou dlouhodobě uvolněnými členy Zastupitelstva hlavního města Prahy a ke změně Jednacího řádu výborů Zastupitelstva hlavního města Prahy",2,Z-3084,1,pass,59,0,1,65,62
32559,26.11.2014,"K výborům Zastupitelstva hlavního města Prahy, ke stanovení počtu dlouhodobě uvolněných členů Zastupitelstva hlavního města Prahy a výborů Zastupitelstva hlavního města Prahy, jejichž předsedové budou dlouhodobě uvolněnými členy Zastupitelstva hlavního města Prahy a ke změně Jednacího řádu výborů Zastupitelstva hlavního města Prahy",2,Z-3084,1,pass,44,1,15,65,62
32561,26.11.2014,"K výborům Zastupitelstva hlavního města Prahy, ke stanovení počtu dlouhodobě uvolněných členů Zastupitelstva hlavního města Prahy a výborů Zastupitelstva hlavního města Prahy, jejichž předsedové budou dlouhodobě uvolněnými členy Zastupitelstva hlavního města Prahy a ke změně Jednacího řádu výborů Zastupitelstva hlavního města Prahy",2,Z-3084,1,pass,55,0,0,65,62
32563,26.11.2014,"K výborům Zastupitelstva hlavního města Prahy, ke stanovení počtu dlouhodobě uvolněných členů Zastupitelstva hlavního města Prahy a výborů Zastupitelstva hlavního města Prahy, jejichž předsedové budou dlouhodobě uvolněnými členy Zastupitelstva hlavního města Prahy a ke změně Jednacího řádu výborů Zastupitelstva hlavního města Prahy",2,Z-3084,1,pass,62,0,0,65,62
32565,26.11.2014,"K výborům Zastupitelstva hlavního města Prahy, ke stanovení počtu dlouhodobě uvolněných členů Zastupitelstva hlavního města Prahy a výborů Zastupitelstva hlavního města Prahy, jejichž předsedové budou dlouhodobě uvolněnými členy Zastupitelstva hlavního města Prahy a ke změně Jednacího řádu výborů Zastupitelstva hlavního města Prahy",2,Z-3084,1,pass,52,0,10,65,62
32567,18.12.2014,Složení návrhového výboru,,,2,pass,64,,,65,64
32569,18.12.2014,Třetí výročí úmrtí bývalého prezidenta Václava Havla uctít minutou ticha      (Novotný V.),,,2,pass,54,,1,65,55
32571,18.12.2014,"Návrh na zařazení projednání pražských stavebních předpisů - tisk Z - 3124 ""K řešení problematiky Pražských stavebních předpisů"" na tomto jednání ZHMP      (Hudeček)",,,2,pass,33,9,22,65,64
32573,18.12.2014,"Přesunout tisk Z- 3043 ""Aktualizace ""Střednědobého plánu rozvoje sociálních služeb na území hlavního města Prahy na rok 2013 - 2015"", pro rok 2015"" z bloku informací do řádného jednání ZHMP    (Semelová)",,,2,fail,12,5,48,65,65
32575,18.12.2014,"Zařadit  do programu bod ""Návrh boje s korupcí""      (osvojil si člen ZHMP Hrůza)",,,2,fail,12,2,50,65,64
32577,18.12.2014,"zařadit tisk Z - 3110  ""Ke zveřejňování smluv"" do programu tohoto jednání      (Zábranský, Ferjenčík)",,,2,fail,32,,33,65,65
32579,18.12.2014,Vyřadit z programu bod poř. č. 15/3. Z - 2368       (osvojil si člen ZHMP Michálek),,,2,pass,61,,2,65,63
32581,18.12.2014,O celém upraveném návrhu programu jednání,,,2,pass,62,3,,65,65
32583,18.12.2014,"Procedurální návrh - zařadit bod Z - 3124 "" K řešení problematiky Pražských stavebních předpisů"" jako poslední bod tohoto jednání ZHMP     (Březina)",,,2,pass,38,24,3,65,65
32585,18.12.2014,k pověření člena Zastupitelstva hl. m. Prahy Bc. Libora Hadravy řízením Městské policie hlavního města Prahy,1,Z-3112,2,pass,49,0,16,65,65
32587,18.12.2014,"k návrhu usnesení Zastupitelstva hl.m.Prahy ke schválení originárního nabytí vlastnického práva k nemovitosti do majetku hl.m.Prahy na základě veřejné zakázky na stavební práce - stavba č.9276 Chaby, stavba 50 - komunikace, etapa 0003 - Protihluková opatření Jeremiášova",2,Z-2615,2,pass,61,0,4,65,65
32589,18.12.2014,"k návrhu na financování stavební akce na pozemní komunikaci Městskou částí Praha 10 na majetku hl.m. Prahy, který je ve správě TSK hl.m. Prahy",3,Z-3045,2,pass,42,0,23,65,65
32591,18.12.2014,procedurální návrh na sloučení rozpravy k bodům pod poř. č. 4/1. - 4/5.,,,2,pass,61,,2,65,63
32593,18.12.2014,k uzavření smlouvy o nabytí a zřízení služebnosti inženýrské sítě,5,Z-2945,2,pass,55,0,4,65,59
32595,18.12.2014,k uzavření smlouvy o nabytí a zřízení služebnosti inženýrské sítě,4,Z-2946,2,pass,57,0,7,65,64
32597,18.12.2014,k uzavření smlouvy o nabytí a zřízení služebnosti inženýrské sítě,5,Z-2945,2,pass,59,0,5,65,64
32599,18.12.2014,"k návrhu smlouvy o zřízení a nabytí služebnosti inženýrské sítě s Povodí Vltavy, státní podnik",6,Z-2992,2,pass,58,0,4,65,62
32601,18.12.2014,k návrhu smlouvy o smlouvě budoucí o zřízení služebnosti inženýrské sítě,7,Z-3008,2,pass,56,0,7,65,63
32603,18.12.2014,k návrhu smlouvy o nabytí a zřízení služebnosti inženýrské sítě,8,Z-2985,2,pass,58,0,6,65,64
32605,18.12.2014,k návrhu na schválení uzavření smluv o zřízení věcného břemene,9,Z-3023,2,pass,59,0,5,65,64
