vote_event_id,voter_id,option,group_id,
1001,2014-513369-1-901-2,yes,nk_party,
1001,2014-513369-1-901-6,yes,nk_party,
1001,2014-513369-1-901-1,yes,nk_party,
1001,2014-513369-1-901-5,yes,nk_party,
1001,2014-513369-1-901-4,yes,nk_party,
1001,2014-513369-1-901-7,yes,nk_party,
1001,2014-513369-1-901-3,yes,nk_party,
1002,2014-513369-1-901-2,yes,nk_party,
1002,2014-513369-1-901-6,yes,nk_party,
1002,2014-513369-1-901-1,yes,nk_party,
1002,2014-513369-1-901-5,yes,nk_party,
1002,2014-513369-1-901-4,yes,nk_party,
1002,2014-513369-1-901-7,yes,nk_party,
1002,2014-513369-1-901-3,yes,nk_party,
1003,2014-513369-1-901-2,yes,nk_party,
1003,2014-513369-1-901-6,yes,nk_party,
1003,2014-513369-1-901-1,yes,nk_party,
1003,2014-513369-1-901-5,yes,nk_party,
1003,2014-513369-1-901-4,yes,nk_party,
1003,2014-513369-1-901-7,yes,nk_party,
1003,2014-513369-1-901-3,yes,nk_party,
1004,2014-513369-1-901-2,yes,nk_party,
1004,2014-513369-1-901-6,yes,nk_party,
1004,2014-513369-1-901-1,yes,nk_party,
1004,2014-513369-1-901-5,yes,nk_party,
1004,2014-513369-1-901-4,yes,nk_party,
1004,2014-513369-1-901-7,yes,nk_party,
1004,2014-513369-1-901-3,yes,nk_party,
1005,2014-513369-1-901-2,yes,nk_party,
1005,2014-513369-1-901-6,yes,nk_party,
1005,2014-513369-1-901-1,yes,nk_party,
1005,2014-513369-1-901-5,yes,nk_party,
1005,2014-513369-1-901-4,yes,nk_party,
1005,2014-513369-1-901-7,yes,nk_party,
1005,2014-513369-1-901-3,yes,nk_party,
1006,2014-513369-1-901-2,yes,nk_party,
1006,2014-513369-1-901-6,yes,nk_party,
1006,2014-513369-1-901-1,yes,nk_party,
1006,2014-513369-1-901-5,yes,nk_party,
1006,2014-513369-1-901-4,yes,nk_party,
1006,2014-513369-1-901-7,yes,nk_party,
1006,2014-513369-1-901-3,yes,nk_party,
1007,2014-513369-1-901-2,yes,nk_party,
1007,2014-513369-1-901-6,yes,nk_party,
1007,2014-513369-1-901-1,yes,nk_party,
1007,2014-513369-1-901-5,yes,nk_party,
1007,2014-513369-1-901-4,yes,nk_party,
1007,2014-513369-1-901-7,yes,nk_party,
1007,2014-513369-1-901-3,yes,nk_party,
1008,2014-513369-1-901-2,yes,nk_party,
1008,2014-513369-1-901-6,yes,nk_party,
1008,2014-513369-1-901-1,yes,nk_party,
1008,2014-513369-1-901-5,yes,nk_party,
1008,2014-513369-1-901-4,yes,nk_party,
1008,2014-513369-1-901-7,yes,nk_party,
1008,2014-513369-1-901-3,yes,nk_party,
1009,2014-513369-1-901-2,yes,nk_party,
1009,2014-513369-1-901-6,yes,nk_party,
1009,2014-513369-1-901-1,yes,nk_party,
1009,2014-513369-1-901-5,yes,nk_party,
1009,2014-513369-1-901-4,yes,nk_party,
1009,2014-513369-1-901-7,yes,nk_party,
1009,2014-513369-1-901-3,yes,nk_party,
1010,2014-513369-1-901-2,yes,nk_party,
1010,2014-513369-1-901-6,yes,nk_party,
1010,2014-513369-1-901-1,yes,nk_party,
1010,2014-513369-1-901-5,yes,nk_party,
1010,2014-513369-1-901-4,yes,nk_party,
1010,2014-513369-1-901-7,yes,nk_party,
1010,2014-513369-1-901-3,yes,nk_party,
2001,2014-513369-1-901-2,yes,nk_party,
2001,2014-513369-1-901-6,absent,nk_party,
2001,2014-513369-1-901-1,not voting,nk_party,
2001,2014-513369-1-901-5,yes,nk_party,
2001,2014-513369-1-901-4,yes,nk_party,
2001,2014-513369-1-901-7,yes,nk_party,
2001,2014-513369-1-901-3,yes,nk_party,
2002,2014-513369-1-901-2,yes,nk_party,
2002,2014-513369-1-901-6,absent,nk_party,
2002,2014-513369-1-901-1,not voting,nk_party,
2002,2014-513369-1-901-5,yes,nk_party,
2002,2014-513369-1-901-4,yes,nk_party,
2002,2014-513369-1-901-7,yes,nk_party,
2002,2014-513369-1-901-3,yes,nk_party,
2003,2014-513369-1-901-2,yes,nk_party,
2003,2014-513369-1-901-6,absent,nk_party,
2003,2014-513369-1-901-1,not voting,nk_party,
2003,2014-513369-1-901-5,yes,nk_party,
2003,2014-513369-1-901-4,yes,nk_party,
2003,2014-513369-1-901-7,yes,nk_party,
2003,2014-513369-1-901-3,yes,nk_party,
2004,2014-513369-1-901-2,no,nk_party,
2004,2014-513369-1-901-6,absent,nk_party,
2004,2014-513369-1-901-1,not voting,nk_party,
2004,2014-513369-1-901-5,no,nk_party,
2004,2014-513369-1-901-4,abstain,nk_party,
2004,2014-513369-1-901-7,abstain,nk_party,
2004,2014-513369-1-901-3,no,nk_party,
2005,2014-513369-1-901-2,yes,nk_party,
2005,2014-513369-1-901-6,absent,nk_party,
2005,2014-513369-1-901-1,not voting,nk_party,
2005,2014-513369-1-901-5,yes,nk_party,
2005,2014-513369-1-901-4,yes,nk_party,
2005,2014-513369-1-901-7,yes,nk_party,
2005,2014-513369-1-901-3,yes,nk_party,
2006,2014-513369-1-901-2,yes,nk_party,
2006,2014-513369-1-901-6,absent,nk_party,
2006,2014-513369-1-901-1,not voting,nk_party,
2006,2014-513369-1-901-5,yes,nk_party,
2006,2014-513369-1-901-4,yes,nk_party,
2006,2014-513369-1-901-7,yes,nk_party,
2006,2014-513369-1-901-3,yes,nk_party,
2007,2014-513369-1-901-2,yes,nk_party,
2007,2014-513369-1-901-6,absent,nk_party,
2007,2014-513369-1-901-1,not voting,nk_party,
2007,2014-513369-1-901-5,yes,nk_party,
2007,2014-513369-1-901-4,yes,nk_party,
2007,2014-513369-1-901-7,yes,nk_party,
2007,2014-513369-1-901-3,yes,nk_party,
2008,2014-513369-1-901-2,yes,nk_party,
2008,2014-513369-1-901-6,absent,nk_party,
2008,2014-513369-1-901-1,not voting,nk_party,
2008,2014-513369-1-901-5,yes,nk_party,
2008,2014-513369-1-901-4,yes,nk_party,
2008,2014-513369-1-901-7,yes,nk_party,
2008,2014-513369-1-901-3,yes,nk_party,
3001,2014-513369-1-901-2,yes,nk_party,
3001,2014-513369-1-901-6,absent,nk_party,
3001,2014-513369-1-901-1,absent,nk_party,
3001,2014-513369-1-901-5,yes,nk_party,
3001,2014-513369-1-901-4,absent,nk_party,
3001,2014-513369-1-901-7,yes,nk_party,
3001,2014-513369-1-901-3,yes,nk_party,
3002,2014-513369-1-901-2,yes,nk_party,
3002,2014-513369-1-901-6,absent,nk_party,
3002,2014-513369-1-901-1,absent,nk_party,
3002,2014-513369-1-901-5,yes,nk_party,
3002,2014-513369-1-901-4,absent,nk_party,
3002,2014-513369-1-901-7,yes,nk_party,
3002,2014-513369-1-901-3,yes,nk_party,
3003,2014-513369-1-901-2,yes,nk_party,
3003,2014-513369-1-901-6,absent,nk_party,
3003,2014-513369-1-901-1,absent,nk_party,
3003,2014-513369-1-901-5,yes,nk_party,
3003,2014-513369-1-901-4,absent,nk_party,
3003,2014-513369-1-901-7,yes,nk_party,
3003,2014-513369-1-901-3,yes,nk_party,
