id,classification_id,classification,name,
kscm_party,party,Navrhující strana,Komunistická strana Čech a Moravy,
snk-ed_party,party,Navrhující strana,SNK Evropští demokraté,
cssd_party,party,Navrhující strana,Česká strana sociálně demokratická,
nk_party,party,Navrhující strana,Nezávislí kandidáti,
top-09_party,party,Navrhující strana,TOP 09,
kscm_affiliation,affiliation,Stranická příslušnost,Komunistická strana Čech a Moravy,
bezpp_affiliation,affiliation,Stranická příslušnost,Bez politické příslušnosti,
cssd_affiliation,affiliation,Stranická příslušnost,Česká strana sociálně demokratická,
top-09_affiliation,affiliation,Stranická příslušnost,TOP 09,
47_list,list,Kandidátní listina,Komunistická strana Čech a Moravy,
129_list,list,Kandidátní listina,SNK Evropští demokraté,
7_list,list,Kandidátní listina,Česká strana sociálně demokratická,
901_list,list,Kandidátní listina,listina nezávislých kandidátů,
902_list,list,Kandidátní listina,listina nezávislých kandidátů,
721_list,list,Kandidátní listina,TOP 09,
