id,legislative_session:number,start_date,item:title,item:number,motion:title,
1001,1,2014-11-05,Volba a zpráva mandátové a volební komise ,4,"zvolilo mandátovou a volební komisi ve složení: Ing. Zdeněk Kulíšek, p. Václav Bilický, p. 1 ,enka Vrbov",
1002,1,2014-11-05,Volba a zpráva mandátové a volební komise ,4,schválilo zprávu mandátové a volební komise ,
1003,1,2014-11-05,Schválení programu,5,schválilo následující program jednání ustavujícího zastupitelstva města:,
1004,1,2014-11-05,Schválení Jednacího rádu zastupitelstva mesta,6,schvaluje upravený Jednací řád zastupitelstva města,
1005,1,2014-11-05,"Volba starosty, místostarosty a radních města",7,určení počtu místostarostů ,
1006,1,2014-11-05,"Volba starosty, místostarosty a radních města",7,"určení, které funkce  budou členové zastupitelstva vykonávat jako dlouhodobé uvolnění ",
1007,1,2014-11-05,"Volba starosty, místostarosty a radních města",7,"určení, které funkce  budou členové zastupitelstva vykonávat jako dlouhodobé uvolnění ",
1008,1,2014-11-05,"Volba starosty, místostarosty a radních města",7,"určení způsobu volby starosty, místostarosty a radních",
1009,1,2014-11-05,"Volba starosty, místostarosty a radních města",7,"určení způsobu volby starosty, místostarosty a radních",
1010,1,2014-11-05,"Volba starosty, místostarosty a radních města",7,určilo počet členů rady mesta na pět,
1011,1,2014-11-05,"Volba starosty, místostarosty a radních města",7,volba starosty,
1012,1,2014-11-05,"Volba starosty, místostarosty a radních města",7,zvolilo vc veřejném hlasování starostou města Ing. Miroslava Králíka ,
1013,1,2014-11-05,"Volba starosty, místostarosty a radních města",7,volba místostarosty ,
1014,1,2014-11-05,"Volba starosty, místostarosty a radních města",7,volba místostarosty ,
1015,1,2014-11-05,"Volba starosty, místostarosty a radních města",7,volba členů rady města,
1016,1,2014-11-05,"Volba starosty, místostarosty a radních města",7,Hlasování o návrhu zvolení ve veřejném hlasování radní města paní Renatu Flekovou.,
1017,1,2014-11-05,"Volba starosty, místostarosty a radních města",7,Hlasování o návrhu zvolení ve veřejném hlasování radní města pana lng. Miloše Tity. ,
1018,1,2014-11-05,"Volba starosty, místostarosty a radních města",7,Hlasování o návrhu zvolení ve veřejném hlasování radní města pana Václava Bilického.,
1019,1,2014-11-05,"Volba starosty, místostarosty a radních města",7,Hlasování o návrhu zvolení ve veřejném hlasování radní města pan Miloslav Tůma ml. ,
1020,1,2014-11-05,"Volba starosty, místostarosty a radních města",7,Hlasování o návrhu zvolení ve veřejném hlasování radní města pan Miloslav Tůma st. ,
1021,1,2014-11-05,"Volba starosty, místostarosty a radních města",7,"Zastupitelstvo zvolilo vc veřejném hlasováni radními města paní Renatu Flekovou, pana Miloslava Tňniu ml., pana Miloslava Tůmu st.",
1022,1,2014-11-05,Zřízení finančního a kontrolního výboru,8,určení počtu členů finančního a kontrolního výboru,
1023,1,2014-11-05,Zřízení finančního a kontrolního výboru,8,Hlasování o původním návrhu na pět členů výborů.,
1024,1,2014-11-05,Zřízení finančního a kontrolního výboru,8,"Hlasování o návrhu, aby kontrolní výbor měl 5 členů. ",
1025,1,2014-11-05,Zřízení finančního a kontrolního výboru,8,zřídilo finanční výbor a kontrolní výbor; oba výbory včetně předsedy budou mít pět členů ,
1026,1,2014-11-05,Zřízení finančního a kontrolního výboru,8,volba předsedy finančního výburu,
1027,1,2014-11-05,Zřízení finančního a kontrolního výboru,8,zvolilo ve veřejném hlasování předsedou finančního výboru Ing. Zdeňka Kulíška ,
1028,1,2014-11-05,Zřízení finančního a kontrolního výboru,8,volba předsedy kontrolního výboru,
1029,1,2014-11-05,Zřízení finančního a kontrolního výboru,8,zvolilo ve veřejném hlasování předsedou kontrolního výboru Mgr. Šárku Kalvovou ,
1030,1,2014-11-05,Rozhodnutí o odměnách za výkon funkcí neuvolnených členů zastúpil eis Iv a ,9,rozhodlo neuvolněnému členovi zastupitelstva poskytnoui měsíční odmenu až do výše souhrnu odměn za jednotlivé funkce,
1031,1,2014-11-05,Různé ,10,stanovuje určeným zastupitelem pro pořízení IJPD starostu ing. Miroslava Králíka ,
1032,1,2014-11-05,Různé ,10, deleguje na valné hromady všech obchodních společností,
2001,2,2014-12-17,Zahájení,1,Dne 15. 12. 2014 se vzdal mandátu zastupitele pan Václav Rilický. Jako první náhradník je na kandí dální listině KSČM pan Jaromír Sveňha. Pan Sveňha obdr/e] před začátkem dnešního jednaní osvědčení o zvolení a složí zákonem předepsaný slih.,
2002,2,2014-12-17,Zahájení,1,Schválilo program jednání 1. zastupitelstva města ,
2003,2,2014-12-17,Body programu jednání 1. ZM ,3,Opatření obecné povahy č. 1/2014 - Územní plán města Ralsko,
2004,2,2014-12-17,Body programu jednání 1. ZM ,3,Změna rozpočtu 2014,
2005,2,2014-12-17,Body programu jednání 1. ZM ,3,Rozpočet města na retk 2015,
2006,2,2014-12-17,Body programu jednání 1. ZM ,3,Ukončení smlouvy o budoucí kupní smlouvě o převodu bytové jednotky ,
2007,2,2014-12-17,Body programu jednání 1. ZM ,3,Žádost pana x o odstoupení od smlouvy,
2008,2,2014-12-17,Body programu jednání 1. ZM ,3,Žádost paní x o odstoupení od smlouvy,
2009,2,2014-12-17,Body programu jednání 1. ZM ,3,Žádost pana x o odstoupení od smlouvy,
2010,2,2014-12-17,Body programu jednání 1. ZM ,3,"Smlouva o h u doučí smlouvě o zřízení služebností ŕj, OJLP/2651/2014",
2011,2,2014-12-17,Body programu jednání 1. ZM ,3,"Směna pozemků mezi městem Ralsko a VLS ČR, s. p",
2012,2,2014-12-17,Body programu jednání 1. ZM ,3,Prodej částí pozemku p. č. 53/1 a pozemku p. č. 54 v k. ú. Náhlov,
2013,2,2014-12-17,Body programu jednání 1. ZM ,3,Smlouva o převodu podílu ve společnosti Profit Energy Ralsko I.. s.r.n. ,
2014,2,2014-12-17,Body programu jednání 1. ZM ,3,Žádost ZŠ a MS T. Ježka o navýšení rozpočtu 2015,
2015,2,2014-12-17,Body programu jednání 1. ZM ,3,Žádost Zš a MŠ Osečná o finanční příspěvěk MŠ na šk. rok 2014/2015,
2016,2,2014-12-17,Body programu jednání 1. ZM ,3,Žádost o. s. Most k naději o poskytnutí dotace na rok 2015 ,
2017,2,2014-12-17,Body programu jednání 1. ZM ,3,Volba členů Finačního a Kontrolního výboru ,
2018,2,2014-12-17,Body programu jednání 1. ZM ,3,"schvaluje členy Kontrolního výboru ve složení: p. Radim Janda, p. Ján Golier, p. René Nesvadba, p. Petr Hanuš, p. Jaroslav Hlaváč",
2019,2,2014-12-17,Body programu jednání 1. ZM ,3,"schvaluje cleny Finančního výboru ve složení: paní Marcela Novotná, pan Marián Cyril Rúčka, Ing. Miloš Tita",
2020,2,2014-12-17,Body programu jednání 1. ZM ,3,Prodej části pozemku pč. 720/20 a 720/3 v k. ú. Hradčany nad Ploučnicí ,
2021,2,2014-12-17,Body programu jednání 1. ZM ,3,Prodej p. p. č. 33/49 ostatní plocha k. ú. Kuřívody - chovatelský koutek,
2022,2,2014-12-17,Body programu jednání 1. ZM ,3,"Prodej p. p, č. 33/56 ostatní plocha k. ú. Kuřívody — chovatelský koutek",
2023,2,2014-12-17,Body programu jednání 1. ZM ,3,Prodej p. p. č. 33/65 ostatní plocha k. ú. Kuřívody - chovatelský koutek,
2024,2,2014-12-17,Body programu jednání 1. ZM ,3,Žádost Lesního koutku Hradčany ,
2025,2,2014-12-17,Body programu jednání 1. ZM ,3,Program prevence kriminality na rok 2015,
2026,2,2014-12-17,Body programu jednání 1. ZM ,3,Program prevence kriminality na rok 2015,
2027,2,2014-12-17,Informace o činnosti rady města,4,bere na vědomí informace zjednání 24. a 25. RM,
3001,3,2015-01-28,Zahájení a schválení programu jednání,1,Zastupitelstvo schválilo program jednáni 1. zastupitelstva města,
3002,3,2015-01-28,Kontrola sledovaných usnesení z minulých jednání ZM,2,ZM schvaluje podání žádosti o dotaci na dvě místa terénních sociálních pracovnic v Ralsku pro rok 2015 se spoluúčastí města Ralsko 10%. Ukládá místostarostovi tuto žádost podat nejpozději do 31. 10. 2014. ,
3003,3,2015-01-28,Body programu jednání 1. ZM ,3,Program prevence kriminality pro rok 2015,
3004,3,2015-01-28,Body programu jednání 1. ZM ,3,"Uzavření Dodatku č. 1 ke smlouvě o smlouvě budoucí mezi městem a panem Ivanem Dvořákem, IČO 124 93 651",
3005,3,2015-01-28,Body programu jednání 1. ZM ,3,"Žádost společnosti DK Bohemia, s. r. o.",
3006,3,2015-01-28,Body programu jednání 1. ZM ,3,Smlouva o spolupráci při zajištění dopravní obslužnosti Libereckého kraje na rok 2015,
3007,3,2015-01-28,Body programu jednání 1. ZM ,3,Ukončení smlouvy o budoucí smlimvř o převodu bytové jednotky - paní x,
3008,3,2015-01-28,Body programu jednání 1. ZM ,3,"Žádost manželu x o prodloužení platnosti budoucí kupní smlouvy č, 2013/1",
3009,3,2015-01-28,Body programu jednání 1. ZM ,3,Plánovací smlouva - manželé X,
3010,3,2015-01-28,Body programu jednání 1. ZM ,3,Přijetí dotace z GF LK - obnova památníku v Kuřívodech,
3011,3,2015-01-28,Body programu jednání 1. ZM ,3,"Prodej pozemku p. ř. 33/54 ostatní plocha k. ú, Kuřívody - chovatelský koutek ",
3012,3,2015-01-28, Informace o činnosti rady měst,4,"Bere na vědomí informace z jednání 26., 27 a 28. RM  roku 2014 a 1. RM z roku 2015",
3013,3,2015-01-28,Různé ,5,Zápis z Kontrolního výboru ze dne 12. 01. 2015 ,
3014,3,2015-01-28,Různé ,5,Z Kontroly usnesení - Návrh člena do Finančního výboru ,
