vote_event_id,voter_id,option,group_id,
1001,2014-562017-1-47-7,yes,kscm_party,
1001,2014-562017-1-129-2,yes,snk-ed_party,
1001,2014-562017-1-47-3,yes,kscm_party,
1001,2014-562017-1-129-3,yes,snk-ed_party,
1001,2014-562017-1-7-3,yes,cssd_party,
1001,2014-562017-1-47-2,yes,kscm_party,
1001,2014-562017-1-7-1,yes,cssd_party,
1001,2014-562017-1-129-4,yes,snk-ed_party,
1001,2014-562017-1-47-1,yes,kscm_party,
1001,2014-562017-1-901-4,yes,nk_party,
1001,2014-562017-1-902-1,yes,nk_party,
1001,2014-562017-1-7-2,yes,cssd_party,
1001,2014-562017-1-721-1,yes,top-09_party,
1001,2014-562017-1-129-1,yes,snk-ed_party,
1001,2014-562017-1-902-2,yes,nk_party,
1001,2014-562017-1-47-4,abstain,kscm_party,
1002,2014-562017-1-47-7,yes,kscm_party,
1002,2014-562017-1-129-2,yes,snk-ed_party,
1002,2014-562017-1-47-3,yes,kscm_party,
1002,2014-562017-1-129-3,yes,snk-ed_party,
1002,2014-562017-1-7-3,yes,cssd_party,
1002,2014-562017-1-47-2,yes,kscm_party,
1002,2014-562017-1-7-1,yes,cssd_party,
1002,2014-562017-1-129-4,yes,snk-ed_party,
1002,2014-562017-1-47-1,yes,kscm_party,
1002,2014-562017-1-901-4,yes,nk_party,
1002,2014-562017-1-902-1,yes,nk_party,
1002,2014-562017-1-7-2,yes,cssd_party,
1002,2014-562017-1-721-1,yes,top-09_party,
1002,2014-562017-1-129-1,yes,snk-ed_party,
1002,2014-562017-1-902-2,yes,nk_party,
1002,2014-562017-1-47-4,abstain,kscm_party,
1003,2014-562017-1-47-7,yes,kscm_party,
1003,2014-562017-1-129-2,yes,snk-ed_party,
1003,2014-562017-1-47-3,yes,kscm_party,
1003,2014-562017-1-129-3,yes,snk-ed_party,
1003,2014-562017-1-7-3,yes,cssd_party,
1003,2014-562017-1-47-2,yes,kscm_party,
1003,2014-562017-1-7-1,yes,cssd_party,
1003,2014-562017-1-129-4,yes,snk-ed_party,
1003,2014-562017-1-47-1,yes,kscm_party,
1003,2014-562017-1-901-4,yes,nk_party,
1003,2014-562017-1-902-1,yes,nk_party,
1003,2014-562017-1-7-2,yes,cssd_party,
1003,2014-562017-1-721-1,yes,top-09_party,
1003,2014-562017-1-129-1,yes,snk-ed_party,
1003,2014-562017-1-902-2,yes,nk_party,
1003,2014-562017-1-47-4,abstain,kscm_party,
1004,2014-562017-1-47-7,yes,kscm_party,
1004,2014-562017-1-129-2,yes,snk-ed_party,
1004,2014-562017-1-47-3,yes,kscm_party,
1004,2014-562017-1-129-3,yes,snk-ed_party,
1004,2014-562017-1-7-3,yes,cssd_party,
1004,2014-562017-1-47-2,yes,kscm_party,
1004,2014-562017-1-7-1,yes,cssd_party,
1004,2014-562017-1-129-4,yes,snk-ed_party,
1004,2014-562017-1-47-1,yes,kscm_party,
1004,2014-562017-1-901-4,yes,nk_party,
1004,2014-562017-1-902-1,yes,nk_party,
1004,2014-562017-1-7-2,yes,cssd_party,
1004,2014-562017-1-721-1,yes,top-09_party,
1004,2014-562017-1-129-1,yes,snk-ed_party,
1004,2014-562017-1-902-2,yes,nk_party,
1004,2014-562017-1-47-4,abstain,kscm_party,
1005,2014-562017-1-47-7,yes,kscm_party,
1005,2014-562017-1-129-2,yes,snk-ed_party,
1005,2014-562017-1-47-3,yes,kscm_party,
1005,2014-562017-1-129-3,yes,snk-ed_party,
1005,2014-562017-1-7-3,yes,cssd_party,
1005,2014-562017-1-47-2,yes,kscm_party,
1005,2014-562017-1-7-1,yes,cssd_party,
1005,2014-562017-1-129-4,yes,snk-ed_party,
1005,2014-562017-1-47-1,yes,kscm_party,
1005,2014-562017-1-901-4,yes,nk_party,
1005,2014-562017-1-902-1,yes,nk_party,
1005,2014-562017-1-7-2,yes,cssd_party,
1005,2014-562017-1-721-1,yes,top-09_party,
1005,2014-562017-1-129-1,yes,snk-ed_party,
1005,2014-562017-1-902-2,yes,nk_party,
1005,2014-562017-1-47-4,abstain,kscm_party,
1006,2014-562017-1-47-7,yes,kscm_party,
1006,2014-562017-1-129-2,abstain,snk-ed_party,
1006,2014-562017-1-47-3,yes,kscm_party,
1006,2014-562017-1-129-3,abstain,snk-ed_party,
1006,2014-562017-1-7-3,no,cssd_party,
1006,2014-562017-1-47-2,yes,kscm_party,
1006,2014-562017-1-7-1,abstain,cssd_party,
1006,2014-562017-1-129-4,abstain,snk-ed_party,
1006,2014-562017-1-47-1,yes,kscm_party,
1006,2014-562017-1-901-4,yes,nk_party,
1006,2014-562017-1-902-1,yes,nk_party,
1006,2014-562017-1-7-2,abstain,cssd_party,
1006,2014-562017-1-721-1,abstain,top-09_party,
1006,2014-562017-1-129-1,abstain,snk-ed_party,
1006,2014-562017-1-902-2,yes,nk_party,
1006,2014-562017-1-47-4,abstain,kscm_party,
1007,2014-562017-1-47-7,no,kscm_party,
1007,2014-562017-1-129-2,yes,snk-ed_party,
1007,2014-562017-1-47-3,no,kscm_party,
1007,2014-562017-1-129-3,yes,snk-ed_party,
1007,2014-562017-1-7-3,yes,cssd_party,
1007,2014-562017-1-47-2,no,kscm_party,
1007,2014-562017-1-7-1,yes,cssd_party,
1007,2014-562017-1-129-4,yes,snk-ed_party,
1007,2014-562017-1-47-1,no,kscm_party,
1007,2014-562017-1-901-4,no,nk_party,
1007,2014-562017-1-902-1,no,nk_party,
1007,2014-562017-1-7-2,yes,cssd_party,
1007,2014-562017-1-721-1,yes,top-09_party,
1007,2014-562017-1-129-1,yes,snk-ed_party,
1007,2014-562017-1-902-2,no,nk_party,
1007,2014-562017-1-47-4,abstain,kscm_party,
1008,2014-562017-1-47-7,yes,kscm_party,
1008,2014-562017-1-129-2,no,snk-ed_party,
1008,2014-562017-1-47-3,yes,kscm_party,
1008,2014-562017-1-129-3,no,snk-ed_party,
1008,2014-562017-1-7-3,no,cssd_party,
1008,2014-562017-1-47-2,yes,kscm_party,
1008,2014-562017-1-7-1,no,cssd_party,
1008,2014-562017-1-129-4,no,snk-ed_party,
1008,2014-562017-1-47-1,yes,kscm_party,
