id,legislative_session:number,start_date,item:title,item:number,motion:title,
1001,1,2010-11-12,Schválení programu,1,"Zastupitelstvo obce Rochlov schvaluje následující program ustavujícího zasedání:1) Složení slibu členů zastupitelstva2) Určení ověřovatelů zápisu (§ 95 odst. 1, zákona o obcích) a zapisovatele13) Volba starosty a místostarostya) určení způsobu volby starosty a místostarostyb) volba starostyc) volba místostarosty4) Zřízení výborů (finanční výbor, kontrolní výbor a výbor pořádku a ekologie)a) určení počtu členů jednotlivých výborůb) volba předsedy finančního výboruc) volba předsedy kontrolního výborud) volba předsedy výboru pořádku a ekologiee) volba členů finančního výboruf) volba členů kontrolního výborug) volba členů výboru pořádku a ekologie5) Rozhodnutí o odměnách za výkon funkcí neuvolněných členů zastupitelstva(§72 zákona o obcích)6) Diskuse",
1002,1,2010-11-12,Určení ověřovatelů a zapisovatele,2,Zastupitelstvo obce Rochlov určuje ověřovateli zápisu p. Ing.Luďka Formánka a p.Zdeňka Cesánka a zapisovatelem slečnu Elišku Rothmaierovou,
1003,1,2010-11-12,Volba starosty a místostarosty,3,Zastupitelstvo obce Rochlov volí starostou p. Jiřího Pateru,
1004,1,2010-11-12,Volba starosty a místostarosty,3,Zastupitelstvo obce Rochlov volí místostarostou p. Václava Hrácha,
1005,1,2010-11-12,"Zřízení finančního, kontrolního výboru a výboru pořádku a ekologie:",4,"Zastupitelstvo obce Rochlov zřizuje finanční výbor, kontrolní výbor a výbor pořádkua ekologie. Všechny výbory budou tříčlenné",
1006,1,2010-11-12,"Zřízení finančního, kontrolního výboru a výboru pořádku a ekologie:",4,Zastupitelstvo obce Rochlov volí předsedou finančního výboru p. Ing. LuďkaFormánka.,
1007,1,2010-11-12,"Zřízení finančního, kontrolního výboru a výboru pořádku a ekologie:",4,Zastupitelstvo obce Rochlov vo/i předsedou kontrolního výboru slečnu EliškuRothmaierovou.,
1008,1,2010-11-12,"Zřízení finančního, kontrolního výboru a výboru pořádku a ekologie:",4,Zastupitelstvo obce Rochlov volí předsedou výboru pořádku a ekologie p. ZdeňkaCesánka.,
1009,1,2010-11-12,Rozhodnutí o odměnách za výkon funkcí neuvolněných členů zastupitelstva,5,"Zastupitelstvo obce Rochlov v souladu s § 72 a § 84 odst. 2 písni, n) zákona o obcíchstanoví odměnu za výkon funkce starosty jako neuvolněného člena zastupitelstvaobce ve výši 8.000,-Jřč měsíčně, za výkon funkce místostarosty jako neuvolněnéhočlena zastupitelstva obce ve výši 6.500,-Kč měsíčně, předsedy výboru zastupitelstvave výši 900,-Kč měsíčně a člena výboru ve výši 600,-K měsíčně. Odměna budeposkytována ode dne zvolení do funkce.",
1010,1,2010-11-12,Rozhodnutí o odměnách za výkon funkcí neuvolněných členů zastupitelstva,5,Zastupitelstvo obce Rochlov schvaluje snížení odměny za výkon funkcíneuvolněných členů zastupitelstva obce Rochlov pro rok 2011 o 10,
