vote_event_id,voter_id,option,group_id,
1001,2010-559423-1-902-3,yes,nk_party,
1001,2010-559423-1-901-4,yes,nk_party,
1001,2010-559423-1-901-1,yes,nk_party,
1001,2010-559423-1-902-1,yes,nk_party,
1001,2010-559423-1-902-5,yes,nk_party,
1002,2010-559423-1-902-3,yes,nk_party,
1002,2010-559423-1-901-4,yes,nk_party,
1002,2010-559423-1-901-1,yes,nk_party,
1002,2010-559423-1-902-1,yes,nk_party,
1002,2010-559423-1-902-5,yes,nk_party,
1003,2010-559423-1-902-3,yes,nk_party,
1003,2010-559423-1-901-4,yes,nk_party,
1003,2010-559423-1-901-1,yes,nk_party,
1003,2010-559423-1-902-1,yes,nk_party,
1003,2010-559423-1-902-5,yes,nk_party,
1004,2010-559423-1-902-3,yes,nk_party,
1004,2010-559423-1-901-4,yes,nk_party,
1004,2010-559423-1-901-1,yes,nk_party,
1004,2010-559423-1-902-1,yes,nk_party,
1004,2010-559423-1-902-5,yes,nk_party,
1005,2010-559423-1-902-3,yes,nk_party,
1005,2010-559423-1-901-4,yes,nk_party,
1005,2010-559423-1-901-1,yes,nk_party,
1005,2010-559423-1-902-1,yes,nk_party,
1005,2010-559423-1-902-5,yes,nk_party,
1006,2010-559423-1-902-3,yes,nk_party,
1006,2010-559423-1-901-4,yes,nk_party,
1006,2010-559423-1-901-1,yes,nk_party,
1006,2010-559423-1-902-1,yes,nk_party,
1006,2010-559423-1-902-5,yes,nk_party,
1007,2010-559423-1-902-3,yes,nk_party,
1007,2010-559423-1-901-4,yes,nk_party,
1007,2010-559423-1-901-1,yes,nk_party,
1007,2010-559423-1-902-1,yes,nk_party,
1007,2010-559423-1-902-5,yes,nk_party,
1008,2010-559423-1-902-3,yes,nk_party,
1008,2010-559423-1-901-4,yes,nk_party,
1008,2010-559423-1-901-1,yes,nk_party,
1008,2010-559423-1-902-1,yes,nk_party,
1008,2010-559423-1-902-5,yes,nk_party,
1009,2010-559423-1-902-3,yes,nk_party,
1009,2010-559423-1-901-4,yes,nk_party,
