id,legislative_session:number,start_date,item:number,motion:title,
1001,1,2014-11-19,1,"Zastupitelstvo obce Rochlov schvaluje zakoupení dárkových poukázek v hodnotě500,-Kčpro nové občánky.",
1002,1,2014-11-19,2,Zastupitelstvo obce Rochlov schvaluje rozpočtové opatření č.6/2014 dle přílohyČ.3/VZ2.,
1003,1,2014-11-19,3,"Zastupitelstvo obce Rochlov schvaluje plán inventur na rok 2014 a jmenujeinventarizační komisi ve složení: B. Hýblová, P. Síbalová, P. Česánek a V.Kotvanová",
1004,1,2014-11-19,4,"Zastupitelstvo obce Rochlov schvaluje uzavření smlouvy o zřízení věcného břemene- služebnosti č. /K-12-0007804/001 Rochlov, k trati SO čk. 399/4-8, kNNs jednorázovou náhradou ve výši 1000,-Kč.",
1005,1,2014-11-19,5,"Zastupitelstvo obce Rochlov schvaluje uzavření smlouvy o zřízení věcného břemene— služebnosti č. 7K-12-0008486/001 Rochlov-wáves č.k.22/1,kabelNNs jednorázovounáhradou ve výši 1000,-Kč.",
1006,1,2014-11-19,6,"Zastupitelstvo obce Rochlov schvaluje uzavření smlouvy o spolupráci s firmouSeznam.cz, a.s..",
2001,2,2014-12-22,1,Zastupitelstvo obce Rochlov mění ve stávajícím jednacím řádu počet členůzastupitelstva z 5 na 7 a vypuštění volbu a činnost návrhové komise. Ostatní bodyjednacího řádu zůstávají v platnosti.,
2002,2,2014-12-22,2,"Zastupitelstvo obce Rochlov schvaluje návrh rozpočtu (příloha Č.3/VZ3) včetně výšeuvedené změny ve výši příjmů 3917576,-Kč a výdajů 3877099,-Kč. Výše přebytku40477,-Jřc. Jako závazné ukazatele rozpočtu stanovuje paragrafy.Dále ukládá starostovi zajistit vyvěšení rozpočtu na úřední desce Obecního úřaduRochlov.",
2003,2,2014-12-22,3,Zastupitelstvo obce Rochlov schvaluje termíny kulturních a společenských akcí2015 pořádaných nebo podporovaných obcí Rochlov (příloha Č.4/VZ3).,
2004,2,2014-12-22,4,Zastupitelstvo obce Rochlov schvaluje termíny zasedání zastupitelstva obce a tokaždé pondělí lichého týdne v měsíci. První schůzka v měsíci bude pracovní a druháschůzka bude VZ. Zahájení jednéní bude od 18.00 hod Dále ukládá stanovitpředsedům výborů termíny jednání jednotlivých výborů a to 1 x měsíčně - středa.,
2005,2,2014-12-22,5,Zastupitelstvo obce Rochlov schvaluje ceník služeb a poplatků ve stejném zněnív jakém byl dosud (příloha č. 5/VZ3).,
2006,2,2014-12-22,6,"Zastupitelstvo obce Rochlov pověřuje starostu a správce rozpočtu, aby provedlirozpočtové opatření č. 7 dle skutečnosti k 31.12.2014.",
2007,2,2014-12-22,7,"Starosta poděkoval bývalým členům OZ za jejich práci, kterou pro obec Rochlov v roce2014 vykonali a novým zastupitelům za jejich odhodlání pracovat pro obec, dále poděkovalobecním zaměstnancům, kteří se nemalou mírou podíleli na vzhledu a chodu naší obce av neposlední řadě i Vám občanům, kteří projevujete zájem o komunální politiku a dění v našíobci. Děkuji.ZO bere zprávu starosty na vědomí",
2008,2,2014-12-22,8,"Předseda kontrolního výboru p. Cesánek informoval o provedené kontrole pokladny,výběru poplatků a kontrole usnesení. Nebyly shledány žádné nedostatky.ZO bere zprávu předsedy Kontrolního výboru na vědomí",
2009,2,2014-12-22,9,"Předsedkyně FV sl. B. Hýblová sdělila, že po projednání návrhu rozpočtu finančnímvýborem doporučuje návrh rozpočtu odsouhlasit.ZO bere zprávu předsedy Finančního výboru na vědomí",
2010,2,2014-12-22,10,"Předseda výboru informoval o uvolněné částce 100000,-Kč na plánované akce. Dálenavrhl vyřazení akcí rybářské závody, Mikulášská besídka a konstatoval, že můžev průběhu roku dojít ke změně, o které budeme informovat. Dále kulturní výbor navrhujezakoupit zvukovou a hudební aparaturu.ZO bere zprávu předsedy Výboru pro pořádání KaSA",
3001,3,2015-01-26,1,Zastupitelstvo obce Rochlov schvaluje program 4. zasedání:,
3002,3,2015-01-26,2,"Zastupitelstvo obce Rochlov schvaluje rozpočty:a) SDH Rochlov ve výši 34.000, -Kč,b) MŠ Rochlov ve výši 200.000, - Kčc) Les - výdaje 411.400- Qříjmy 760.000,- Kč",
3003,3,2015-01-26,3,Zastupitelstvo obce Rochlov schvaluje Plán vybraných nákladových akcí na rok 2015 (přílohaČ.4/VZ4),
3004,3,2015-01-26,4,Zastupitelstvo obce Rochlov revokuje usnesení č. 188/13,
3005,3,2015-01-26,5,"Zastupitelstvo obce Rochlov schvaluje pravidla pro zadávání zakázek na dodání materiálu či služeb,dle přílohy Č.5/VZ4 tohoto zápisu.",
3006,3,2015-01-26,6,"Zastupitelstvo obce Rochlov schvaluje rozpočtové opatření č.l /2015 ve výši-navýšenípříjmů o340M4,-Kčavýdajůo864A70,-Kč. (příloha Č.6/VZ4)",
