id,legislative_session:number,start_date,item:title,item:number,motion:title,
1001,1,2014-12-11,hlasování o návrhu programu,1,program,
1002,1,2014-12-11,volba rozpočtu obce Rohozec na rok 2015,2,rozpočet,
1003,1,2014-12-11,hlasování o rozpočtovém opatření č.5/2014,2,rozpočtové opatření č.5/2014,
1004,1,2014-12-11,hlasování o dodatku č.1/2015 ke smlouvě č.68/02,2,Dodatek č.1/2015 ke smlouvě č.68/02 o odvozu odpadu od firmy SOP a.s. Přelouč.,
1005,1,2014-12-11,hlasováni o dodatku č.7,2,Dodatek č.7 ke smlouvě č.651/306/2008 o závazku veřejné služby ve veřejné linkové dopravě k zajištění ostatní dopravní obslužnosti uzavřenou mezi Obcí Rohozec a ARRIVA VÝCHODNÍ ČECHY a.s.,
1006,1,2014-12-11,hlasování o návrhu na změnu katastrální hranice,3,návrh na změnu katastrální hranice mezi k.ú. Rohozec u Žehušic a k.ú. Žehušice,
1007,1,2014-12-11,"hlasování o stanovení systému shromažďování,sběru,přepravy,třídění,využívání a odstraňování komunálních odpadů a nakládání se stavebním odpadem",3,"stanovení systému shromažďování,sběru,přepravy,třídění,využívání a odstraňování komunálních odpadů a nakládání se stavebním odpadem",
1008,1,2014-12-11,hlasování o odpisovém plánu majetku,3,odpisový plán majetku,
1009,1,2014-12-11,hlasování o finančním příspěvku TJ Sokolu (1500Kč),4,finanční příspěvek TJ Sokolu,
2001,2,2015-01-15,hlasování o návrhu programu,1,program,
3001,3,2015-03-12,Volba návrhu programu,0,Program,
3002,3,2015-03-12,Schválení Směrnice obce Rohozec na rok 2015,1,Směrnice obce Rohozec,
3003,3,2015-03-12,Schválení Inventarizační zprávy za rok 2014,2,Inventarizační zpráva,
3004,3,2015-03-12,Schválení Závěrečného účtu za rok 2014,3,Závěrečný účet za rok 2014,
3005,3,2015-03-12,Schválení Zprávy o výsledku přeskoumání hospodáření,4,Zpráva o výsledku přeskoumání hospodáření,
3006,3,2015-03-12,Schválení účetní závěrky hospodaření,5,Účetní závěrka hospodaření,
3007,3,2015-03-12,Schválení prodeje obecního pozemku č.186/10,6,Prodej  obecního pozemku č.186/10,
3008,3,2015-03-12,Schválení dodatku č. 2/2015 ke smlouvě č. 68/02 o odvozu odpadu od firmy SOP a.s. Přelouč,7,Dodatek č. 2/2015 ke smlouvě č. 68/02 o odvozu odpadu od firmy SOP a.s. Přelouč,
3009,3,2015-03-12,Schválení podání žádosti o dotaci,8,Projekt Svážíme bioodpad z obce Rohozec,
3010,3,2015-03-12,Schválení objednání projektové dokumentace,9,"Projektová dokumentace na opravu místních komunikací u Projekční kanceláře Beránek & Hradil, Cheb",
3011,3,2015-03-12,Zamítnutí žádosti o umožnění bydlení pí. M.D a p.O.C.,10,Žádost o umožnění bydlení pí. M.D a p.O.C.,
3012,3,2015-03-12,Schválení objednání projektové dokumentace na stavbu přístřešku u Ing.L.Bláhy,11,Objednání projektové dokumentace,
