id,legislative_session:number,start_date,item:title,item:number,motion:title,
1001,1,2014-11-05,Určení ověřovatelů zápisu a navrhovatele usnesení,1,ZO Sadov schvaluje ověřovatele zápisu z dnešního jednání sl. Mgr. Petru Zábojníkovou a p. Bc. Daniela Olivu.,
1002,1,2014-11-05,Určení ověřovatelů zápisu a navrhovatele usnesení,1,ZO Sadov schvaluje navrhovatele usnesení p. Ladislava Ludvíka,
1003,1,2014-11-05,program,2,hlasování o programu,
1004,1,2014-11-05,Volba starosty a místostarosty,3,ZO Sadov schvaluje zvolení jednoho místostarosty,
1005,1,2014-11-05,Volba starosty a místostarosty,3," ZO Sadov v souladu s § 84 odst. 2 písm. k) zákona o obcích určuje, že pro výkon funkce starosty obce a místostarosty obce, bude člen zastupitelstva dlouhodobě uvolněn",
1006,1,2014-11-05,Volba starosty a místostarosty,3,ZO Sadov volí starostou p. Eduarda Frische,
1007,1,2014-11-05,Volba starosty a místostarosty,3,ZO Sadov volí místostarostou p. Ladislava Ludvíka,
1008,1,2014-11-05,Zřízení finančního a kontrolního výboru,4,ZO Sadov zřizuje finanční výbor a kontrolní výbor. Oba výbory budou tříčlenné,
1009,1,2014-11-05,Zřízení finančního a kontrolního výboru,4,ZO Sadov volí předsedou finančního výboru p. Bc. Marka Frische.,
1010,1,2014-11-05,Zřízení finančního a kontrolního výboru,4,ZO Sadov volí předsedou kontrolního výboru sl. Mgr. Nikolu Kočandrlovou.,
1011,1,2014-11-05,Zřízení finančního a kontrolního výboru,4,ZO Sadov odkládá volbu členů finančního výboru z důvodu nedostatku kandidátů na členství ve výboru na nejbližší zasedání,
1012,1,2014-11-05,Zřízení finančního a kontrolního výboru,4, ZO Sadov odkládá volbu členů kontrolního výboru z důvodu nedostatku kandidátů na členství ve výboru na nejbližší zasedání,
1013,1,2014-11-05,Rozhodnutí o odměnách za výkon funkcí neuvolněných členů zastupitelstva,5," ZO Sadov v souladu s § 72 a § 84 odst. 2 písm. n) zákona o obcích a dle nařízení vlády č. 459/2013 Sb., o odměnách za výkon funkce členům zastupitelstev, v platném znění, stanoví odměnu za výkon funkce neuvolněného člena zastupitelstva obce následovně: Členové zastupitelstva 540,- Kč; Členové komisí a výborů 1060,- Kč; Předsedové výborů a komisí 1300,- Kč; Odměna bude poskytována ode dne přijetí tohoto usnesení a v případě náhradníka ode dne prvního zasedání zastupitelstva, jehož se zúčastnil",
1014,1,2014-11-05,Rozpočtová opatření,6,"ZO Sadov schvaluje rozpočtové opatření č. 32/2014 (dotace od Úřadu práce KV - zvyšují se příjmy o 11 390 ,- Kč, zvyšují se výdaje o 11 390,- Kč).",
1015,1,2014-11-05,Rozpočtová opatření,6," ZO Sadov schvaluje rozpočtové opatření č. 33/2014 (dotace na volby do zastupitelstev obcí - zvyšují se příjmy o 44 000,- Kč, zvyšují se výdaje o 44 000,- Kč)",
1016,1,2014-11-05,Rozpočtová opatření,6," ZO Sadov, v souladu se zákonem 128/2000 Sb., § 102, pověřuje starostu obce k provádění rozpočtových opatření, která se vztahují ke změně ve finančních vztazích k jinému rozpočtu",
2001,2,2014-11-26,program,2,hlasování o programu,
2002,2,2014-11-26,Volba ověřovatelů zápisu a navrhovatele usnesení:,3, ZO Sadov schvaluje ověřovatele zápisu z jednání p. Pavla Drdu a sl. Mgr. Nikolu Kočandrlovou,
2003,2,2014-11-26,Volba ověřovatelů zápisu a navrhovatele usnesení:,3,ZO Sadov schvaluje navrhovatelem usnesení p. Ladislava Ludvíka,
2004,2,2014-11-26,Volba členů finančního výboru,5,ZO Sadov volí členy finančního výboru p. Jitku Čabradovou a p. Ing. Marcelu Frischovou,
2005,2,2014-11-26,Volba členů kontrolního výboru,6,ZO Sadov volí členy kontrolního výboru p. Karla Kocha a sl. Mgr. Petru Zábojníkovou.,
