id,legislative_session:number,start_date,item:title,item:number,motion:title,
1001,1,2014-11-06,Schválení programu,2,Usnesení zastupitelstva o změně programu bylo schváleno.,
1002,1,2014-11-06,Určení ověřovatelů a zapisovatele,3,"Zastupitelstvo obce Slapy schvaluje volbu návrhové komise ve složení František Vosmík, Jiří Sušanka, Ivan Kotrč, ověřovatele zápisu Jiřího Peška a ing. Antonína Buriánka a zapisovatele JUDr. Miloslava Jandu.",
1003,1,2014-11-06,Volba starosty a místostarosty,4,Zastupitelstvo obce Slapy schválilo zvolení jednoho místostarosty. ,
1004,1,2014-11-06,Volba starosty a místostarosty,4,"Zastupitelstvo obce Slapy v souladu s § 84 odst 2 písm. k) zákona o obcích určuje, že pro výkon funkce starosty obce bude člen zastupitelstva dlouhodobě uvolněn.",
1005,1,2014-11-06,Volba starosty a místostarosty,4,Zastupitelstvo obce Slapy schvaluje veřejný způsob volby starosty a místostarosty postupem uvedeným návrhovou komisí.,
1006,1,2014-11-06,Volba starosty a místostarosty,4,"Zastupitelstvo obce Slapy volí starostou ing. Františka Neužila, nar. 4.12.1965, bytem Slapy 247.",
1007,1,2014-11-06,Volba starosty a místostarosty,4,"Zastupitelstvo obce Slapy volí místostarostou ing. Tomáše Rosenberga nar. , bytem Slapy.",
1008,1,2014-11-06,Volba starosty a místostarosty,4,"Zastupitelstvo obce Slapy volí místostarostou JUDr. Miloslava Jandu. nar. 9.2.1962, bytem Slapy 271.",
1009,1,2014-11-06,"Zřízení finančního, kontrolního a sociálně kulturního výboru",5,"Zastupitelstvo obce Slapy zřizuje finanční výbor, kontrolní výbor a sociálně kulturní výbor. Výbory budou tříčlenné.",
1010,1,2014-11-06,"Zřízení finančního, kontrolního a sociálně kulturního výboru",5,Zastupitelstvo obce Slapy volí předsedou finančního výboru Ivana Kotrče.,
1011,1,2014-11-06,"Zřízení finančního, kontrolního a sociálně kulturního výboru",5,"Zastupitelstvo obce Slapy volí předsedou kontrolního výboru ing. Tomáše Rosenberga nar. 27.6.1977, bytem Slapy.",
1012,1,2014-11-06,"Zřízení finančního, kontrolního a sociálně kulturního výboru",5,Zastupitelstvo obce Slapy volí předsedou kulturního výboru Pavla Hynka.,
1013,1,2014-11-06,"Zřízení finančního, kontrolního a sociálně kulturního výboru",5,"Zastupitelstvo obce Slapy volí členy finančního výboru ing. Janu Lutonskou, Františka Domese.",
1014,1,2014-11-06,"Zřízení finančního, kontrolního a sociálně kulturního výboru",5,Zastupitelstvo obce Slapy volí členy kontrolního výboru ing. Antonína Buriánka a Jiřího Sušanku.,
1015,1,2014-11-06,"Zřízení finančního, kontrolního a sociálně kulturního výboru",5,"Zastupitelstvo obce Slapy volí členy Hanu Kubíčkovou, ing. Hana Hušbarovou.",
1016,1,2014-11-06,Rozhodnutí o odměnách za výkon funkcí neuvolněných členů zastupitelstva (§72 zákona o obcích),6,"Zastupitelstvo obce Slapy v souladu s § 72 a § 84 odst 2 písm. n) zákona o obcích stanoví odměnu za výkon funkce neuvolněného člena zastupitelstva obce ve výši 360,- Kč měsíčně, členům výboru 570 ,- Kč, předsedům výboru ve výši 880,-Kč měsíčně a místostarostovi 17 941,- Kč měsíčně. Odměna bude poskytována ode dne přijetí tohoto usnesení to je od dne 6.11.2014.",
1017,1,2014-11-06,Rozhodnutí o odměnách za výkon funkcí neuvolněných členů zastupitelstva (§72 zákona o obcích),6,"Zastupitelstvo obce Slapy v souladu s § 77 odst. 3 písm. b) zákona o obcích stanoví, že při souběhu výkonu několika funkcí se odměna neuvolněnému členovi zastupitelstva obce poskytne pouze za výkon funkce, za niž podle rozhodnutí zastupitelstva náleží nejvyšší odměna.",
1018,1,2014-11-06,Schválení podpisových práv,7,"Zastupitelstvo obce Slapy schvaluje zřízení podpisového práva pro JUDr. Miloslava Jandu nar. 9.2.1962, bytem Slapy 271, ing. Františka Neužila nar. 4.12.1965, bytem Slapy 247, ing. Tomáše Rosenberga, nar. 27.6.1977, bytem Slapy 248, Ivana Kotrče nar 22.9.1964., bytem Slapy 308., k běžnému účtu obce vedenému u Komerční banky a.s. č.ú. 3223111./0100 a k běžnému účtu vedenému u České národní banky č.ú. 94-4816111/0710.",
1019,1,2014-11-06,Zvolení určeného zastupitele ke zpracování návrhu územního plánu dle §49 zákona č. 183/2006 Sb.,8,Zastupitelstvo schvaluje starostu ing. Františka Neužila jako určeného zastupitele zpracování návrhu pokynů pro zpracování územního plánu.,
2001,2,2014-12-22,Určení ověřovatelů a zapisovatele,0,Zastupitelstvo obce Slapy schvaluje volbu ověřovatele zápisu Ivana Kotrče a Ing. Tomáše Rosenberga a zapisovatele JUDr. Miloslava Jandu.,
2002,2,2014-12-22,Schválení programu,0,Zastupitelstvo schvaluje doplněný program.,
2003,2,2014-12-22,Projednání výjimek ze stavební uzávěry,1,"Zastupitelstvo souhlasí s výjimkou ze stavební uzávěry dle § 99 odst. 3 stavebního zákona na stavbu rekreační chaty na pozemku p.č. 461/9 k.ú. Přestavlky u Slap dle projektu Ing. arch. Vítězslavy Rothbauerové z května 2005, protože povolení výjimky neohrožuje sledovaný účel.",
2004,2,2014-12-22,Projednání výjimek ze stavební uzávěry,1,"Zastupitelstvo souhlasí s výjimkou ze stavební uzávěry dle § 99 odst. 3 stavebního zákona na přístavbu rekreačního objektu č.e. 756 na pozemku st.č. 769 a stavbu opěrné zdi na pozemku 437/54 k.ú. Přestavlky u Slap dle projektu STUDIO DD s.r.o., projektant Ing. Kamil Dvořák protože povolení výjimky neohrožuje sledovaný účel.",
2005,2,2014-12-22,Projednání výjimek ze stavební uzávěry,1,"Zastupitelstvo souhlasí s výjimkou ze stavební uzávěry dle § 99 odst. 3 stavebního zákona na terénní úpravy a stavbu opěrných zdí na pozemku 676/7 k.ú. Přestavlky u Slap dle projektu Ing. Ivany Laštovkové, protože povolení výjimky neohrožuje sledovaný účel.",
2006,2,2014-12-22,Rozpočet obce na rok 2015,2,"Zastupitelstvo schvaluje schodkový rozpočet na rok 2018 ve výši příjmů 11 122 200,- Kč, ve výši výdajů 11 610 000,-Kč, se schodkem ve výši 487 800,- Kč. Schodek rozpočtu bude kryt příjmy z minulých let.",
2007,2,2014-12-22,Rozpočtové opatření č.4/2014,3,Zastupitelstvo obce Slapy schvaluje rozpočtové opatření č. 4/2014 ve znění návrhu rozpočtového opatření č.4,
2008,2,2014-12-22,"Vyhláška č.1/2014 o místním poplatku za provoz systému shromažďování, sběru, přepravy, třídění a odstraňování odpadů",4,"Zastupitelstvo obce Slapy schvaluje vyhlášku č. 1/2014 o místním poplatku za provoz systému shromažďování, sběru, přepravy, třídění a odstraňování odpadů.",
2009,2,2014-12-22,"Prodej pozemků st. č. 1057, 1058, 1059 vše k.ú. Přestavlky u Slap",5,"Zastupitelstvo schvaluje uzavření kupní smlouvy o prodeji stavebních parcel pare. č. st. 1057 o  výměře 12 m2 - zastavěná plocha a nádvoří, pare. č. st. 1058 o výměře 9 m2 - zastavěná plocha a nádvoří, pare. č. st. 1059 o výměře l n i 2 - o zastavěná plocha a nádvoří, nově vzniklých na základě geometrického plánu č. 1056-09/2014 oddělením z pozemku parc.č. 861 o výměře 124 m2 - ostatní plocha, jiná plocha vše k.ú. Přestavlky u Slap za cenu 13 200,- Kč s Janou a Jiřím Novákovými, bytem Slapy 203.",
2010,2,2014-12-22,Prodej pozemku st.č. 318 k.ú. Slapy nad Vltavou,6,Zastupitelstvo schvaluje uzavření kupní smlouvy o prodeji stavební parcely pare. č. st. 318 o výměře 13 m2 - zastavěná plocha a nádvoří v k.ú. Slapy nad Vltavou za cenu 7 800.- Kč s firmou ČEZ Distribuce.,
2011,2,2014-12-22,Pronájem části pozemku p.č. 861 k.ú. Přestavlky u Slap,7,"Zastupitelstvo souhlasí s uzavřením smlouvy o pronájmu části pozemku p.č. 861 k.ú Přestavlky u Slap o velikosti 101 m2 s Janou a Jiřím Novákovými, bytem Slapy 203 za nájemné ve výši 707,- Kč za rok.",
2012,2,2014-12-22,"Vyhláška č. 2/2014 o stanovení systému shromažďování, sběru, přepravy, třídění, využívání a odstraňování komunálních odpadů a nakládání se stavebním odpadem na území obce",8,"Zastupitelstvo obce Slapy schvaluje vyhlášku č. 2/2014 o stanovení systému shromažďování, sběru, přepravy, třídění, využívání a odstraňování komunálních odpadů a nakládání se stavebním odpadem na území obce.",
3001,3,2015-03-12,Určení ověřovatelů a zapisovatele,0,Zastupitelstvo obce Slapy schvaluje volbu ověřovatele zápisu Ivana Kotrče a Františka Vosmíka a zapisovatele JUDr. Miloslava Jandu.,
3002,3,2015-03-12,Schválení programu,0,Zastupitelstvo schvaluje doplněný program,
3003,3,2015-03-12,Projednání výjimek ze stavební uzávěry,1,"Zastupitelstvo souhlasí s výjimkou ze stavební uzávěiy dle § 99 odst. 3 stavebního zákona na stavbu vrtané studny na pozemku p.č. 640/12 k.ú. Přestavlky u Slap, protože povolení výjimky neohrožuje sledovaný účel.",
3004,3,2015-03-12,Projednání výjimek ze stavební uzávěry,1,"Zastupitelstvo souhlasí s výjimkou ze stavební uzávěry dle § 99 odst. 3 stavebního zákona na stavbu vrtané studny na pozemku p.č. 296/272 k.ú. Přestavlky u Slap, protože povolení výjimky neohrožuje sledovaný účel.",
3005,3,2015-03-12,Projednání výjimek ze stavební uzávěry,1,"Zastupitelstvo souhlasí s výjimkou ze stavební uzávěry dle § 99 odst. 3 stavebního zákona na přístavbu rekreační chaty č.e. 619 na pozemku st. 782 k.ú. Přestavlky u Slap dle projektu Ing. Jarmily Dědečkové z července 2014, protože povolení výjimky neohrožuje sledovaný účel.",
3006,3,2015-03-12,Projednání výjimek ze stavební uzávěry,1,"Zastupitelstvo souhlasí s výjimkou ze stavební uzávěry dle § 99 odst. 3 stavebního zákona na odstraněni stávající rekreační chaty č.e. 497 na pozemku st. 318 k.ú. Přestavlky u Slap a stavbou nové rekreační chaty dle projektu Ing. Arch. MgA. Martina Poldaufa z ledna 2015, protože povolení výjimky neohrožuje sledovaný účel.",
3007,3,2015-03-12,Projednání výjimek ze stavební uzávěry,1,"Zastupitelstvo souhlasí s výjimkou ze stavební uzávěry dle § 99 odst. 3 stavebního zákona na umístění mobilního domu a napojení na stávající inženýrské sitě na pozemku p.č. 144/4 k.ú. Slapy nad Vltavou dle přiloženého plánu, protože povolení výjimky neohrožuje sledovaný účel.",
3008,3,2015-03-12,Projednání výjimek ze stavební uzávěry,1,"Žádost o udělení výjimky ze stavební uzávěry nelze projednat, protože stavba se nachází mimo zastavěné území obce ve kterém nelze umísťovat jiné stavby, než stavby uvedené v ustanovení § 18 odst. 5 zák. č. 183/2006 Sb. mezi kterými nejsou stavby pro individuální rekreaci uvedeny.",
