id,name,organization:party,organization:affiliation,organization:list,
2014-539660-1-902-2,Buriánek Antonín Ing.,nk_party,bezpp_affiliation,902_list,
2014-539660-1-901-4,Hynek Pavel,nk_party,bezpp_affiliation,901_list,
2014-539660-1-901-2,Janda Miloslav JUDr.,nk_party,bezpp_affiliation,901_list,
2014-539660-1-902-4,Kotrč Ivan,nk_party,bezpp_affiliation,902_list,
2014-539660-1-901-5,Kubíčková Hana,nk_party,bezpp_affiliation,901_list,
2014-539660-1-902-8,Lutonská Jana,nk_party,bezpp_affiliation,902_list,
2014-539660-1-901-1,Neužil František Ing.,nk_party,bezpp_affiliation,901_list,
2014-539660-1-902-1,Pešek Jiří,nk_party,bezpp_affiliation,902_list,
2014-539660-1-902-3,Rosenberg Tomáš Ing. Ph.D.,nk_party,bezpp_affiliation,902_list,
2014-539660-1-901-6,Sušanka Jiří,nk_party,bezpp_affiliation,901_list,
2014-539660-1-901-3,Vosmik František,nk_party,bezpp_affiliation,901_list,
