vote_event_id,voter_id,option,group_id,
1001,2014-550515-1-1-3,yes,kdu-csl_party,
1001,2014-550515-1-768-6,yes,ano-2011_party,
1001,2014-550515-1-901-1,yes,nk_party,
1001,2014-550515-1-47-2,yes,kscm_party,
1001,2014-550515-1-902-2,yes,nk_party,
1001,2014-550515-1-902-1,yes,nk_party,
1001,2014-550515-1-903-2,yes,nk_party,
1001,2014-550515-1-903-1,yes,nk_party,
1001,2014-550515-1-902-5,yes,nk_party,
1001,2014-550515-1-901-2,yes,nk_party,
1001,2014-550515-1-768-2,yes,ano-2011_party,
1001,2014-550515-1-901-3,yes,nk_party,
1001,2014-550515-1-903-3,yes,nk_party,
1001,2014-550515-1-901-4,yes,nk_party,
1001,2014-550515-1-903-9,yes,nk_party,
1002,2014-550515-1-1-3,yes,kdu-csl_party,
1002,2014-550515-1-768-6,yes,ano-2011_party,
1002,2014-550515-1-901-1,yes,nk_party,
1002,2014-550515-1-47-2,yes,kscm_party,
1002,2014-550515-1-902-2,yes,nk_party,
1002,2014-550515-1-902-1,yes,nk_party,
1002,2014-550515-1-903-2,yes,nk_party,
1002,2014-550515-1-903-1,yes,nk_party,
1002,2014-550515-1-902-5,yes,nk_party,
1002,2014-550515-1-901-2,yes,nk_party,
1002,2014-550515-1-768-2,yes,ano-2011_party,
1002,2014-550515-1-901-3,yes,nk_party,
1002,2014-550515-1-903-3,yes,nk_party,
1002,2014-550515-1-901-4,yes,nk_party,
1002,2014-550515-1-903-9,yes,nk_party,
1003,2014-550515-1-1-3,yes,kdu-csl_party,
1003,2014-550515-1-768-6,yes,ano-2011_party,
1003,2014-550515-1-901-1,yes,nk_party,
1003,2014-550515-1-47-2,yes,kscm_party,
1003,2014-550515-1-902-2,yes,nk_party,
1003,2014-550515-1-902-1,yes,nk_party,
1003,2014-550515-1-903-2,yes,nk_party,
1003,2014-550515-1-903-1,yes,nk_party,
1003,2014-550515-1-902-5,yes,nk_party,
1003,2014-550515-1-901-2,yes,nk_party,
1003,2014-550515-1-768-2,yes,ano-2011_party,
1003,2014-550515-1-901-3,yes,nk_party,
1003,2014-550515-1-903-3,yes,nk_party,
1003,2014-550515-1-901-4,yes,nk_party,
1003,2014-550515-1-903-9,yes,nk_party,
1004,2014-550515-1-1-3,yes,kdu-csl_party,
1004,2014-550515-1-768-6,yes,ano-2011_party,
1004,2014-550515-1-901-1,yes,nk_party,
