id,legislative_session:number,start_date,item:title,item:number,motion:title,
1001,1,2014-10-29,Složení slibu členy zastupitelstva,1,Zastupitelstvo bere na vědomí složení slibu členů zastupitelstva.,
1002,1,2014-10-29,Určení ověřovatelů zápisu a zapisovatele,2,Zastupitelstvo schvaluje za ověřovatele zápisu Jana Jaroše a Pavla Koláře,
1003,1,2014-10-29,Určení ověřovatelů zápisu a zapisovatele,2,Zastupitelstvo schvaluje za zapisovatele Dominika Šímu,
1004,1,2014-10-29,Schválení upraveného programu,3,Zastupitelstvo schvaluje navržený program jako celek.,
1005,1,2014-10-29,Zřízení pracovních komisí (mandátové a volební),4,Zastupitelstvo schvaluje sloučení mandátové a volební komise.,
1006,1,2014-10-29,Zřízení pracovních komisí (mandátové a volební),4,"Zastupitelstvo schvaluje navržené členy Romana Čermáka, Lukáše Kápara, Petra Šímu za členy mandátové a volební komise.",
1007,1,2014-10-29,Zřízení pracovních komisí (mandátové a volební),4,Zastupitelstvo bere na vědomí volbu předsedy mandátové a volební komise Lukáše Kápara.,
1008,1,2014-10-29,Zpráva o ověření platnosti volby členů zastupitelstva,5,Zastupitelstvo schvaluje předloženou zprávu mandátové a volební komise o ověření platnosti volby členů zastupitelstva.,
1009,1,2014-10-29,Jednací řád a volební řád zastupitelstva obce a jeho výborů.,6,Zastupitelstvo schvaluje stávající jednací řád a volební řád zastupitelstva a jeho výborů.,
1010,1,2014-10-29,Volba starosty a místostarosty obce,7,Zastupitelstvo schvaluje návrh na neustanovení místostarosty obce.,
1011,1,2014-10-29,Volba starosty a místostarosty obce,7,Zastupitelstvo schvaluje počet místostarostů na počtu 1 (jeden).,
1012,1,2014-10-29,Volba starosty a místostarosty obce,7,"Zastupitelstvo schvaluje, že pro funkci starosty bude uvolněn jeden zastupitel, ostatní zastupitelé obce Strážkovice nebudou pro svoji funkci v zastupitelstvu uvolněni.",
1013,1,2014-10-29,Volba starosty a místostarosty obce,7,"Zastupitelstvo bere na vědomí rozhodnutí volební komise, že volba starosty a místostarosty bude neveřejná.",
1014,1,2014-10-29,Volba starosty a místostarosty obce,7,Zastupitelstvo schvaluje do funkce starosty obce Strážkovice paní Hanu Halamovou.,
1015,1,2014-10-29,Volba starosty a místostarosty obce,7,Zastupitelstvo schvaluje do funkce místostarosty obce Strážkovice pana Lukáše Kápara.,
1016,1,2014-10-29,Zřízení finančního a kontrolního výboru,8,Zastupitelstvo schvaluje tříčlenný finanční výbor.,
1017,1,2014-10-29,Zřízení finančního a kontrolního výboru,8,Zastupitelstvo schvaluje tříčlenný kontrolní výbor,
1018,1,2014-10-29,Zřízení finančního a kontrolního výboru,8,Zastupitelstvo schvaluje za předsedu finančního výboru Pavla Koláře.,
1019,1,2014-10-29,Zřízení finančního a kontrolního výboru,8,Zastupitelstvo schvaluje za předsedu kontrolního výboru Jana Jaroše.,
1020,1,2014-10-29,Zřízení finančního a kontrolního výboru,8,Zastupitelstvo schvaluje za členy finančního výboru Romana Čermáka a Jana Dvořáka.,
1021,1,2014-10-29,Zřízení finančního a kontrolního výboru,8,Zastupitelstvo schvaluje za členy kontrolního výboru Lukáše Kápara a Petra Šímu.,
1022,1,2014-10-29,Ustanovení komisí,9,"Zastupitelstvo schvaluje členy komise výstavby a územního plánu Romana Čermáka, Jana Dvořáka, Lukáše Kápara, Pavla Koláře a Petra Šímu.",
1023,1,2014-10-29,Ustanovení komisí,9,Zastupitelstvo schvaluje předsedu komise výstavby a územního plánu Jana Dvořáka.,
1024,1,2014-10-29,Ustanovení komisí,9,"Zastupitelstvo schvaluje členy komise ochrany přírody a životního prostředí Romana Čermáka, Jana Dvořáka a Jana Jaroše.",
1025,1,2014-10-29,Ustanovení komisí,9,Zastupitelstvo schvaluje předsedu komise ochrany přírody a životního prostředí Romana Čermáka.,
