id,name,organization:party,organization:affiliation,organization:list,
2014-583910-1-355-4,Dlapka Jan,kdu-csl_party,kdu-csl_affiliation,355_list,
2014-583910-1-355-3,Fialová Helena Mgr.,nk_party,bezpp_affiliation,355_list,
2014-583910-1-355-2,Fučík Vojtěch Ing.,nk_party,bezpp_affiliation,355_list,
2014-583910-1-901-3,Hloušková Zuzana,nk_party,bezpp_affiliation,901_list,
2014-583910-1-355-5,Liška Alois Ing.,kdu-csl_party,kdu-csl_affiliation,355_list,
2014-583910-1-389-11,Mareš Jindřich Mgr.,nk_party,bezpp_affiliation,389_list,
2014-583910-1-901-1,Ondrášek Zdeněk PaedDr.,nk_party,bezpp_affiliation,901_list,
2014-583910-1-47-2,Shorný Jiří,kscm_party,bezpp_affiliation,47_list,
2014-583910-1-389-12,Sklenář Vavřín Ing. arch. CSc.,nk_party,bezpp_affiliation,389_list,
2014-583910-1-901-6,Stehno Zdeněk,nk_party,bezpp_affiliation,901_list,
2014-583910-1-901-2,Štveráček Jaroslav,nk_party,bezpp_affiliation,901_list,
2014-583910-1-901-5,Tichý Josef,nk_party,bezpp_affiliation,901_list,
2014-583910-1-355-1,Vašulín Jiří,nk_party,bezpp_affiliation,355_list,
2014-583910-1-901-4,Vidláková Petra,nk_party,bezpp_affiliation,901_list,
2014-583910-1-355-6,Záleský Luděk Ing.,nk_party,bezpp_affiliation,355_list,
