vote_event_id,voter_id,option,group_id,
1001,2014-583910-1-355-4,yes,kdu-csl_party,
1001,2014-583910-1-355-3,yes,nk_party,
1001,2014-583910-1-355-2,yes,nk_party,
1001,2014-583910-1-901-3,yes,nk_party,
1001,2014-583910-1-355-5,yes,kdu-csl_party,
1001,2014-583910-1-389-11,yes,nk_party,
1001,2014-583910-1-901-1,yes,nk_party,
1001,2014-583910-1-47-2,yes,kscm_party,
1001,2014-583910-1-389-12,yes,nk_party,
1001,2014-583910-1-901-6,yes,nk_party,
1001,2014-583910-1-901-2,yes,nk_party,
1001,2014-583910-1-901-5,yes,nk_party,
1001,2014-583910-1-355-1,yes,nk_party,
1001,2014-583910-1-901-4,absent,nk_party,
1001,2014-583910-1-355-6,yes,nk_party,
1002,2014-583910-1-355-4,yes,kdu-csl_party,
1002,2014-583910-1-355-3,yes,nk_party,
1002,2014-583910-1-355-2,yes,nk_party,
1002,2014-583910-1-901-3,yes,nk_party,
1002,2014-583910-1-355-5,yes,kdu-csl_party,
1002,2014-583910-1-389-11,yes,nk_party,
1002,2014-583910-1-901-1,yes,nk_party,
1002,2014-583910-1-47-2,yes,kscm_party,
1002,2014-583910-1-389-12,yes,nk_party,
1002,2014-583910-1-901-6,yes,nk_party,
1002,2014-583910-1-901-2,yes,nk_party,
1002,2014-583910-1-901-5,yes,nk_party,
1002,2014-583910-1-355-1,yes,nk_party,
1002,2014-583910-1-901-4,absent,nk_party,
1002,2014-583910-1-355-6,yes,nk_party,
1003,2014-583910-1-355-4,yes,kdu-csl_party,
1003,2014-583910-1-355-3,yes,nk_party,
1003,2014-583910-1-355-2,yes,nk_party,
1003,2014-583910-1-901-3,yes,nk_party,
1003,2014-583910-1-355-5,yes,kdu-csl_party,
1003,2014-583910-1-389-11,yes,nk_party,
1003,2014-583910-1-901-1,yes,nk_party,
1003,2014-583910-1-47-2,yes,kscm_party,
1003,2014-583910-1-389-12,abstain,nk_party,
1003,2014-583910-1-901-6,yes,nk_party,
1003,2014-583910-1-901-2,yes,nk_party,
1003,2014-583910-1-901-5,yes,nk_party,
