id,legislative_session:number,start_date,item:title,item:number,motion:title,
1001,1,2014-11-06,Zastupitelstvo obce Suchomasty schválilo zvolení jednoho místostarosty,2,Zastupitelstvo obce Suchomasty schválilo zvolení jednoho místostarosty,
1002,1,2014-11-06,"Zastupitelstvo obce Suchomasty v souladu s § 84 odst. 2 písm. k) zákona o obcích určuje, že pro výkon funkce starosty obce nebude člen zastupitelstva dlouhodobě uvolněn.",3,"Zastupitelstvo obce Suchomasty v souladu s § 84 odst. 2 písm. k) zákona o obcích určuje, že pro výkon funkce starosty obce nebude člen zastupitelstva dlouhodobě uvolněn.",
1003,1,2014-11-06,Zastupitelstvo obce Suchomasty schvaluje veřejný způsob volby starosty a místostarosty.,4,Zastupitelstvo obce Suchomasty schvaluje veřejný způsob volby starosty a místostarosty.,
1004,1,2014-11-06,Zastupitelstvo obce Suchomasty volí starostkou p. Hanu Šimkovou,5,Zastupitelstvo obce Suchomasty volí starostkou p. Hanu Šimkovou,
1005,1,2014-11-06,Zastupitelstvo obce Suchomasty volí místostarostkou p. Bc. Hanu Turkovou,6,Zastupitelstvo obce Suchomasty volí místostarostkou p. Bc. Hanu Turkovou,
1006,1,2014-11-06,Zastupitelstvo obce Suchomasty zřizuje finanční výbor a kontrolní výbor. Oba výbor budou tříčlenné,7,Zastupitelstvo obce Suchomasty zřizuje finanční výbor a kontrolní výbor. Oba výbor budou tříčlenné,
1007,1,2014-11-06,Zastupitelstvo obce Suchomasty volí předsedou finančního výboru p. Ivu Kinclovou,8,Zastupitelstvo obce Suchomasty volí předsedou finančního výboru p. Ivu Kinclovou,
1008,1,2014-11-06,Zastupitelstvo obce Suchomasty volí předsedou kontrolního výboru p. Josefa Štěpána,9,Zastupitelstvo obce Suchomasty volí předsedou kontrolního výboru p. Josefa Štěpána,
1009,1,2014-11-06,Zastupitelstvo obce Suchomasty odkládá volbu členů kontrolního a finančního výboru z důvodu nedostatku kandidátů na členství ve výborech na nejbližší zasedání.,10,Zastupitelstvo obce Suchomasty odkládá volbu členů kontrolního a finančního výboru z důvodu nedostatku kandidátů na členství ve výborech na nejbližší zasedání.,
1010,1,2014-11-06,"Zastupitelstvo obce Suchomasty v souladu s § 72 a § 84 odst. 2 písm. n) zákona o obcích stanoví měsíční odměny za výkon jednotlivých funkcí neuvolněných členů zastupitelstva takto: starosta 20.367,- Kč, místostarosta 10.000,- Kč, předseda výboru 1.060,- Kč, člen výboru nebo komise 750,- Kč, člen zastupitelstva bez dalších funkcí 460,- Kč",11,"Zastupitelstvo obce Suchomasty v souladu s § 72 a § 84 odst. 2 písm. n) zákona o obcích stanoví měsíční odměny za výkon jednotlivých funkcí neuvolněných členů zastupitelstva takto: starosta 20.367,- Kč, místostarosta 10.000,- Kč, předseda výboru 1.060,- Kč, člen výboru nebo komise 750,- Kč, člen zastupitelstva bez dalších funkcí 460,- Kč",
1011,1,2014-11-06,Zastupitelstvo obce Suchomasty souhlasí se Smlouvou č. 14218151 o poskytnutí podpory ze Státního fondu životního prostředí ČR v rámci Operačního programu Životního prostředí na akci „Eliminace povodňových rizik v obcích Suchomasty a Bykoš,12,Zastupitelstvo obce Suchomasty souhlasí se Smlouvou č. 14218151 o poskytnutí podpory ze Státního fondu životního prostředí ČR v rámci Operačního programu Životního prostředí na akci „Eliminace povodňových rizik v obcích Suchomasty a Bykoš,
1012,1,2014-11-06,"Zastupitelstvo obce schvaluje výběrové řízení na zakázky malého rozsahu: „Suchomasty - pošta a zdravotní středisko č. 89', „ZŠ Suchomasty č. 135' a „Suchomasty - Obecní úřad č. 31' dle protokolů ze dne 3.10.2014",13,"Zastupitelstvo obce schvaluje výběrové řízení na zakázky malého rozsahu: „Suchomasty - pošta a zdravotní středisko č. 89', „ZŠ Suchomasty č. 135' a „Suchomasty - Obecní úřad č. 31' dle protokolů ze dne 3.10.2014",
2001,2,2014-11-27,"Zastupitelstvo obce Suchomasty souhlasí se Smlouvou č. 14209383 o poskytnutí podpory ze Státního fondu životního prostředí ČR v rámci Operačního programu Životního prostředí na akci: „Zateplení Masarykovy MŠ Suchomasty, čp. 154' ",2,"Zastupitelstvo obce Suchomasty souhlasí se Smlouvou č. 14209383 o poskytnutí podpory ze Státního fondu životního prostředí ČR v rámci Operačního programu Životního prostředí na akci: „Zateplení Masarykovy MŠ Suchomasty, čp. 154' ",
2002,2,2014-11-27,Zastupitelem pro pořízení územně plánovací dokumentace byl schválen p. Martin Pavlis,3,Zastupitelem pro pořízení územně plánovací dokumentace byl schválen p. Martin Pavlis,
2003,2,2014-11-27,Zastupitelstvo obce Suchomasty volí členy finančního výboru p. Běluši Skramuskou a Jitku Vnoučkovou,4,Zastupitelstvo obce Suchomasty volí členy finančního výboru p. Běluši Skramuskou a Jitku Vnoučkovou,
2004,2,2014-11-27,Zastupitelstvo obce Suchomasty volí členy kontrolního výboru p. Vladimíra Týbla a Josef Hrubého,5,Zastupitelstvo obce Suchomasty volí členy kontrolního výboru p. Vladimíra Týbla a Josef Hrubého,
2005,2,2014-11-27,Zastupitelstvo obce Suchomasty souhlasí s uzavřením smlouvy na zimní údržbu 2014/2015 s p. Jiřím Štěpánem,6,Zastupitelstvo obce Suchomasty souhlasí s uzavřením smlouvy na zimní údržbu 2014/2015 s p. Jiřím Štěpánem,
2006,2,2014-11-27,"Vyplacení odchodného p. Štěpánovi po měsíčních částkách 50.000,-- Kč, v případě proplacení dotace bude odchodné doplaceno jednorázově",7,"Vyplacení odchodného p. Štěpánovi po měsíčních částkách 50.000,-- Kč, v případě proplacení dotace bude odchodné doplaceno jednorázově",
