id,legislative_session:number,start_date,item:title,item:number,motion:title,
1001,1,2014-10-31,Volba starosty,3,zvolení Josefa Šimonovského do funkce starosty na volební období 2014 – 2018,
1002,1,2014-10-31,Volba místostarosty,4,zvolení Mgr. Petra Kozohorského do funkce místostarosty pro volební období 2014 – 2018 ,
1003,1,2014-10-31,Ustavení výborů a volba předsedů a členů jednotlivých výborů,5,ustavení výborů a volba předsedů a členů jednotlivých výborů,
1004,1,2014-10-31,Návrh rozvoje obce na příští volební období,7,Zastupitelstvo obce odsouhlasilo návrh rozvoje obce na roky 2014-2018.,
2001,2,2014-12-12,Úvod,1,schválení programu zasedání,
2002,2,2014-12-12,Rozpočtové opatření č. 7.,3,Zastupitelstvo obce schválilo změnu v rozpočtu na základě plnění rozpočtu k 30.11. 2014.,
2003,2,2014-12-12,Schválení rozpočtu na rok 2015,4,"Zastupitelstvo obce schválilo rozpočet na rok 2015 na základě návrhu rozpočtu pro rok 2015 v paragrafovém znění, který byl vyvěšen na úřední desce OÚ a v elektronické podobě na stránkách obce www.svatepole.eu od 21.11. 2014 a sejmut 8.12. 2014. Rozpočet byl schválen jako přebytkový. Příjmy byly stanoveny odhadem podle plnění rozpočtu v minulém roce, ve výdajích bylo přihlédnuto k budoucím záměrům obce. Změny v rozpočtu budou v průběhu roku 2015 řešeny rozpočtovými opatřeními, dle plnění rozpočtu.",
2004,2,2014-12-12,"Dokas Dobříš, s.r.o. - schválení dodatku ke smlouvě",5,Zastupitelé schválili dodatky ke smlouvě s firmou Dokas Dobříš pro rok 2015.,
2005,2,2014-12-12,Pronájem sálu,7,"Zastupitelstvo schválilo pronájem sálu panu Miroslavu Švagrovi za cenu 26.000,- Kč ročně.",
2006,2,2014-12-12,Finanční příspěvky SDH Svaté Pole a Budínek,8,Zastupitelstvo schválilo příspěvky Sborům dobrovolných hasičů Svaté Pole a Budínek pro rok 2015.,
3001,3,2015-01-13,Úvod,1,schválení programu zasedání,
3002,3,2015-01-13,Sociální fond – navýšení financí,3,"Zastupitelstvo obce odsouhlasilo navýšení sociálního fondu obce na 50.000,- Kč.",
3003,3,2015-01-13,"Žádost o příspěvek – Hockovi, Svaté Pole 97",4,"Zastupitelstvo schválilo finanční příspěvek ve výši 10.000,- Kč.",
3004,3,2015-01-13,Stojany na odpadky,6,Zastupitelstvo schválilo umístění sloupků s držáky na sáčky na psí extrementy.,
3005,3,2015-01-13,Různé,7,"Zastupitelstvo odsouhlasilo nabídku na renovaci schodů v sále od firmy Ladislav Ric. Celková částka bez DPH je 13.580,- Kč.",
3006,3,2015-01-13,Různé,7,"Zastupitelstvo schválilo částku 90.000,- Kč jako příspěvek na činnost Mateřské školy Svaté Pole na první pololetí roku 2015.",
3007,3,2015-01-13,Různé,7,čekárny u autobusových zastávek,
3008,3,2015-01-13,Různé,7,žádost o souhlas s odnětím zemědělské půdy,
3009,3,2015-01-13,Různé,7,"Zastupitelstvo obce se seznámilo s návrhem firmy Malované Mapy, s.r.o., Sokolská 416, 76001 Zlín 1 na dodávku prezentace Malované mapy regionu, včetně 2 kusů dřevěných stojanů. Zastupitelstvo schválilo nákup těchto služeb dle objednávky za cenu 31.990,- Kč bez DPH, s termínem dodávky v 2.pololetí 2015, záloha 11.990,- Kč.",
4001,4,2015-02-10,Úvod,1,schválení programu zasedání,
4002,4,2015-02-10,Rozpočtové opatření č. 1,2,"Zastupitelstvo schválilo rozpočtové opatření č. 1, které se týká dotace ze státního rozpočtu.",
4003,4,2015-02-10,Prodej stavebních pozemků na Budínku,3,"schválení základních kriterií pro prodej stavebních pozemků ve Svatém Poli, části Budínek",
4004,4,2015-02-10,Smlouva – heraldické znaky,4,"Zastupitelstvo schválilo smlouvu na zhotovení heraldických znaků pro obec Svaté Pole ( znak obce, vlajka). Jako zhotovitel byl vybrán Mgr. Jan Tejkal, heraldik a vexilolog.",
4005,4,2015-02-10,Žádost – Pavel Nekolný – dopravní značení,5,Zastupitelstvo rozhodlo o zadání poptávky na dodávku dopravního značení pro část obce Budínek – celkem 4x začátek a 4x konec obce.,
4006,4,2015-02-10,Žádost – Marie Krásová – dělení pozemku,6,"Zastupitelstvo odsouhlasilo dělení pozemku p.č. 19/1 v k.ú. Svaté Pole dle nákresu, včetně povolení zřízení vjezdu na pozemek p.č. 19/1.",
5001,5,2015-03-10,Úvod,1,schválení programu zasedání,
5002,5,2015-03-10,OÚ Obořiště – žádost o připojení na ČOV,3,žádost o připojení obce Lhotka na obecní kanalizaci,
5003,5,2015-03-10,Rekonstrukce autobusových čekáren v obci,5,Zastupitelstvo schválilo rekonstrukci 2 autobusových čekáren.,
5004,5,2015-03-10,Ostatní,7,Zastupitelstvo obce Svaté Pole po zvážení souhlasí s převodem pozemků od Města Dobříše.,
5005,5,2015-03-10,Ostatní,7,Zastupitelstvo obce schválilo na základě vyvěšeného záměru  prodej pozemků jednotlivým zájemcům.,
5006,5,2015-03-10,Ostatní,7,"Zastupitelstvo schválilo příspěvek ve výši 2.000,- Kč na konání happeningu v obci Mokrsko, Prostřední Lhota 6.6. 2015.",
6001,6,2015-04-14,Úvod,1,schválení programu zasedání,
6002,6,2015-04-14,Schválení závěrečného účtu a roční účetní závěrky za rok 2014,2,Zastupitelstvo schválilo závěrečný účet obce a roční účetní závěrku za rok 2014.,
6003,6,2015-04-14,Schválení závěrečného účtu a roční účetní závěrky za rok 2014,2,Zastupitelstvo schválilo roční účetní závěrku za rok 2014.,
6004,6,2015-04-14,Rozpočtové opatření č. 2.,4,Zastupitelstvo schválilo rozpočtové opatření č. 2 dle plnění rozpočtu k 31.3.2015.,
6005,6,2015-04-14,Navýšení kapacity žáků MŠ Svaté Pole,7,Vzhledem k velkému počtu přihlášených dětí z obce Svaté Pole a části Budínek (8 zájemců) bylo schváleno navýšení kapacity přijatých dětí do mateřské školy ve Svatém Poli na školní rok 2015/2016 a dále z původních 20 dětí na 25 dětí.,
6006,6,2015-04-14,Žádost – Josef Pecka – dělení pozemku,8,Zastupitelstvo obce schválilo dělení pozemku parc.č. 81/15 v k.ú. Svaté Pole dle předloženého nákresu – ing. Ondřej Kočí ze dne 2.10. 2014 – 5 stavebních pozemků o výměře 890 – 900 m2.,
6007,6,2015-04-14,Nákup zahradní techniky,9,"Zastupitelstvo schválilo nákup zahradní sekačky pro údržbu zeleně v obci za cenu 20.306,- Kč, včetně DPH a příslušenství.",
6008,6,2015-04-14,Vybavení dětského hřiště u mateřské školy,13,Zastupitelstvo obce schválilo nákup herních prvků pro hřiště do zahrady u školy.,
7001,7,2015-05-05,Úvod,1,schválení programu zasedání,
7002,7,2015-05-05,Mateřská škola – stanovení školného na rok 2015-2016,2,Zastupitelstvo obce schválilo výši školného na školní rok 2015/2016.,
7003,7,2015-05-05,Heraldické znaky obce – výběr znaku,3,Zastupitelé schválili na základě vyjádření občanů obce Svaté Pole a části Budínek návrh heraldických znaků obce (znak a vlajka). Většina občanů se přiklonila k variantě č. 11 z návrhů heraldických znaků.,
7004,7,2015-05-05,Darovací smlouva – pozemky Dobříš,4,"Zastupitelstvo obce schválilo darovací smlouvu mezi Městem Dobříš a Obcí Svaté Pole na pozemky: parc. č. 128/101 (ostatní plocha, ostatní komunikace) o výměře 311 m2 parc. č. 384 (ostatní plocha, ostatní komunikace), o výměře 719 m2 parc. č. 360 (vodní plocha/koryto vodního toku přirozené nebo upravené) o výměře 1493 m2 parc. č. 128/85 (ostatní plocha, ostatní komunikace) o výměře 36 m2 parc. č. 114/22 (trvalý travní porost) o výměře 45 m2 vše v k.ú. a obci Svaté Pole.",
