vote_event_id,voter_id,option,group_id,
1001,2014-541389-1-901-1,yes,nk_party,
1001,2014-541389-1-902-4,yes,nk_party,
1001,2014-541389-1-901-2,yes,nk_party,
1001,2014-541389-1-902-1,yes,nk_party,
1001,2014-541389-1-902-3,yes,nk_party,
1001,2014-541389-1-902-2,yes,nk_party,
1001,2014-541389-1-901-3,yes,nk_party,
1002,2014-541389-1-901-1,yes,nk_party,
1002,2014-541389-1-902-4,yes,nk_party,
1002,2014-541389-1-901-2,yes,nk_party,
1002,2014-541389-1-902-1,yes,nk_party,
1002,2014-541389-1-902-3,yes,nk_party,
1002,2014-541389-1-902-2,yes,nk_party,
1002,2014-541389-1-901-3,yes,nk_party,
1003,2014-541389-1-901-1,yes,nk_party,
1003,2014-541389-1-902-4,yes,nk_party,
1003,2014-541389-1-901-2,yes,nk_party,
1003,2014-541389-1-902-1,yes,nk_party,
1003,2014-541389-1-902-3,yes,nk_party,
1003,2014-541389-1-902-2,yes,nk_party,
1003,2014-541389-1-901-3,yes,nk_party,
1004,2014-541389-1-901-1,yes,nk_party,
1004,2014-541389-1-902-4,yes,nk_party,
1004,2014-541389-1-901-2,yes,nk_party,
1004,2014-541389-1-902-1,yes,nk_party,
1004,2014-541389-1-902-3,yes,nk_party,
1004,2014-541389-1-902-2,yes,nk_party,
1004,2014-541389-1-901-3,yes,nk_party,
2001,2014-541389-1-901-1,yes,nk_party,
2001,2014-541389-1-902-4,yes,nk_party,
2001,2014-541389-1-901-2,yes,nk_party,
2001,2014-541389-1-902-1,yes,nk_party,
2001,2014-541389-1-902-3,yes,nk_party,
2001,2014-541389-1-902-2,yes,nk_party,
2001,2014-541389-1-901-3,yes,nk_party,
2002,2014-541389-1-901-1,yes,nk_party,
2002,2014-541389-1-902-4,yes,nk_party,
2002,2014-541389-1-901-2,yes,nk_party,
2002,2014-541389-1-902-1,yes,nk_party,
2002,2014-541389-1-902-3,yes,nk_party,
2002,2014-541389-1-902-2,yes,nk_party,
2002,2014-541389-1-901-3,yes,nk_party,
2003,2014-541389-1-901-1,yes,nk_party,
2003,2014-541389-1-902-4,yes,nk_party,
2003,2014-541389-1-901-2,yes,nk_party,
2003,2014-541389-1-902-1,yes,nk_party,
2003,2014-541389-1-902-3,yes,nk_party,
2003,2014-541389-1-902-2,yes,nk_party,
2003,2014-541389-1-901-3,yes,nk_party,
2004,2014-541389-1-901-1,yes,nk_party,
2004,2014-541389-1-902-4,yes,nk_party,
2004,2014-541389-1-901-2,yes,nk_party,
2004,2014-541389-1-902-1,yes,nk_party,
2004,2014-541389-1-902-3,yes,nk_party,
2004,2014-541389-1-902-2,yes,nk_party,
2004,2014-541389-1-901-3,yes,nk_party,
2005,2014-541389-1-901-1,yes,nk_party,
2005,2014-541389-1-902-4,yes,nk_party,
2005,2014-541389-1-901-2,yes,nk_party,
2005,2014-541389-1-902-1,yes,nk_party,
2005,2014-541389-1-902-3,yes,nk_party,
2005,2014-541389-1-902-2,yes,nk_party,
2005,2014-541389-1-901-3,yes,nk_party,
2006,2014-541389-1-901-1,yes,nk_party,
2006,2014-541389-1-902-4,yes,nk_party,
2006,2014-541389-1-901-2,yes,nk_party,
2006,2014-541389-1-902-1,yes,nk_party,
2006,2014-541389-1-902-3,yes,nk_party,
2006,2014-541389-1-902-2,yes,nk_party,
2006,2014-541389-1-901-3,yes,nk_party,
3001,2014-541389-1-901-1,yes,nk_party,
3001,2014-541389-1-902-4,yes,nk_party,
3001,2014-541389-1-901-2,yes,nk_party,
3001,2014-541389-1-902-1,yes,nk_party,
3001,2014-541389-1-902-3,yes,nk_party,
3001,2014-541389-1-902-2,yes,nk_party,
3001,2014-541389-1-901-3,yes,nk_party,
3002,2014-541389-1-901-1,yes,nk_party,
3002,2014-541389-1-902-4,yes,nk_party,
3002,2014-541389-1-901-2,yes,nk_party,
3002,2014-541389-1-902-1,yes,nk_party,
3002,2014-541389-1-902-3,yes,nk_party,
3002,2014-541389-1-902-2,yes,nk_party,
3002,2014-541389-1-901-3,yes,nk_party,
3003,2014-541389-1-901-1,yes,nk_party,
3003,2014-541389-1-902-4,yes,nk_party,
3003,2014-541389-1-901-2,yes,nk_party,
3003,2014-541389-1-902-1,yes,nk_party,
3003,2014-541389-1-902-3,yes,nk_party,
3003,2014-541389-1-902-2,yes,nk_party,
3003,2014-541389-1-901-3,yes,nk_party,
3004,2014-541389-1-901-1,yes,nk_party,
3004,2014-541389-1-902-4,yes,nk_party,
3004,2014-541389-1-901-2,yes,nk_party,
3004,2014-541389-1-902-1,yes,nk_party,
3004,2014-541389-1-902-3,yes,nk_party,
3004,2014-541389-1-902-2,yes,nk_party,
3004,2014-541389-1-901-3,yes,nk_party,
3005,2014-541389-1-901-1,yes,nk_party,
3005,2014-541389-1-902-4,yes,nk_party,
3005,2014-541389-1-901-2,yes,nk_party,
3005,2014-541389-1-902-1,yes,nk_party,
3005,2014-541389-1-902-3,yes,nk_party,
3005,2014-541389-1-902-2,yes,nk_party,
3005,2014-541389-1-901-3,yes,nk_party,
3006,2014-541389-1-901-1,yes,nk_party,
3006,2014-541389-1-902-4,yes,nk_party,
3006,2014-541389-1-901-2,yes,nk_party,
3006,2014-541389-1-902-1,yes,nk_party,
