id,legislative_session:number,start_date,item:title,item:number,motion:title,
1001,1,2014-11-03,Určení ověřovatelů a zapisovatele,1,Zastupitelstvo obce Těšetice určuje ověřovateli zápisu Pavla Worbise a Ing. MiroslavaKrejčího a zapisovatelem Věru Novákovou.,
1002,1,2014-11-03,Schválení programu:,3,"Návrh usnesení:Zastupitelstvo obce Těšetice schvaluje následující program ustavujícího zasedání:1) Určení ověřovatelů zápisu a zapisovatele2) Složení slibu členů zastupitelstva obce3) Schválení programu4) Zpráva o výsledcích a ověření platnosti voleb Zastupitelstva obce Těšetice5) Volba starosty a místostarosty a) určení, které funkce budou členové zastupitelstva vykonávat jakodlouhodobě uvolnění (§ 71 zákona o obcích) b) určení způsobu volby starosty a místostarosty c) volba starosty d) volba místostarosty6) Diskuse",
1003,1,2014-11-03,Zpráva o výsledcích a ověření platnosti voleb do Zastupitelstva obce Těšetice:,4,Zastupitelstvo obce Těšetice schvaluje zprávu o výsledcích a ověření platnosti voleb do Zastupitelstva obce Těšetice,
1004,1,2014-11-03,Volba starosty a místostarosty:,5,"Zastupitelstvo obce Těšetice v souladu s § 84 odst. 2 písm. k) zákona o obcích určuje, že pro výkon funkce starosty a místostarosty obce bude členzastupitelstva neuvolněn.",
1005,1,2014-11-03,Volba starosty a místostarosty:,5,Zastupitelstvo obce Těšetice schvaluje veřejný způsob volby starosty amístostarosty postupem uvedeným předsedajícím.,
1006,1,2014-11-03,Volba starosty a místostarosty:,5,Zastupitelstvo obce Těšetice volí starostou Jindřicha Žižky,
1007,1,2014-11-03,Volba starosty a místostarosty:,5,Zastupitelstvo obce Těšetice volí místostarostou Mgr. Janu Bezroukovou,
2001,2,2015-01-12,Technický bod,1,Zastupitelstvo s c h v a l u j e za ověřovatele zápisu o průběhu dnešního zasedání zastupitelstva obceIng. Miroslava Krejčího a Ladislava Večeřu.,
2002,2,2015-01-12,Technický bod,1,Zastupitelstvo s c h v a l u j e navržený program zasedání zastupitelstva.,
2003,2,2015-01-12,Směrnice č. 1/2015 pro nakládání s pozemky obce Těšetice,2,Zastupitelstvo schvaluje směrnici č.1/2015 pro nakládání s pozemky obce Těšetice.,
2004,2,2015-01-12,Žádost o odkoupení obecního pozemku par.č. 709/2 (L.K.),3,Zastupitelstvo zamítá žádost o odkoupení obecního pozemku č.p. 709/2 o výměře 393 m2 za nabízenou cenu 200 Kč/m2 od paní Lenky Korseltové.,
2005,2,2015-01-12,"Žádost o pronájem pozemků par.č. 4088, 4089, 4099, 4050, 4116, 4170, 4108, 4109 a 4114",4,"Zastupitelstvo odkládá žádost o pronájem pozemků par.č. 4088, 4089, 4099, 4050, 4116, 4170, 4108, 4109 a 4114 firmou ARES 96 s.r.o.",
2006,2,2015-01-12,Informace z jednání valné hromady Svazku Znojemských vinařských obcí DANÍŽ konané dne 11.12.2014.,5,Zastupitelstvo bere na vědomí informaci z jednání valné hromady Svazku Znojemských vinařských obcíDANÍŽ konané dne 11.12.2014 a pověřuje starostu zadat žádost o 60 ks kompostérů o velikosti 1 000 l a 4 ks obecních biokontejnérů do 10 m3 do 31.1.2015.,
2007,2,2015-01-12,Změny v systému EKO-KOM platné od 1.1.2015 pro obce,6,Zastupitelstvo bere na vědomí informaci o změnách v systému EKO – KOM platné od 1.1.2015 pro obce.,
2008,2,2015-01-12,Pořízení hmotného majetku (tiskárna A3),7,Zastupitelstvo pověřuje starostu ke zjištění vhodného multifunkčního zařízení a zjištění ceny pro potřebyobecního úřadu.,
2009,2,2015-01-12,Nákup motorového rotačního kartáče,8,"Zastupitelstvo schvaluje pořízení samochodného rotačního kartáče v PC do Kč 50.000,-- pro potřeby obecníhoúřadu.",
2010,2,2015-01-12,"Licenční smlouva o veřejném provozování hudebních děl VP – 2014 – 239604 (OSA – Ochranný svaz autorský pro práva k dílům hudebním, z.s.",9,"Zastupitelstvo schvaluje licenční smlouva o veřejném provozování hudebních děl VP – 2014 – 239604 (OSA –Ochranný svaz autorský pro práva k dílům hudebním, z.s. v předloženém znění a pověřuje starostu k podpisu.",
2011,2,2015-01-12,Zařazovací protokol majetku č. 41 – 47/ 2014,10,"Zastupitelstvo schvaluje zařazení do majetku obce, majetek dle zařazovacího protokolu č. 41-47/2014",
2012,2,2015-01-12,Vyřazovací protokol majetku č. 4 – 7/ 2014,11,"Zastupitelstvo schvaluje vyřazení majetku z důvodu - převod majetku na VAK Znojemsko č. 4/2014 anefunkčnosti, vyřazovací protokol č.5 – 7/2014.",
2013,2,2015-01-12,Předložení nabídek na pořízení „Nákup dopravního automobilu“ (P.W.),12,Zastupitelstvo bere na vědomí předložení nabídek zastupitelem Pavlem Worbisem a pověřuje starostuk oslovení firem v souladu se Směrnicí pro zadávání veřejných zakázek malého rozsahu.,
3001,3,2015-02-09,Technický bod,1,"Zastupitelstvo s c h v a l u j e za ověřovatele zápisu o průběhu dnešního zasedání zastupitelstva obce,Ing.Zdeňka Nekulu a Ing. Libuši Krejčovou.",
3002,3,2015-02-09,Technický bod,1,Zastupitelstvo s c h v a l u j e navržený program zasedání zastupitelstva.,
3003,3,2015-02-09,"Schválení dodatku č.1 ke zřizovací listině č.j.: 0222/2009/Tě ze dne 27.10.2009 Mateřská škola Těšetice, okres Znojmo, příspěvková organizace",2,"Zastupitelstvo schvaluje dodatek č.1 ke zřizovací listině č.0222/2009/Tě ze dne 27.10.2009 Mateřská škola,Těšetice, okres Znojmo, příspěvková organizace",
3004,3,2015-02-09,Rozpočtové opatření č. 01/2015,3,Zastupitelstvo schvaluje rozpočtové opatření č.01/2015.,
3005,3,2015-02-09,Hospodaření obce k 31.12.2014,4,Zastupitelstvo bere na vědomí hospodaření obce Těšetice k 31.12.2014 (hlavní a hospodářská činnost).,
3006,3,2015-02-09,Podání žádosti o dotaci z rozpočtu Jihomoravského kraje - MŠ Těšetice – výplně otvorů,5,Zastupitelstvo schvaluje Podání žádosti o dotaci z rozpočtu Jihomoravského kraje - MŠ Těšetice – výplně otvorů.,
3007,3,2015-02-09,Žádost o projednání připojení se k mezinárodní kampani “Vlajka pro Tibet”,6,Žádost o odkoupení části pozemku par.č. 3479 (větrolam) a pozemku par.č. 3441 (V.Š),
3008,3,2015-02-09,Předložení nabídky tiskárny vhodné pro účely OÚ Těšetice,7,Zastupitelstvo schvaluje pořízení tiskárny MP c 2011 v ceně 37 500 Kč bez DPH.,
3009,3,2015-02-09,Žádost o odkoupení části pozemku par.č. 3479 (větrolam) a pozemku par.č. 3441 (V.Š),8,Zastupitelstvo pověřuje starostu k jednání o prodeji i pronájmu par.č. 3479 a schvaluje záměr o pronájmu par.č.3441 za min. 1 Kč/m2 za rok dle směrnice č.1/2015 pro nakládání s pozemky.,
3010,3,2015-02-09,"Žádost o směnu pozemků (par.č. 3116, 3119, 3122 a 3124) za část pozemku par.č. 4142 (P.V.)",9,"Zastupitelstvo zamítá směnu pozemků (par.č. 3116, 3119, 3122 a 3124) za část pozemku par.č. 4142 a pověřuje starostu k předložení ocenění pozemků.",
3011,3,2015-02-09,Vyřazení majetku obce Těšetice - vyřazovací protokol č. 8-9/2014,10,Zastupitelstvo schvaluje vyřazovací protokol č.8 -9/2014,
3012,3,2015-02-09,Usnesení z jednání valné hromady zájmového sdružení obcí Vodovody a kanalizace Znojemsko konané dne 18.12.2014,11,Zastupitelstvo bere na vědomí usnesení z jednání valné hromady zájmového sdružení obcí Vodovody akanalizace Znojemsko konané dne 18.12.2014,
3013,3,2015-02-09,Žádost o věcný dar či finanční příspěvek do tomboly - ples ZŠ Prosiměřice,12,Zastupitelstvo schvaluje poskytnutí věcného daru v hodnotě do 1 000 Kč do tomboly na školní ples ZŠProsiměřice.,
3014,3,2015-02-09,Žádost o pronájem pozemku par.č. 3285 (A.V.),13,Zastupitelstvo schvaluje záměr pronájmu pozemku par.č.3285 za minimální cenu 1Kč/m2/rok dle směrniceč.1/2015 pro nakládání s pozemky.,
3015,3,2015-02-09,Vyúčtování dotace za rok 2014 a návrh na převod zisku do rezervního fondu výsledku hospodaření (MŠ Těšetice),14,"Zastupitelstvo schvaluje vyúčtování dotace za rok 2014, výroční zprávou hospodaření MŠ Těšetice za rok 2014 a převod zisku do rezervního fondu ve výši 79 864,28 Kč.",
3016,3,2015-02-09,Smlouva o poskytnutí účelového finančního příspěvku z rozpočtu obce v rámci přímé podporysportovních aktivit na rok 2015 – TJ Těšetice,15,"Zastupitelstvo schvaluje Smlouvu o poskytnutí účelového finančního příspěvku z rozpočtu obce v rámci přímé podpory sportovních aktivit na rok 2015 – TJ Těšetice, dále pověřuje starostu k podání žádosti o dotaci na rekonstrukci budovy sportovního areálu z rozpočtu JMK – individuální dotace.",
3017,3,2015-02-09,"Obecně závazná vyhláška obce Těšetice č. 1/2015 o stanovení systému shromažďování, sběru,přepravy, třídění, využívání a odstraňování komunálních odpadů a nakládání se stavebním  odpadem na území obce Těšetice",16,"Zastupitelstvo schvaluje Obecně závaznou vyhláškou obce Těšetice č. 1/2015 o stanovení systémushromažďování, sběru, přepravy, třídění, využívání a odstraňování komunálních odpadů a nakládání se stavebním odpadem na území obce Těšetice.",
3018,3,2015-02-09,"Návrh na směnu pozemků par.č. 3996, 4024 (obec) a par.č. 4021 (F.J.)",17,Zastupitelstvo pověřuje starostu k projednání nové možnosti řešení směny pozemků z důvodů zachování možnosti vybudování komunikace na pozemku par.č.3996 a 3997 v šíři 6 + 2 metrů z důvodů budoucí plánované výstavby.,
3019,3,2015-02-09,"Žádost o pronájem pozemků par.č. 4088, 4089, 4099, 4050, 4116, 4170, 4108, 4109, 4114 (A.)",18,"Zastupitelstvo zamítá pronájem pozemku par.č. 4050 a schvaluje záměr pronájem pozemků 4088, 4089, 4099, 4116, 4170, 4108, 4109, 4114 na dobu neurčitou s roční výpovědní lhůtou za cenu minimální 4.200,- Kč/ha/rok.",
3020,3,2015-02-09,Žádost o odkoupení pozemku par.č. 4278 (H.O.),19,Zastupitelstvo zamítá žádost o odkoupení pozemku par.č.4278 a pověřuje starostu k dalšímu jednání.,
