vote_event_id,voter_id,option,group_id,
1001,2014-594946-1-1-4,yes,kdu-csl_party,
1001,2014-594946-1-1-6,yes,kdu-csl_party,
1001,2014-594946-1-1-7,yes,kdu-csl_party,
1001,2014-594946-1-1-3,yes,kdu-csl_party,
1001,2014-594946-1-1-5,yes,kdu-csl_party,
1001,2014-594946-1-1-2,yes,kdu-csl_party,
1001,2014-594946-1-1-1,yes,kdu-csl_party,
1002,2014-594946-1-1-4,yes,kdu-csl_party,
1002,2014-594946-1-1-6,yes,kdu-csl_party,
1002,2014-594946-1-1-7,yes,kdu-csl_party,
1002,2014-594946-1-1-3,yes,kdu-csl_party,
1002,2014-594946-1-1-5,yes,kdu-csl_party,
1002,2014-594946-1-1-2,yes,kdu-csl_party,
1002,2014-594946-1-1-1,yes,kdu-csl_party,
1003,2014-594946-1-1-4,yes,kdu-csl_party,
1003,2014-594946-1-1-6,yes,kdu-csl_party,
1003,2014-594946-1-1-7,yes,kdu-csl_party,
1003,2014-594946-1-1-3,yes,kdu-csl_party,
1003,2014-594946-1-1-5,yes,kdu-csl_party,
1003,2014-594946-1-1-2,yes,kdu-csl_party,
1003,2014-594946-1-1-1,yes,kdu-csl_party,
1004,2014-594946-1-1-4,yes,kdu-csl_party,
1004,2014-594946-1-1-6,yes,kdu-csl_party,
1004,2014-594946-1-1-7,yes,kdu-csl_party,
1004,2014-594946-1-1-3,yes,kdu-csl_party,
1004,2014-594946-1-1-5,yes,kdu-csl_party,
1004,2014-594946-1-1-2,yes,kdu-csl_party,
1004,2014-594946-1-1-1,yes,kdu-csl_party,
1005,2014-594946-1-1-4,yes,kdu-csl_party,
1005,2014-594946-1-1-6,yes,kdu-csl_party,
1005,2014-594946-1-1-7,yes,kdu-csl_party,
1005,2014-594946-1-1-3,yes,kdu-csl_party,
1005,2014-594946-1-1-5,yes,kdu-csl_party,
1005,2014-594946-1-1-2,yes,kdu-csl_party,
1005,2014-594946-1-1-1,yes,kdu-csl_party,
1006,2014-594946-1-1-4,yes,kdu-csl_party,
1006,2014-594946-1-1-6,yes,kdu-csl_party,
1006,2014-594946-1-1-7,yes,kdu-csl_party,
1006,2014-594946-1-1-3,yes,kdu-csl_party,
1006,2014-594946-1-1-5,yes,kdu-csl_party,
1006,2014-594946-1-1-2,yes,kdu-csl_party,
1006,2014-594946-1-1-1,yes,kdu-csl_party,
1007,2014-594946-1-1-4,yes,kdu-csl_party,
1007,2014-594946-1-1-6,yes,kdu-csl_party,
1007,2014-594946-1-1-7,yes,kdu-csl_party,
1007,2014-594946-1-1-3,yes,kdu-csl_party,
1007,2014-594946-1-1-5,yes,kdu-csl_party,
1007,2014-594946-1-1-2,yes,kdu-csl_party,
1007,2014-594946-1-1-1,yes,kdu-csl_party,
2001,2014-594946-1-1-4,yes,kdu-csl_party,
2001,2014-594946-1-1-6,yes,kdu-csl_party,
2001,2014-594946-1-1-7,yes,kdu-csl_party,
2001,2014-594946-1-1-3,yes,kdu-csl_party,
2001,2014-594946-1-1-5,yes,kdu-csl_party,
2001,2014-594946-1-1-2,yes,kdu-csl_party,
2001,2014-594946-1-1-1,yes,kdu-csl_party,
2002,2014-594946-1-1-4,yes,kdu-csl_party,
2002,2014-594946-1-1-6,yes,kdu-csl_party,
2002,2014-594946-1-1-7,yes,kdu-csl_party,
2002,2014-594946-1-1-3,yes,kdu-csl_party,
2002,2014-594946-1-1-5,yes,kdu-csl_party,
2002,2014-594946-1-1-2,yes,kdu-csl_party,
2002,2014-594946-1-1-1,yes,kdu-csl_party,
2003,2014-594946-1-1-4,yes,kdu-csl_party,
2003,2014-594946-1-1-6,yes,kdu-csl_party,
2003,2014-594946-1-1-7,yes,kdu-csl_party,
2003,2014-594946-1-1-3,yes,kdu-csl_party,
2003,2014-594946-1-1-5,yes,kdu-csl_party,
2003,2014-594946-1-1-2,yes,kdu-csl_party,
2003,2014-594946-1-1-1,yes,kdu-csl_party,
2004,2014-594946-1-1-4,yes,kdu-csl_party,
2004,2014-594946-1-1-6,yes,kdu-csl_party,
2004,2014-594946-1-1-7,yes,kdu-csl_party,
2004,2014-594946-1-1-3,yes,kdu-csl_party,
2004,2014-594946-1-1-5,yes,kdu-csl_party,
2004,2014-594946-1-1-2,yes,kdu-csl_party,
2004,2014-594946-1-1-1,yes,kdu-csl_party,
2005,2014-594946-1-1-4,yes,kdu-csl_party,
2005,2014-594946-1-1-6,yes,kdu-csl_party,
2005,2014-594946-1-1-7,yes,kdu-csl_party,
2005,2014-594946-1-1-3,yes,kdu-csl_party,
2005,2014-594946-1-1-5,yes,kdu-csl_party,
2005,2014-594946-1-1-2,yes,kdu-csl_party,
2005,2014-594946-1-1-1,yes,kdu-csl_party,
2006,2014-594946-1-1-4,yes,kdu-csl_party,
2006,2014-594946-1-1-6,yes,kdu-csl_party,
2006,2014-594946-1-1-7,yes,kdu-csl_party,
2006,2014-594946-1-1-3,yes,kdu-csl_party,
2006,2014-594946-1-1-5,yes,kdu-csl_party,
2006,2014-594946-1-1-2,yes,kdu-csl_party,
2006,2014-594946-1-1-1,yes,kdu-csl_party,
2007,2014-594946-1-1-4,yes,kdu-csl_party,
2007,2014-594946-1-1-6,yes,kdu-csl_party,
2007,2014-594946-1-1-7,yes,kdu-csl_party,
2007,2014-594946-1-1-3,yes,kdu-csl_party,
2007,2014-594946-1-1-5,yes,kdu-csl_party,
2007,2014-594946-1-1-2,yes,kdu-csl_party,
2007,2014-594946-1-1-1,yes,kdu-csl_party,
2008,2014-594946-1-1-4,yes,kdu-csl_party,
2008,2014-594946-1-1-6,yes,kdu-csl_party,
2008,2014-594946-1-1-7,yes,kdu-csl_party,
2008,2014-594946-1-1-3,yes,kdu-csl_party,
2008,2014-594946-1-1-5,yes,kdu-csl_party,
2008,2014-594946-1-1-2,yes,kdu-csl_party,
2008,2014-594946-1-1-1,yes,kdu-csl_party,
2009,2014-594946-1-1-4,yes,kdu-csl_party,
2009,2014-594946-1-1-6,yes,kdu-csl_party,
2009,2014-594946-1-1-7,yes,kdu-csl_party,
2009,2014-594946-1-1-3,yes,kdu-csl_party,
2009,2014-594946-1-1-5,yes,kdu-csl_party,
2009,2014-594946-1-1-2,yes,kdu-csl_party,
2009,2014-594946-1-1-1,yes,kdu-csl_party,
2010,2014-594946-1-1-4,yes,kdu-csl_party,
2010,2014-594946-1-1-6,yes,kdu-csl_party,
2010,2014-594946-1-1-7,yes,kdu-csl_party,
2010,2014-594946-1-1-3,yes,kdu-csl_party,
2010,2014-594946-1-1-5,yes,kdu-csl_party,
2010,2014-594946-1-1-2,yes,kdu-csl_party,
2010,2014-594946-1-1-1,yes,kdu-csl_party,
2011,2014-594946-1-1-4,yes,kdu-csl_party,
2011,2014-594946-1-1-6,yes,kdu-csl_party,
2011,2014-594946-1-1-7,yes,kdu-csl_party,
2011,2014-594946-1-1-3,yes,kdu-csl_party,
2011,2014-594946-1-1-5,yes,kdu-csl_party,
2011,2014-594946-1-1-2,yes,kdu-csl_party,
2011,2014-594946-1-1-1,yes,kdu-csl_party,
2012,2014-594946-1-1-4,yes,kdu-csl_party,
2012,2014-594946-1-1-6,yes,kdu-csl_party,
2012,2014-594946-1-1-7,yes,kdu-csl_party,
2012,2014-594946-1-1-3,yes,kdu-csl_party,
2012,2014-594946-1-1-5,yes,kdu-csl_party,
2012,2014-594946-1-1-2,yes,kdu-csl_party,
2012,2014-594946-1-1-1,yes,kdu-csl_party,
2013,2014-594946-1-1-4,yes,kdu-csl_party,
2013,2014-594946-1-1-6,yes,kdu-csl_party,
2013,2014-594946-1-1-7,yes,kdu-csl_party,
2013,2014-594946-1-1-3,yes,kdu-csl_party,
2013,2014-594946-1-1-5,yes,kdu-csl_party,
2013,2014-594946-1-1-2,yes,kdu-csl_party,
2013,2014-594946-1-1-1,yes,kdu-csl_party,
3001,2014-594946-1-1-4,yes,kdu-csl_party,
3001,2014-594946-1-1-6,yes,kdu-csl_party,
3001,2014-594946-1-1-7,yes,kdu-csl_party,
3001,2014-594946-1-1-3,yes,kdu-csl_party,
3001,2014-594946-1-1-5,yes,kdu-csl_party,
3001,2014-594946-1-1-2,yes,kdu-csl_party,
3001,2014-594946-1-1-1,yes,kdu-csl_party,
3002,2014-594946-1-1-4,yes,kdu-csl_party,
3002,2014-594946-1-1-6,yes,kdu-csl_party,
3002,2014-594946-1-1-7,yes,kdu-csl_party,
3002,2014-594946-1-1-3,yes,kdu-csl_party,
3002,2014-594946-1-1-5,yes,kdu-csl_party,
3002,2014-594946-1-1-2,yes,kdu-csl_party,
3002,2014-594946-1-1-1,yes,kdu-csl_party,
3003,2014-594946-1-1-4,yes,kdu-csl_party,
3003,2014-594946-1-1-6,yes,kdu-csl_party,
3003,2014-594946-1-1-7,yes,kdu-csl_party,
3003,2014-594946-1-1-3,yes,kdu-csl_party,
3003,2014-594946-1-1-5,yes,kdu-csl_party,
3003,2014-594946-1-1-2,yes,kdu-csl_party,
3003,2014-594946-1-1-1,yes,kdu-csl_party,
3004,2014-594946-1-1-4,yes,kdu-csl_party,
3004,2014-594946-1-1-6,yes,kdu-csl_party,
3004,2014-594946-1-1-7,yes,kdu-csl_party,
3004,2014-594946-1-1-3,yes,kdu-csl_party,
3004,2014-594946-1-1-5,yes,kdu-csl_party,
3004,2014-594946-1-1-2,yes,kdu-csl_party,
3004,2014-594946-1-1-1,yes,kdu-csl_party,
3005,2014-594946-1-1-4,yes,kdu-csl_party,
3005,2014-594946-1-1-6,yes,kdu-csl_party,
3005,2014-594946-1-1-7,yes,kdu-csl_party,
3005,2014-594946-1-1-3,yes,kdu-csl_party,
3005,2014-594946-1-1-5,yes,kdu-csl_party,
3005,2014-594946-1-1-2,yes,kdu-csl_party,
3005,2014-594946-1-1-1,yes,kdu-csl_party,
3006,2014-594946-1-1-4,yes,kdu-csl_party,
3006,2014-594946-1-1-6,yes,kdu-csl_party,
3006,2014-594946-1-1-7,yes,kdu-csl_party,
3006,2014-594946-1-1-3,yes,kdu-csl_party,
3006,2014-594946-1-1-5,yes,kdu-csl_party,
3006,2014-594946-1-1-2,yes,kdu-csl_party,
3006,2014-594946-1-1-1,yes,kdu-csl_party,
3007,2014-594946-1-1-4,yes,kdu-csl_party,
3007,2014-594946-1-1-6,yes,kdu-csl_party,
3007,2014-594946-1-1-7,yes,kdu-csl_party,
3007,2014-594946-1-1-3,yes,kdu-csl_party,
3007,2014-594946-1-1-5,yes,kdu-csl_party,
3007,2014-594946-1-1-2,yes,kdu-csl_party,
3007,2014-594946-1-1-1,yes,kdu-csl_party,
3008,2014-594946-1-1-4,yes,kdu-csl_party,
3008,2014-594946-1-1-6,yes,kdu-csl_party,
3008,2014-594946-1-1-7,yes,kdu-csl_party,
3008,2014-594946-1-1-3,yes,kdu-csl_party,
3008,2014-594946-1-1-5,yes,kdu-csl_party,
3008,2014-594946-1-1-2,yes,kdu-csl_party,
3008,2014-594946-1-1-1,yes,kdu-csl_party,
3009,2014-594946-1-1-4,yes,kdu-csl_party,
3009,2014-594946-1-1-6,yes,kdu-csl_party,
3009,2014-594946-1-1-7,yes,kdu-csl_party,
3009,2014-594946-1-1-3,yes,kdu-csl_party,
3009,2014-594946-1-1-5,yes,kdu-csl_party,
3009,2014-594946-1-1-2,yes,kdu-csl_party,
3009,2014-594946-1-1-1,yes,kdu-csl_party,
3010,2014-594946-1-1-4,yes,kdu-csl_party,
3010,2014-594946-1-1-6,yes,kdu-csl_party,
3010,2014-594946-1-1-7,yes,kdu-csl_party,
3010,2014-594946-1-1-3,yes,kdu-csl_party,
3010,2014-594946-1-1-5,yes,kdu-csl_party,
3010,2014-594946-1-1-2,yes,kdu-csl_party,
3010,2014-594946-1-1-1,yes,kdu-csl_party,
3011,2014-594946-1-1-4,yes,kdu-csl_party,
3011,2014-594946-1-1-6,yes,kdu-csl_party,
3011,2014-594946-1-1-7,yes,kdu-csl_party,
3011,2014-594946-1-1-3,yes,kdu-csl_party,
3011,2014-594946-1-1-5,yes,kdu-csl_party,
3011,2014-594946-1-1-2,yes,kdu-csl_party,
3011,2014-594946-1-1-1,yes,kdu-csl_party,
3012,2014-594946-1-1-4,yes,kdu-csl_party,
3012,2014-594946-1-1-6,yes,kdu-csl_party,
3012,2014-594946-1-1-7,yes,kdu-csl_party,
3012,2014-594946-1-1-3,yes,kdu-csl_party,
3012,2014-594946-1-1-5,yes,kdu-csl_party,
3012,2014-594946-1-1-2,yes,kdu-csl_party,
3012,2014-594946-1-1-1,yes,kdu-csl_party,
3013,2014-594946-1-1-4,yes,kdu-csl_party,
3013,2014-594946-1-1-6,yes,kdu-csl_party,
3013,2014-594946-1-1-7,yes,kdu-csl_party,
3013,2014-594946-1-1-3,yes,kdu-csl_party,
3013,2014-594946-1-1-5,yes,kdu-csl_party,
3013,2014-594946-1-1-2,yes,kdu-csl_party,
3013,2014-594946-1-1-1,yes,kdu-csl_party,
3014,2014-594946-1-1-4,yes,kdu-csl_party,
3014,2014-594946-1-1-6,yes,kdu-csl_party,
3014,2014-594946-1-1-7,yes,kdu-csl_party,
3014,2014-594946-1-1-3,yes,kdu-csl_party,
3014,2014-594946-1-1-5,yes,kdu-csl_party,
3014,2014-594946-1-1-2,yes,kdu-csl_party,
3014,2014-594946-1-1-1,yes,kdu-csl_party,
3015,2014-594946-1-1-4,yes,kdu-csl_party,
