id,legislative_session:number,start_date,item:title,item:number,motion:title,
1001,1,2010-11-11,Složení slibu členy zastupitelstva,0,slib,
1002,1,2010-11-11,Určení ověřovatelů a zapisovatele,0,Zastupitelstvo obce Třebovle určuje ověřovateli zápisu paní Martinu Górskou a Ivetu Hanelovou a zapisovatelem Hanu Pokornou,
1003,1,2010-11-11,Schválení programu,0,program,
1004,1,2010-11-11,Volba starosty a místostarosty,1,určení počtu místostarostu – 1,
1005,1,2010-11-11,Volba starosty a místostarosty,1,"Určení, které funkce budou členové zastupitelstva vykonávat jako dlouhodobě uvolnění: pro výkon funkce starosty obce bude člen zastupitelstva dlouhodobě uvolněn.",
1006,1,2010-11-11,Volba starosty a místostarosty,1,Určení způsobu volby starosty a místostarosty: veřejně hlasováním,
1007,1,2010-11-11,Zřízení kontrolního a finančního výboru,2,Zastupitelstvo obce Třebovle zřizuje finanční výbor a kontrolní výbor. Oba výbory budou tříčlenné.,
1008,1,2010-11-11,Zřízení kontrolního a finančního výboru,2,Zastupitelstvo obce Třebovle volí předsedou finančního výboru Martinu Górskou,
1009,1,2010-11-11,Zřízení kontrolního a finančního výboru,2,Zastupitelstvo obce Třebovle volí předsedou kontrolního výboru Josefa Jasanského,
1010,1,2010-11-11,Zřízení kontrolního a finančního výboru,2,Zastupitelstvo obce Třebovle volí členy finančního výboru Radovana Havlína a Tibora Rupíka,
1011,1,2010-11-11,Zřízení kontrolního a finančního výboru,2,Zastupitelstvo obce Třebovle volí členy kontrolního výboru Lucii Rejhonovou a Marii Hudcovou,
1012,1,2010-11-11,Rozhodnutí o odměnách za výkon funkcí neuvolněných členů zastupitelstva,3,"Zastupitelstvo obce Třebovle v souladu s § 72 a § 84 odst. 2 písm. n) zákona o obcích stanoví odměnu za výkon funkce neuvolněného člena zastupitelstva obce ve výši  400,- Kč měsíčně. Odměna bude poskytována ode dne přijetí tohoto usnesení.",
1013,1,2010-11-11,Rozhodnutí o odměnách za výkon funkcí neuvolněných členů zastupitelstva,3,"Zastupitelstvo obce Třebovle v souladu s § 72 a § 84 odst. 2 písm. n) zákona o obcích stanoví odměnu za výkon funkce místostarosty jako neuvolněného člena zastupitelstva obce ve výši 14.030,- Kč  měsíčně. Odměna bude poskytována ode dne zvolení do funkce místostarosty.",
1014,1,2010-11-11,Rozhodnutí o odměnách za výkon funkcí neuvolněných členů zastupitelstva,3,"Zastupitelstvo obce Třebovle v souladu s § 72 a § 84 odst. 2 písm. n) zákona o obcích stanoví odměnu za výkon funkce předsedy výboru zastupitelstva ve výši  960,- Kč měsíčně.Odměna bude poskytována ode dne zvolení do funkce předsedy  výboru.",
2001,2,2010-11-30,Program zasedání zastupitelstva,0,program,
2002,2,2010-11-30,Fondy Středočeského kraje na rok 2011,1,"zastupitelstvo obce souhlasí se zahájením zpracování projektu na rekonstrukci budovy OÚ panem Provazníkem a s přípravou žádosti o dotaci,  poté bude rozhodnuto zda bude žádost podána.",
3001,3,2010-12-28,Zahájení  zasedání a kontrola zápisu a usnesení z minulého zasedání,1,Zastupitelstvo obce schvaluje  pozměněný program zasedání o bod Různé,
3002,3,2010-12-28,Jednací řád zastupitelstva obce,2,Zastupitelstvo obce schvaluje  předložený Jednací řád ZO Třebovle.,
3003,3,2010-12-28,Rozpočet obce na rok 2011,3,"Zastupitelstvo obce schvaluje Rozpočet obce Třebovle na rok 2011 příjmy ve výši 5.095.000,- a výdaje ve výši 5.095.000,-",
3004,3,2010-12-28,Rozpočtové opatření 5/2010,4,Zastupitelstvo obce schvaluje Rozpočtové opatření č. 5/2010,
3005,3,2010-12-28,Zrušení usnesení č. 3/2010/3),5,"Zastupitelstvo obce ruší usnesení zastupitelstva obce č. 3/2010/3) ze dne 11.8.2010 o přemístění včelstev starostou obce,  neboť je protizákonné.",
3006,3,2010-12-28,Schválení smluv,6,Dodatek č. 1/2011 ke smlouvě na zabezpečení odpadového hospodářství s firmou NYKOS,
3007,3,2010-12-28,Schválení smluv,6,Smlouva č. 124 o uložení odpadu na řízenou skládku Radim,
3008,3,2010-12-28,Schválení smluv,6,Smlouva na výběrové řízení na rekonstrukci obecního úřadu,
